# c012: c xs = (cons (head xs) xs)
64,4,4;64,64,4,4
97;97,97
4,3,50,7,9;4,4,3,50,7,9
0,45,97;0,0,45,97
72,5,6,0,1,36,71,71,1;72,72,5,6,0,1,36,71,71,1
16;16,16
8,10,28,18,1,9,56;8,8,10,28,18,1,9,56
1,8,94,93,4;1,1,8,94,93,4
6,6;6,6,6
23,10,74,1,39,77,0,4,2;23,23,10,74,1,39,77,0,4,2
63,7,98,63;63,63,7,98,63
2;2,2
5,89,83;5,5,89,83
1,79,3,40,8,4,29,5,42;1,1,79,3,40,8,4,29,5,42
86,5,4,0,6;86,86,5,4,0,6
67,10,17,7,98,5,4;67,67,10,17,7,98,5,4
1,1,0,7,76,81,70,20,22;1,1,1,0,7,76,81,70,20,22
0,86,3,1,7,47,4;0,0,86,3,1,7,47,4
18,0,12,2,9,39,66,4;18,18,0,12,2,9,39,66,4
26,90,7,95,6;26,26,90,7,95,6
19;19,19
3,21,31;3,3,21,31
4,72,12,5,1;4,4,72,12,5,1
2,70,10,63,6,24,8,48;2,2,70,10,63,6,24,8,48
2,39,97,5,28,89,54,8,5;2,2,39,97,5,28,89,54,8,5
1,31;1,1,31
6,1;6,6,1
66,36,32,96,1,5,80,5;66,66,36,32,96,1,5,80,5
97,80,87,8;97,97,80,87,8
2,2,7,68,88,88,59,3,96;2,2,2,7,68,88,88,59,3,96
0;0,0
10,2,98,9,98,70,8;10,10,2,98,9,98,70,8
8;8,8
2,6,4,6,0;2,2,6,4,6,0
0,1,81,0,6,5,1,4,0;0,0,1,81,0,6,5,1,4,0
7,69,8,52,83;7,7,69,8,52,83
0,1,7;0,0,1,7
16,32,4;16,16,32,4
9,3,97,73,21;9,9,3,97,73,21
2,45,0,5,9,7;2,2,45,0,5,9,7
7,94,24;7,7,94,24
2,38,46,4,12;2,2,38,46,4,12
43,4,4,46,96,4,66,9;43,43,4,4,46,96,4,66,9
7,52,6;7,7,52,6
3,4,33;3,3,4,33
38,4,4,85,0,5,88,32,6;38,38,4,4,85,0,5,88,32,6
7,27,9,67,4,4,99,84;7,7,27,9,67,4,4,99,84
5,5,94,83,39,28,7,0;5,5,5,94,83,39,28,7,0
2,75,58;2,2,75,58
62,9,7,9,3,6,5,9;62,62,9,7,9,3,6,5,9
