# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on simon with PID=8080 by user piantado at Wed Dec  4 16:34:46 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 2fb1c47ee31e2c3b1aaf2768a7d98678  /proc/8080/exe
# 	 --input=data/c016.txt
# 	 --threads=2
# 	 --chains=4
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=10m (600 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# using data 924b:5Cl -> 294b:5Cl
# using data >C3P096: -> C>3P096:
# using data t1:R9 -> 1t:R9
# using data T2<222jp51 -> 2T<222jp51
# using data 1g7 -> g17
# using data >D=E?8 -> D>=E?8
# using data 401Aq39852 -> 041Aq39852
# using data WNE26425 -> NWE26425
# using data B:0;6n`7 -> :B0;6n`7
# using data 3L9>2 -> L39>2
# using data i:7 -> :i7
# using data _DM_=6239 -> D_M_=6239
# using data 4T\h4u9 -> T4\h4u9
# using data <Z -> Z<
# using data 463<:07F7 -> 643<:07F7
# using data 4Q6D -> Q46D
# using data 035{ -> 305{
# using data 1>3157 -> >13157
# using data 25:41 -> 52:41
# using data 28:H -> 82:H
# using data :6:522 -> 6::522
# using data F90<774 -> 9F0<774
# using data TC< -> CT<
# using data 1rC896x;O -> r1C896x;O
# using data n3S5@ -> 3nS5@
# using data 85{7184h1 -> 58{7184h1
# using data 43Au -> 34Au
# using data 1VB@8 -> V1B@8
# using data 67 -> 76
# using data 7271:21 -> 2771:21
# using data 96nA12 -> 69nA12
# using data 51VR4b=6X -> 15VR4b=6X
# using data b8\0Ds -> 8b\0Ds
# using data h1G;Eh -> 1hG;Eh
# using data 97B18^d -> 79B18^d
# using data 397r3G9 -> 937r3G9
# using data 5gSA48 -> g5SA48
# using data 7]>056 -> ]7>056
# using data 5158J240] -> 1558J240]
# using data 952>9>7:Z -> 592>9>7:Z
# using data lzK0ym02 -> zlK0ym02
# using data `Y8N -> Y`8N
# using data 916{N0 -> 196{N0
# using data 2cV5E0{s -> c2V5E0{s
# using data :F991?:C -> F:991?:C
# using data Z<8r8i68 -> <Z8r8i68
# using data L0 -> 0L
# using data 35 -> 53
# using data 5@:Al6PS@ -> @5:Al6PS@
# using data 4:A10537>0 -> :4A10537>0
i_run	i_N	concept	input	output	correct.output	correct	hypothesis
0	0	"data/c016.txt"	"916{N0"	"916{N0"	"196{N0"	0	"λx.x"
0	1	"data/c016.txt"	"4:A10537>0"	"19"	":4A10537>0"	0	"λx.pair(pair(Ø,1),9)"
0	2	"data/c016.txt"	"924b:5Cl"	"29"	"294b:5Cl"	0	"λx.pair(pair(Ø,head(tail(x))),head(x))"
0	3	"data/c016.txt"	">D=E?8"	"D>"	"D>=E?8"	0	"λx.pair(pair(Ø,head(tail(x))),head(x))"
0	4	"data/c016.txt"	"51VR4b=6X"	"15"	"15VR4b=6X"	0	"λx.pair(pair(Ø,head(tail(x))),head(x))"
0	5	"data/c016.txt"	"1>3157"	">1"	">13157"	0	"λx.pair(pair(Ø,head(tail(x))),head(x))"
0	6	"data/c016.txt"	"4T\h4u9"	"T4"	"T4\h4u9"	0	"λx.pair(pair(Ø,head(tail(x))),head(x))"
0	7	"data/c016.txt"	"43Au"	"34"	"34Au"	0	"λx.pair(pair(Ø,head(tail(x))),head(x))"
0	8	"data/c016.txt"	"916{N0"	"19"	"196{N0"	0	"λx.pair(pair(Ø,head(tail(x))),head(x))"
0	9	"data/c016.txt"	"67"	"76"	"76"	1	"λx.pair(pair(Ø,head(tail(x))),head(x))"
0	10	"data/c016.txt"	"97B18^d"	"79"	"79B18^d"	0	"λx.pair(pair(Ø,head(tail(x))),head(x))"
0	11	"data/c016.txt"	"401Aq39852"	"04"	"041Aq39852"	0	"λx.pair(pair(Ø,head(tail(x))),head(x))"
0	12	"data/c016.txt"	"85{7184h1"	"58"	"58{7184h1"	0	"λx.pair(pair(Ø,head(tail(x))),head(x))"
0	13	"data/c016.txt"	"WNE26425"	"NW"	"NWE26425"	0	"λx.pair(pair(Ø,head(tail(x))),head(x))"
0	14	"data/c016.txt"	"n3S5@"	"3n"	"3nS5@"	0	"λx.pair(pair(Ø,head(tail(x))),head(x))"
0	15	"data/c016.txt"	">C3P096:"	"C>"	"C>3P096:"	0	"λx.pair(pair(Ø,head(tail(x))),head(x))"
0	16	"data/c016.txt"	"7271:21"	"27"	"2771:21"	0	"λx.pair(pair(Ø,head(tail(x))),head(x))"
0	17	"data/c016.txt"	"n3S5@"	"3n"	"3nS5@"	0	"λx.pair(pair(Ø,head(tail(x))),head(x))"
0	18	"data/c016.txt"	"lzK0ym02"	"zl"	"zlK0ym02"	0	"λx.pair(pair(Ø,head(tail(x))),head(x))"
0	19	"data/c016.txt"	"b8\0Ds"	"8b"	"8b\0Ds"	0	"λx.pair(pair(Ø,head(tail(x))),head(x))"
1	0	"data/c016.txt"	"Z<8r8i68"	"Z<8r8i68"	"<Z8r8i68"	0	"λx.x"
1	1	"data/c016.txt"	"1rC896x;O"	""	"r1C896x;O"	0	"λx.Ø"
