# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on simon with PID=8034 by user piantado at Wed Dec  4 16:34:46 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 2fb1c47ee31e2c3b1aaf2768a7d98678  /proc/8034/exe
# 	 --input=data/c012.txt
# 	 --threads=2
# 	 --chains=4
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=1m (60 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# using data p44 -> pp44
# using data D -> DD
# using data 43b79 -> 443b79
# using data 0]D -> 00]D
# using data x5601Tww1 -> xx5601Tww1
# using data @ -> @@
# using data 8:LB19h -> 88:LB19h
# using data 18A@4 -> 118A@4
# using data 66 -> 666
# using data G:z1W0042 -> GG:z1W0042
# using data o7Eo -> oo7Eo
# using data 2 -> 22
# using data 5<6 -> 55<6
# using data 123X84M5Z -> 1123X84M5Z
# using data 95406 -> 995406
# using data s:A7E54 -> ss:A7E54
# using data 1107|4vDF -> 11107|4vDF
# using data 09317_4 -> 009317_4
# using data B0<29Wr4 -> BB0<29Wr4
# using data J=7B6 -> JJ=7B6
# using data C -> CC
# using data 3EO -> 33EO
# using data 4x<51 -> 44x<51
# using data 2v:o6H8` -> 22v:o6H8`
# using data 2WD5L<f85 -> 22WD5L<f85
# using data 1O -> 11O
# using data 61 -> 661
# using data rTPC1535 -> rrTPC1535
# using data D3:8 -> DD3:8
# using data 227t;;k3C -> 2227t;;k3C
# using data 0 -> 00
# using data :2E9Ev8 -> ::2E9Ev8
# using data 8 -> 88
# using data 26460 -> 226460
# using data 014065140 -> 0014065140
# using data 7u8d6 -> 77u8d6
# using data 017 -> 0017
# using data @P4 -> @@P4
# using data 93DyE -> 993DyE
# using data 2]0597 -> 22]0597
# using data 7AH -> 77AH
# using data 2V^4< -> 22V^4<
# using data [44^C4r9 -> [[44^C4r9
# using data 7d6 -> 77d6
# using data 34Q -> 334Q
# using data V44805;P6 -> VV44805;P6
# using data 7K9s44F7 -> 77K9s44F7
# using data 55A6WL70 -> 555A6WL70
# using data 2{j -> 22{j
# using data n9793659 -> nn9793659
i_run	i_N	concept	input	output	correct.output	correct	hypothesis
0	0	"data/c012.txt"	"7AH"	"7AH"	"77AH"	0	"λx.x"
0	1	"data/c012.txt"	"1107|4vDF"	"77"	"11107|4vDF"	0	"λx.pair(pair(Ø,7),7)"
0	2	"data/c012.txt"	"8"	"88"	"88"	1	"λx.pair(pair(Ø,head(x)),head(x))"
0	3	"data/c012.txt"	"1O"	"11"	"11O"	0	"λx.pair(pair(Ø,head(x)),head(x))"
0	4	"data/c012.txt"	"4x<51"	"44"	"44x<51"	0	"λx.pair(pair(Ø,head(x)),head(x))"
0	5	"data/c012.txt"	"017"	"00"	"0017"	0	"λx.pair(pair(Ø,head(x)),head(x))"
0	6	"data/c012.txt"	"x5601Tww1"	"xx"	"xx5601Tww1"	0	"λx.pair(pair(Ø,head(x)),head(x))"
0	7	"data/c012.txt"	"D"	"DD"	"DD"	1	"λx.pair(pair(Ø,head(x)),head(x))"
0	8	"data/c012.txt"	"43b79"	"44"	"443b79"	0	"λx.pair(pair(Ø,head(x)),head(x))"
0	9	"data/c012.txt"	"017"	"00"	"0017"	0	"λx.pair(pair(Ø,head(x)),head(x))"
0	10	"data/c012.txt"	"D"	"DD"	"DD"	1	"λx.pair(pair(Ø,head(x)),head(x))"
0	11	"data/c012.txt"	"95406"	"99"	"995406"	0	"λx.pair(pair(Ø,head(x)),head(x))"
0	12	"data/c012.txt"	"7AH"	"77"	"77AH"	0	"λx.pair(pair(Ø,head(x)),head(x))"
0	13	"data/c012.txt"	"n9793659"	"nn"	"nn9793659"	0	"λx.pair(pair(Ø,head(x)),head(x))"
0	14	"data/c012.txt"	"D"	"DD"	"DD"	1	"λx.pair(pair(Ø,head(x)),head(x))"
0	15	"data/c012.txt"	"7AH"	"77"	"77AH"	0	"λx.pair(pair(Ø,head(x)),head(x))"
0	16	"data/c012.txt"	"p44"	"pp"	"pp44"	0	"λx.pair(pair(Ø,head(x)),head(x))"
0	17	"data/c012.txt"	"18A@4"	"11"	"118A@4"	0	"λx.pair(pair(Ø,head(x)),head(x))"
0	18	"data/c012.txt"	"1107|4vDF"	"11"	"11107|4vDF"	0	"λx.pair(pair(Ø,head(x)),head(x))"
0	19	"data/c012.txt"	"4x<51"	"44"	"44x<51"	0	"λx.pair(pair(Ø,head(x)),head(x))"
1	0	"data/c012.txt"	"n9793659"	"n9793659"	"nn9793659"	0	"λx.x"
1	1	"data/c012.txt"	"x5601Tww1"	"xx"	"xx5601Tww1"	0	"λx.pair(pair(Ø,head(x)),head(x))"
1	2	"data/c012.txt"	"4x<51"	"44"	"44x<51"	0	"λx.pair(pair(Ø,head(x)),head(x))"
