n,n_seen,accuracy,input,output,prediction
0,10,0,"C (CONS (DIGIT 1) (CONS (DECC (DIGIT 4) 6) (CONS (DIGIT 5) (CONS (DECC (DIGIT 4) 5) (CONS (DIGIT 8) (CONS (DIGIT 0) (CONS (DIGIT 8) [])))))))","CONS (DIGIT 1) (CONS (DECC (DIGIT 4) 6) (CONS (DIGIT 5) (CONS (DECC (DIGIT 4) 5) (CONS (DIGIT 8) (CONS (DIGIT 0) (CONS (DIGIT 8) []))))))","[]"
1,5000,1,"C (CONS (DECC (DIGIT 5) 5) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 8) (CONS (DIGIT 3) (CONS (DECC (DIGIT 4) 1) (CONS (DECC (DIGIT 9) 1) (CONS (DECC (DIGIT 8) 3) (CONS (DIGIT 6) []))))))))","CONS (DECC (DIGIT 5) 5) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 8) (CONS (DIGIT 3) (CONS (DECC (DIGIT 4) 1) (CONS (DECC (DIGIT 9) 1) (CONS (DECC (DIGIT 8) 3) (CONS (DIGIT 6) [])))))))","CONS (DECC (DIGIT 5) 5) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 8) (CONS (DIGIT 3) (CONS (DECC (DIGIT 4) 1) (CONS (DECC (DIGIT 9) 1) (CONS (DECC (DIGIT 8) 3) (CONS (DIGIT 6) [])))))))"
2,3340,1,"C (CONS (DECC (DIGIT 8) 4) (CONS (DECC (DIGIT 3) 7) (CONS (DIGIT 9) (CONS (DECC (DIGIT 3) 0) []))))","CONS (DECC (DIGIT 8) 4) (CONS (DECC (DIGIT 3) 7) (CONS (DIGIT 9) (CONS (DECC (DIGIT 3) 0) [])))","CONS (DECC (DIGIT 8) 4) (CONS (DECC (DIGIT 3) 7) (CONS (DIGIT 9) (CONS (DECC (DIGIT 3) 0) [])))"
3,2230,1,"C (CONS (DIGIT 2) (CONS (DECC (DIGIT 8) 6) []))","CONS (DIGIT 2) (CONS (DECC (DIGIT 8) 6) [])","CONS (DIGIT 2) (CONS (DECC (DIGIT 8) 6) [])"
4,1490,1,"C (CONS (DIGIT 4) (CONS (DECC (DIGIT 4) 6) (CONS (DECC (DIGIT 1) 5) (CONS (DECC (DIGIT 8) 6) (CONS (DECC (DIGIT 4) 1) (CONS (DIGIT 7) (CONS (DIGIT 9) [])))))))","CONS (DIGIT 4) (CONS (DECC (DIGIT 4) 6) (CONS (DECC (DIGIT 1) 5) (CONS (DECC (DIGIT 8) 6) (CONS (DECC (DIGIT 4) 1) (CONS (DIGIT 7) (CONS (DIGIT 9) []))))))","CONS (DIGIT 4) (CONS (DECC (DIGIT 4) 6) (CONS (DECC (DIGIT 1) 5) (CONS (DECC (DIGIT 8) 6) (CONS (DECC (DIGIT 4) 1) (CONS (DIGIT 7) (CONS (DIGIT 9) []))))))"
5,1000,1,"C (CONS (DECC (DIGIT 6) 9) [])","CONS (DECC (DIGIT 6) 9) []","CONS (DECC (DIGIT 6) 9) []"
6,670,1,"C (CONS (DECC (DIGIT 1) 6) (CONS (DECC (DIGIT 7) 2) (CONS (DIGIT 8) (CONS (DECC (DIGIT 3) 9) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 6) []))))))","CONS (DECC (DIGIT 1) 6) (CONS (DECC (DIGIT 7) 2) (CONS (DIGIT 8) (CONS (DECC (DIGIT 3) 9) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 6) [])))))","CONS (DECC (DIGIT 1) 6) (CONS (DECC (DIGIT 7) 2) (CONS (DIGIT 8) (CONS (DECC (DIGIT 3) 9) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 6) [])))))"
7,450,1,"C (CONS (DECC (DIGIT 1) 4) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 4) 8) (CONS (DIGIT 3) (CONS (DIGIT 2) (CONS (DIGIT 9) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 3) []))))))))","CONS (DECC (DIGIT 1) 4) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 4) 8) (CONS (DIGIT 3) (CONS (DIGIT 2) (CONS (DIGIT 9) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 3) [])))))))","CONS (DECC (DIGIT 1) 4) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 4) 8) (CONS (DIGIT 3) (CONS (DIGIT 2) (CONS (DIGIT 9) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 3) [])))))))"
8,310,1,"C (CONS (DECC (DIGIT 3) 5) (CONS (DIGIT 2) []))","CONS (DECC (DIGIT 3) 5) (CONS (DIGIT 2) [])","CONS (DECC (DIGIT 3) 5) (CONS (DIGIT 2) [])"
9,210,1,"C (CONS (DECC (DIGIT 1) 4) (CONS (DECC (DIGIT 5) 9) (CONS (DIGIT 3) (CONS (DECC (DIGIT 7) 1) (CONS (DECC (DIGIT 9) 6) [])))))","CONS (DECC (DIGIT 1) 4) (CONS (DECC (DIGIT 5) 9) (CONS (DIGIT 3) (CONS (DECC (DIGIT 7) 1) (CONS (DECC (DIGIT 9) 6) []))))","CONS (DECC (DIGIT 1) 4) (CONS (DECC (DIGIT 5) 9) (CONS (DIGIT 3) (CONS (DECC (DIGIT 7) 1) (CONS (DECC (DIGIT 9) 6) []))))"
10,150,1,"C (CONS (DIGIT 2) (CONS (DECC (DIGIT 9) 3) (CONS (DECC (DIGIT 1) 1) (CONS (DECC (DIGIT 4) 5) (CONS (DIGIT 3) (CONS (DIGIT 1) (CONS (DECC (DIGIT 5) 3) [])))))))","CONS (DIGIT 2) (CONS (DECC (DIGIT 9) 3) (CONS (DECC (DIGIT 1) 1) (CONS (DECC (DIGIT 4) 5) (CONS (DIGIT 3) (CONS (DIGIT 1) (CONS (DECC (DIGIT 5) 3) []))))))","CONS (DIGIT 2) (CONS (DECC (DIGIT 9) 3) (CONS (DECC (DIGIT 1) 1) (CONS (DECC (DIGIT 4) 5) (CONS (DIGIT 3) (CONS (DIGIT 1) (CONS (DECC (DIGIT 5) 3) []))))))"
11,110,1,"C (CONS (DIGIT 3) (CONS (DECC (DIGIT 2) 4) (CONS (DIGIT 2) (CONS (DECC (DIGIT 6) 7) (CONS (DECC (DIGIT 6) 9) (CONS (DIGIT 5) (CONS (DIGIT 2) (CONS (DECC (DIGIT 9) 4) (CONS (DIGIT 8) [])))))))))","CONS (DIGIT 3) (CONS (DECC (DIGIT 2) 4) (CONS (DIGIT 2) (CONS (DECC (DIGIT 6) 7) (CONS (DECC (DIGIT 6) 9) (CONS (DIGIT 5) (CONS (DIGIT 2) (CONS (DECC (DIGIT 9) 4) (CONS (DIGIT 8) []))))))))","CONS (DIGIT 3) (CONS (DECC (DIGIT 2) 4) (CONS (DIGIT 2) (CONS (DECC (DIGIT 6) 7) (CONS (DECC (DIGIT 6) 9) (CONS (DIGIT 5) (CONS (DIGIT 2) (CONS (DECC (DIGIT 9) 4) (CONS (DIGIT 8) []))))))))"
12,80,1,"C (CONS (DECC (DIGIT 8) 6) (CONS (DIGIT 6) (CONS (DIGIT 8) (CONS (DECC (DIGIT 7) 8) (CONS (DECC (DIGIT 5) 1) (CONS (DECC (DIGIT 3) 7) (CONS (DECC (DIGIT 4) 5) (CONS (DECC (DIGIT 1) 8) (CONS (DIGIT 4) [])))))))))","CONS (DECC (DIGIT 8) 6) (CONS (DIGIT 6) (CONS (DIGIT 8) (CONS (DECC (DIGIT 7) 8) (CONS (DECC (DIGIT 5) 1) (CONS (DECC (DIGIT 3) 7) (CONS (DECC (DIGIT 4) 5) (CONS (DECC (DIGIT 1) 8) (CONS (DIGIT 4) []))))))))","CONS (DECC (DIGIT 8) 6) (CONS (DIGIT 6) (CONS (DIGIT 8) (CONS (DECC (DIGIT 7) 8) (CONS (DECC (DIGIT 5) 1) (CONS (DECC (DIGIT 3) 7) (CONS (DECC (DIGIT 4) 5) (CONS (DECC (DIGIT 1) 8) (CONS (DIGIT 4) []))))))))"
13,60,1,"C (CONS (DIGIT 0) (CONS (DIGIT 6) (CONS (DIGIT 4) (CONS (DECC (DIGIT 4) 1) (CONS (DIGIT 2) (CONS (DECC (DIGIT 4) 5) (CONS (DECC (DIGIT 6) 5) (CONS (DIGIT 4) (CONS (DIGIT 3) [])))))))))","CONS (DIGIT 0) (CONS (DIGIT 6) (CONS (DIGIT 4) (CONS (DECC (DIGIT 4) 1) (CONS (DIGIT 2) (CONS (DECC (DIGIT 4) 5) (CONS (DECC (DIGIT 6) 5) (CONS (DIGIT 4) (CONS (DIGIT 3) []))))))))","CONS (DIGIT 0) (CONS (DIGIT 6) (CONS (DIGIT 4) (CONS (DECC (DIGIT 4) 1) (CONS (DIGIT 2) (CONS (DECC (DIGIT 4) 5) (CONS (DECC (DIGIT 6) 5) (CONS (DIGIT 4) (CONS (DIGIT 3) []))))))))"
14,50,1,"C (CONS (DECC (DIGIT 5) 1) [])","CONS (DECC (DIGIT 5) 1) []","CONS (DECC (DIGIT 5) 1) []"
15,40,1,"C (CONS (DECC (DIGIT 3) 8) [])","CONS (DECC (DIGIT 3) 8) []","CONS (DECC (DIGIT 3) 8) []"
16,30,1,"C (CONS (DECC (DIGIT 9) 7) [])","CONS (DECC (DIGIT 9) 7) []","CONS (DECC (DIGIT 9) 7) []"
17,30,1,"C (CONS (DECC (DIGIT 3) 9) (CONS (DECC (DIGIT 7) 8) []))","CONS (DECC (DIGIT 3) 9) (CONS (DECC (DIGIT 7) 8) [])","CONS (DECC (DIGIT 3) 9) (CONS (DECC (DIGIT 7) 8) [])"
18,30,1,"C (CONS (DECC (DIGIT 1) 3) (CONS (DECC (DIGIT 6) 6) (CONS (DECC (DIGIT 4) 8) [])))","CONS (DECC (DIGIT 1) 3) (CONS (DECC (DIGIT 6) 6) (CONS (DECC (DIGIT 4) 8) []))","CONS (DECC (DIGIT 1) 3) (CONS (DECC (DIGIT 6) 6) (CONS (DECC (DIGIT 4) 8) []))"
19,30,1,"C (CONS (DECC (DIGIT 8) 1) (CONS (DIGIT 0) (CONS (DIGIT 6) (CONS (DECC (DIGIT 3) 9) (CONS (DIGIT 4) (CONS (DIGIT 2) (CONS (DIGIT 2) (CONS (DECC (DIGIT 2) 8) []))))))))","CONS (DECC (DIGIT 8) 1) (CONS (DIGIT 0) (CONS (DIGIT 6) (CONS (DECC (DIGIT 3) 9) (CONS (DIGIT 4) (CONS (DIGIT 2) (CONS (DIGIT 2) (CONS (DECC (DIGIT 2) 8) [])))))))","CONS (DECC (DIGIT 8) 1) (CONS (DIGIT 0) (CONS (DIGIT 6) (CONS (DECC (DIGIT 3) 9) (CONS (DIGIT 4) (CONS (DIGIT 2) (CONS (DIGIT 2) (CONS (DECC (DIGIT 2) 8) [])))))))"
