# c2-024: C xs = (If (< (Len xs) 2) xs (Replace 2 8 xs))
;
6;6
1,5,5,1;1,8,5,1
8,0,7,0,5,5,9;8,8,7,0,5,5,9
4;4
5;5
9,0,5,4,8;9,8,5,4,8
2,1,7;2,8,7
8,7,8,9,4;8,8,8,9,4
0,6,0,7;0,8,0,7
4,1,1,5,3,5,0,0,4;4,8,1,5,3,5,0,0,4
7;7
6,1,3,3;6,8,3,3
4,1,3,6,6;4,8,3,6,6
1,4,3;1,8,3
2;2
8;8
1,1;1,8
3,0,2,4,8,1,6,4,8;3,8,2,4,8,1,6,4,8
4,3,0,2,8;4,8,0,2,8
0,5,7,7,5,9,6,4;0,8,7,7,5,9,6,4
8,3,2;8,8,2
3,5,1,4,4;3,8,1,4,4
1,7,0,1,6,9,6,4,1;1,8,0,1,6,9,6,4,1
9,7;9,8
3,2,9,6,9;3,8,9,6,9
9,8;9,8
7,6,7,6,4;7,8,7,6,4
1,1,1,8,0,5,5,9,8;1,8,1,8,0,5,5,9,8
9,6,5,0,0;9,8,5,0,0
4,4,7,8;4,8,7,8
7,4,6,9,0,6,6,3;7,8,6,9,0,6,6,3
4,4,3,2,3,3,2;4,8,3,2,3,3,2
2,8,2,6,7;2,8,2,6,7
2,4,2,8,6;2,8,2,8,6
5,1,1,2,6,4;5,8,1,2,6,4
6,6,7,7,6;6,8,7,7,6
9,1,0,1,5,5,1,4;9,8,0,1,5,5,1,4
5,3;5,8
1,2;1,8
7,8,6,4;7,8,6,4
6,6,2,8,9;6,8,2,8,9
3;3
1;1
0;0
4,0,3,0,4,8,6,4,3;4,8,3,0,4,8,6,4,3
5,8,5,3,6,0,1;5,8,5,3,6,0,1
9;9
8,7;8,8
7,9,6,2,1,5;7,8,6,2,1,5
