# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on simon with PID=76230 by user piantado at Wed Dec  4 23:16:09 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 75de067d9790c8abe3432331157b2715  /proc/76230/exe
# 	 --input=data/c2-055.txt
# 	 --threads=2
# 	 --chains=4
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=1m (60 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# using data 5501572413 -> 2
# using data 461466800 -> 680
# using data 459971649 -> 16
# using data 3840515876 -> 515876
# using data 25532682 -> 3268
# using data 3766809801 -> 80980
# using data 246292193 -> 292
# using data 1601402938 -> 014029
# using data 36853846 -> 3846
# using data 25502935 -> 0293
# using data 66434450 -> 0
# using data 772181383 -> 3
# using data 56576846 -> 46
# using data 6863066942 -> 942
# using data 56024456 -> 56
# using data 154813412 -> 48134
# using data 22069221 -> 6
# using data 5870301121 -> 1121
# using data 232132043 -> 13
# using data 5651496165 -> 61
# using data 3846134758 -> 134758
# using data 4683510852 -> 108
# using data 2793202599 -> 320259
# using data 7826086634 -> 34
# using data 7844523502 -> 02
# using data 7810644808 -> 08
# using data 178817577 -> 8817577
# using data 2877890605 -> 7890605
# using data 45124567 -> 56
# using data 14698259 -> 6982
# using data 7805003713 -> 13
# using data 7802261476 -> 76
# using data 6744878906 -> 90
# using data 4817442114 -> 42114
# using data 454382156 -> 21
# using data 7897064434 -> 34
# using data 575087806 -> 806
# using data 3515555468 -> 555
# using data 7893613048 -> 48
# using data 565138290 -> 29
# using data 4717606957 -> 0695
# using data 7744626742 -> 4
# using data 278035133 -> 035133
# using data 2627246338 -> 72463
# using data 4718292336 -> 9233
# using data 45723386 -> 38
# using data 333916279 -> 1
# using data 35882970 -> 297
# using data 146485864 -> 6485
# using data 1829295486 -> 29295486
i_run	i_N	concept	input	output	correct.output	correct	hypothesis
0	0	"data/c2-055.txt"	"772181383"	"772181383"	"3"	0	"λx.x"
0	1	"data/c2-055.txt"	"35882970"	"3"	"297"	0	"λx.pair(3,Ø)"
0	2	"data/c2-055.txt"	"5651496165"	""	"61"	0	"λx.Ø"
0	3	"data/c2-055.txt"	"154813412"	""	"48134"	0	"λx.Ø"
0	4	"data/c2-055.txt"	"565138290"	""	"29"	0	"λx.Ø"
0	5	"data/c2-055.txt"	"246292193"	""	"292"	0	"λx.Ø"
0	6	"data/c2-055.txt"	"22069221"	""	"6"	0	"λx.Ø"
0	7	"data/c2-055.txt"	"25532682"	""	"3268"	0	"λx.Ø"
0	8	"data/c2-055.txt"	"178817577"	""	"8817577"	0	"λx.Ø"
0	9	"data/c2-055.txt"	"454382156"	""	"21"	0	"λx.Ø"
0	10	"data/c2-055.txt"	"2877890605"	""	"7890605"	0	"λx.Ø"
0	11	"data/c2-055.txt"	"459971649"	""	"16"	0	"λx.Ø"
0	12	"data/c2-055.txt"	"3840515876"	""	"515876"	0	"λx.Ø"
0	13	"data/c2-055.txt"	"459971649"	""	"16"	0	"λx.Ø"
0	14	"data/c2-055.txt"	"2877890605"	""	"7890605"	0	"λx.Ø"
0	15	"data/c2-055.txt"	"232132043"	""	"13"	0	"λx.Ø"
0	16	"data/c2-055.txt"	"278035133"	""	"035133"	0	"λx.Ø"
0	17	"data/c2-055.txt"	"459971649"	""	"16"	0	"λx.Ø"
0	18	"data/c2-055.txt"	"7802261476"	""	"76"	0	"λx.Ø"
0	19	"data/c2-055.txt"	"772181383"	""	"3"	0	"λx.Ø"
1	0	"data/c2-055.txt"	"45723386"	"45723386"	"38"	0	"λx.x"
1	1	"data/c2-055.txt"	"56576846"	"38"	"46"	0	"λx.pair(3,pair(8,Ø))"
1	2	"data/c2-055.txt"	"7744626742"	"6"	"4"	0	"λx.pair((head(x)-1),Ø)"
1	3	"data/c2-055.txt"	"7826086634"	""	"34"	0	"λx.Ø"
1	4	"data/c2-055.txt"	"66434450"	""	"0"	0	"λx.Ø"
1	5	"data/c2-055.txt"	"7844523502"	""	"02"	0	"λx.Ø"
1	6	"data/c2-055.txt"	"454382156"	""	"21"	0	"λx.Ø"
1	7	"data/c2-055.txt"	"5870301121"	""	"1121"	0	"λx.Ø"
1	8	"data/c2-055.txt"	"5501572413"	"572413"	"2"	0	"λx.if((head(x)>0),tail(F(tail(x))),x)"
1	9	"data/c2-055.txt"	"575087806"	""	"806"	0	"λx.Ø"
1	10	"data/c2-055.txt"	"1829295486"	""	"29295486"	0	"λx.Ø"
1	11	"data/c2-055.txt"	"2877890605"	"77890605"	"7890605"	0	"λx.tail(tail(if(((2-head(x))>head(x)),F(tail(x)),x)))"
1	12	"data/c2-055.txt"	"25502935"	"02935"	"0293"	0	"λx.tail(tail(if((3>head(x)),if((2>head(x)),x,tail(x)),Ø)))"
1	13	"data/c2-055.txt"	"772181383"	""	"3"	0	"λx.tail(if((head(x)>1),Ø,tail(x)))"
1	14	"data/c2-055.txt"	"246292193"	""	"292"	0	"λx.tail(if((2>head(x)),tail(x),Ø))"
1	15	"data/c2-055.txt"	"575087806"	""	"806"	0	"λx.tail(tail(if((head(x)>1),Ø,x)))"
1	16	"data/c2-055.txt"	"56576846"	""	"46"	0	"λx.tail(tail(if((head(x)>1),Ø,x)))"
1	17	"data/c2-055.txt"	"6744878906"	""	"90"	0	"λx.tail(tail(if((head(x)>1),Ø,x)))"
1	18	"data/c2-055.txt"	"56576846"	""	"46"	0	"λx.tail(tail(if((head(x)>1),Ø,x)))"
1	19	"data/c2-055.txt"	"5501572413"	""	"2"	0	"λx.tail(tail(if((head(x)>1),Ø,x)))"
2	0	"data/c2-055.txt"	"3846134758"	"3846134758"	"134758"	0	"λx.x"
2	1	"data/c2-055.txt"	"459971649"	"71649"	"16"	0	"λx.tail(tail(tail(tail(x))))"
2	2	"data/c2-055.txt"	"565138290"	"290"	"29"	0	"λx.if((head(x)>2),F(tail(tail(x))),x)"
2	3	"data/c2-055.txt"	"7897064434"	""	"34"	0	"λx.if(((1-head(x))>head(x)),F(tail(tail(x))),x)"
2	4	"data/c2-055.txt"	"45723386"	""	"38"	0	"λx.if(((1-head(x))>head(x)),F(tail(tail(x))),x)"
2	5	"data/c2-055.txt"	"56576846"	""	"46"	0	"λx.if(((1-head(x))>head(x)),F(tail(tail(x))),x)"
2	6	"data/c2-055.txt"	"2627246338"	"2627246338"	"72463"	0	"λx.if((((head(tail(x))-6)+head(x))>4),tail(F(tail(x))),x)"
2	7	"data/c2-055.txt"	"6744878906"	""	"90"	0	"λx.if(((1-head(x))>head(x)),F(tail(tail(x))),x)"
2	8	"data/c2-055.txt"	"4717606957"	"17606957"	"0695"	0	"λx.if(((1-head(x))>head(x)),F(tail(tail(x))),x)"
2	9	"data/c2-055.txt"	"45124567"	""	"56"	0	"λx.Ø"
2	10	"data/c2-055.txt"	"6744878906"	""	"90"	0	"λx.Ø"
2	11	"data/c2-055.txt"	"2877890605"	""	"7890605"	0	"λx.Ø"
2	12	"data/c2-055.txt"	"7897064434"	""	"34"	0	"λx.Ø"
2	13	"data/c2-055.txt"	"66434450"	""	"0"	0	"λx.if((head(x)>0),tail(F(tail(x))),x)"
2	14	"data/c2-055.txt"	"66434450"	""	"0"	0	"λx.if((head(x)>0),tail(F(tail(x))),x)"
2	15	"data/c2-055.txt"	"2627246338"	""	"72463"	0	"λx.if((head(x)>0),tail(F(tail(x))),x)"
2	16	"data/c2-055.txt"	"4683510852"	""	"108"	0	"λx.if((head(x)>0),tail(F(tail(x))),x)"
2	17	"data/c2-055.txt"	"154813412"	""	"48134"	0	"λx.if((head(x)>0),tail(F(tail(x))),x)"
2	18	"data/c2-055.txt"	"2877890605"	""	"7890605"	0	"λx.if((head(x)>0),tail(F(tail(x))),x)"
