# c015: c xs = (cons (head xs) (cons (head xs) (cons (head xs) (cons (head xs) (cons (head xs) (cons (head xs) (cons (head xs) (cons (head xs) (cons (head xs) (cons (head xs) nil))))))))))
6;6,6,6,6,6,6,6,6,6,6
30,51,9,59;30,30,30,30,30,30,30,30,30,30
8,0,10,77,29,15;8,8,8,8,8,8,8,8,8,8
91,7,9,90,25,9,1,48;91,91,91,91,91,91,91,91,91,91
5,2,8,15,5,56,4,14,28;5,5,5,5,5,5,5,5,5,5
10,97,59,30;10,10,10,10,10,10,10,10,10,10
3,4,91;3,3,3,3,3,3,3,3,3,3
7,56,70,6,34,67,66,7;7,7,7,7,7,7,7,7,7,7
40;40,40,40,40,40,40,40,40,40,40
95,6;95,95,95,95,95,95,95,95,95,95
10,36,99,6,2,7;10,10,10,10,10,10,10,10,10,10
2,2,8,4,4,10;2,2,2,2,2,2,2,2,2,2
73,6;73,73,73,73,73,73,73,73,73,73
2,2;2,2,2,2,2,2,2,2,2,2
43,50,82;43,43,43,43,43,43,43,43,43,43
9,66,83,52;9,9,9,9,9,9,9,9,9,9
64,37,9,6,95;64,64,64,64,64,64,64,64,64,64
9,64,77,9,5,3,98;9,9,9,9,9,9,9,9,9,9
0,61;0,0,0,0,0,0,0,0,0,0
0,48,2,79,43;0,0,0,0,0,0,0,0,0,0
10;10,10,10,10,10,10,10,10,10,10
8;8,8,8,8,8,8,8,8,8,8
64,10,1,73,95;64,64,64,64,64,64,64,64,64,64
8,7,56,76,56,4,0;8,8,8,8,8,8,8,8,8,8
3,9,85,9,82,2,93,0,53;3,3,3,3,3,3,3,3,3,3
48,3,22,71,0,4;48,48,48,48,48,48,48,48,48,48
50,56,4,67,35,14,94,41,63;50,50,50,50,50,50,50,50,50,50
9,10,7,44,20,5,51,2,4;9,9,9,9,9,9,9,9,9,9
7,8,30,6,13,64,74,2;7,7,7,7,7,7,7,7,7,7
2,57,7,3,0,61,15;2,2,2,2,2,2,2,2,2,2
6,10,2;6,6,6,6,6,6,6,6,6,6
3,93,88,8,6,71,69,9;3,3,3,3,3,3,3,3,3,3
47,7,53,95,95;47,47,47,47,47,47,47,47,47,47
7,8;7,7,7,7,7,7,7,7,7,7
5,65;5,5,5,5,5,5,5,5,5,5
24,49,2,61,26;24,24,24,24,24,24,24,24,24,24
0;0,0,0,0,0,0,0,0,0,0
35,31,10;35,35,35,35,35,35,35,35,35,35
53,59,27,55,8,6,7;53,53,53,53,53,53,53,53,53,53
1,10,14;1,1,1,1,1,1,1,1,1,1
19,2,86,73,8,6;19,19,19,19,19,19,19,19,19,19
46;46,46,46,46,46,46,46,46,46,46
2,87,0,41,12,7,4;2,2,2,2,2,2,2,2,2,2
53;53,53,53,53,53,53,53,53,53,53
96;96,96,96,96,96,96,96,96,96,96
36,15,28,6,1;36,36,36,36,36,36,36,36,36,36
14,58,1,9;14,14,14,14,14,14,14,14,14,14
99,47,61,55,62,6;99,99,99,99,99,99,99,99,99,99
2,36,6,4,10,4,1;2,2,2,2,2,2,2,2,2,2
10,13,3,94,9;10,10,10,10,10,10,10,10,10,10
