# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on simon with PID=7989 by user piantado at Wed Dec  4 16:34:46 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 2fb1c47ee31e2c3b1aaf2768a7d98678  /proc/7989/exe
# 	 --input=data/c010.txt
# 	 --threads=2
# 	 --chains=4
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=10m (600 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# using data 5 -> 5
# using data 51b5_n53: -> :
# using data 57 -> 7
# using data 4 -> 4
# using data M:`4E3Qo -> o
# using data < -> <
# using data 2 -> 2
# using data :18201y55Y -> Y
# using data 9a04M -> M
# using data 8B6OGQ -> Q
# using data 5\ -> \
# using data Gwy7Ct280 -> 0
# using data 354>01 -> 1
# using data >9844 -> 4
# using data {YPXA392 -> 2
# using data a05 -> 5
# using data 580|9Xu -> u
# using data @uIB1]B[65 -> 5
# using data 87]4`3p61] -> ]
# using data 5{61`3Vc -> c
# using data 05004Bi:W -> W
# using data 24{:603E -> E
# using data ]9653 -> 3
# using data 9J25B:5i -> i
# using data gT4 -> 4
# using data 460 -> 0
# using data I2?x3:331 -> 1
# using data 2241V:1: -> :
# using data 1]5l2@4Fp8 -> 8
# using data 6 -> 6
# using data S0b3ZH2 -> 2
# using data 184FSn21? -> ?
# using data 0 -> 0
# using data pE:5 -> 5
# using data ;9J -> J
# using data :s999 -> 9
# using data 52D72y137 -> 7
# using data 8219YG5 -> 5
# using data H4S89:E0? -> ?
# using data :?S>83 -> 3
# using data 5:8c:2Ji6 -> 6
# using data 1<q`97 -> 7
# using data g -> g
# using data 3<506;58z: -> :
# using data sDO -> O
# using data 7 -> 7
# using data B129d -> d
# using data 7689e3 -> 3
# using data 97 -> 7
# using data 518K5?fs8 -> 8
i_run	i_N	concept	input	output	correct.output	correct	hypothesis
0	0	"data/c010.txt"	"Gwy7Ct280"	"Gwy7Ct280"	"0"	0	"λx.x"
0	1	"data/c010.txt"	"97"	"0"	"7"	0	"λx.pair(Ø,0)"
0	2	"data/c010.txt"	"g"	"g"	"g"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
0	3	"data/c010.txt"	":18201y55Y"	"Y"	"Y"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
0	4	"data/c010.txt"	"]9653"	"3"	"3"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
0	5	"data/c010.txt"	"H4S89:E0?"	"?"	"?"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
0	6	"data/c010.txt"	"@uIB1]B[65"	"5"	"5"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
0	7	"data/c010.txt"	"B129d"	"d"	"d"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
0	8	"data/c010.txt"	":?S>83"	"3"	"3"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
0	9	"data/c010.txt"	"1]5l2@4Fp8"	"8"	"8"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
0	10	"data/c010.txt"	"05004Bi:W"	"W"	"W"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
0	11	"data/c010.txt"	":s999"	"9"	"9"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
0	12	"data/c010.txt"	"sDO"	"O"	"O"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
0	13	"data/c010.txt"	">9844"	"4"	"4"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
0	14	"data/c010.txt"	"gT4"	"4"	"4"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
0	15	"data/c010.txt"	":s999"	"9"	"9"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
0	16	"data/c010.txt"	"{YPXA392"	"2"	"2"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
0	17	"data/c010.txt"	"Gwy7Ct280"	"0"	"0"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
0	18	"data/c010.txt"	"9a04M"	"M"	"M"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
0	19	"data/c010.txt"	"g"	"g"	"g"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
1	0	"data/c010.txt"	"3<506;58z:"	"3<506;58z:"	":"	0	"λx.x"
1	1	"data/c010.txt"	"1<q`97"	""	"7"	0	"λx.Ø"
1	2	"data/c010.txt"	"184FSn21?"	"?"	"?"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
1	3	"data/c010.txt"	":s999"	"9"	"9"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
1	4	"data/c010.txt"	"518K5?fs8"	"8"	"8"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
1	5	"data/c010.txt"	"0"	"0"	"0"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
1	6	"data/c010.txt"	"0"	"0"	"0"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
1	7	"data/c010.txt"	"580|9Xu"	"u"	"u"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
1	8	"data/c010.txt"	"05004Bi:W"	"W"	"W"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
1	9	"data/c010.txt"	"gT4"	"4"	"4"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
1	10	"data/c010.txt"	"pE:5"	"5"	"5"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
1	11	"data/c010.txt"	"184FSn21?"	"?"	"?"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
1	12	"data/c010.txt"	">9844"	"4"	"4"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
1	13	"data/c010.txt"	"6"	"6"	"6"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
1	14	"data/c010.txt"	":s999"	"9"	"9"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
1	15	"data/c010.txt"	"5{61`3Vc"	"c"	"c"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
1	16	"data/c010.txt"	"I2?x3:331"	"1"	"1"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
1	17	"data/c010.txt"	"]9653"	"3"	"3"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
1	18	"data/c010.txt"	"2"	"2"	"2"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
1	19	"data/c010.txt"	"87]4`3p61]"	"]"	"]"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
2	0	"data/c010.txt"	"5:8c:2Ji6"	"5:8c:2Ji6"	"6"	0	"λx.x"
2	1	"data/c010.txt"	"H4S89:E0?"	"6"	"?"	0	"λx.pair(Ø,6)"
2	2	"data/c010.txt"	"gT4"	"4"	"4"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
2	3	"data/c010.txt"	"580|9Xu"	"u"	"u"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
2	4	"data/c010.txt"	"52D72y137"	"7"	"7"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
2	5	"data/c010.txt"	"4"	"4"	"4"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
2	6	"data/c010.txt"	"1]5l2@4Fp8"	"8"	"8"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
2	7	"data/c010.txt"	":18201y55Y"	"Y"	"Y"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
2	8	"data/c010.txt"	"I2?x3:331"	"1"	"1"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
2	9	"data/c010.txt"	"{YPXA392"	"2"	"2"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
2	10	"data/c010.txt"	"0"	"0"	"0"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
2	11	"data/c010.txt"	"B129d"	"d"	"d"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
2	12	"data/c010.txt"	"580|9Xu"	"u"	"u"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
2	13	"data/c010.txt"	"a05"	"5"	"5"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
2	14	"data/c010.txt"	"7689e3"	"3"	"3"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
2	15	"data/c010.txt"	"3<506;58z:"	":"	":"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
2	16	"data/c010.txt"	"a05"	"5"	"5"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
2	17	"data/c010.txt"	"1]5l2@4Fp8"	"8"	"8"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
2	18	"data/c010.txt"	"g"	"g"	"g"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
2	19	"data/c010.txt"	"87]4`3p61]"	"]"	"]"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
3	0	"data/c010.txt"	"57"	"57"	"7"	0	"λx.x"
3	1	"data/c010.txt"	"9J25B:5i"	"J25B:5i"	"i"	0	"λx.tail(x)"
3	2	"data/c010.txt"	"Gwy7Ct280"	"0"	"0"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
3	3	"data/c010.txt"	";9J"	"J"	"J"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
3	4	"data/c010.txt"	"0"	"0"	"0"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
3	5	"data/c010.txt"	"sDO"	"O"	"O"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
3	6	"data/c010.txt"	"4"	"4"	"4"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
3	7	"data/c010.txt"	"87]4`3p61]"	"]"	"]"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
3	8	"data/c010.txt"	":s999"	"9"	"9"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
3	9	"data/c010.txt"	"4"	"4"	"4"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
3	10	"data/c010.txt"	"5{61`3Vc"	"c"	"c"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
3	11	"data/c010.txt"	"51b5_n53:"	":"	":"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
3	12	"data/c010.txt"	"1]5l2@4Fp8"	"8"	"8"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
3	13	"data/c010.txt"	"5:8c:2Ji6"	"6"	"6"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
3	14	"data/c010.txt"	":?S>83"	"3"	"3"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
3	15	"data/c010.txt"	"6"	"6"	"6"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
3	16	"data/c010.txt"	"97"	"7"	"7"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
3	17	"data/c010.txt"	"1]5l2@4Fp8"	"8"	"8"	1	"λx.if((Ø==tail(x)),x,F(tail(x)))"
