# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on simon with PID=7947 by user piantado at Wed Dec  4 16:34:46 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 2fb1c47ee31e2c3b1aaf2768a7d98678  /proc/7947/exe
# 	 --input=data/c006.txt
# 	 --threads=2
# 	 --chains=4
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=1m (60 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# using data >95PBjx03 -> 7>95PBjx03
# using data 9 -> 79
# using data @;2 -> 7@;2
# using data :33e3=A -> 7:33e3=A
# using data 16A5 -> 716A5
# using data 5?N7 -> 75?N7
# using data  -> 7
# using data > -> 7>
# using data 610AD| -> 7610AD|
# using data m9o -> 7m9o
# using data 6 -> 76
# using data 68|0kI9Hs -> 768|0kI9Hs
# using data ::4::27F -> 7::4::27F
# using data 29H730x -> 729H730x
# using data 84 -> 784
# using data u0EF9 -> 7u0EF9
# using data 65@ -> 765@
# using data V90Y1:8; -> 7V90Y1:8;
# using data Ijg -> 7Ijg
# using data 5 -> 75
# using data 9]:q10 -> 79]:q10
# using data <91e37l6 -> 7<91e37l6
# using data mCV:9 -> 7mCV:9
# using data 20P -> 720P
# using data Q8 -> 7Q8
# using data sA0t2: -> 7sA0t2:
# using data 7 -> 77
# using data 451_3L -> 7451_3L
# using data h23F -> 7h23F
# using data 5Fy74w -> 75Fy74w
# using data ej75t60 -> 7ej75t60
# using data 9Z1?5:w8u -> 79Z1?5:w8u
# using data 02 -> 702
# using data F -> 7F
# using data x0 -> 7x0
# using data 2c:0539: -> 72c:0539:
# using data I -> 7I
# using data 41l -> 741l
# using data B -> 7B
# using data 931:SGb06 -> 7931:SGb06
# using data ] -> 7]
# using data :]12 -> 7:]12
# using data 6:9:91xx -> 76:9:91xx
# using data 296Jo1v{{ -> 7296Jo1v{{
# using data a -> 7a
# using data 2 -> 72
# using data D0783M -> 7D0783M
# using data 300h:8gR: -> 7300h:8gR:
# using data 276 -> 7276
# using data 40 -> 740
i_run	i_N	concept	input	output	correct.output	correct	hypothesis
0	0	"data/c006.txt"	"I"	"I"	"7I"	0	"λx.x"
0	1	"data/c006.txt"	"68|0kI9Hs"	"76"	"768|0kI9Hs"	0	"λx.pair(pair(Ø,7),head(x))"
0	2	"data/c006.txt"	"9]:q10"	"79"	"79]:q10"	0	"λx.pair(pair(Ø,7),head(x))"
0	3	"data/c006.txt"	"a"	"7a"	"7a"	1	"λx.pair(pair(Ø,7),head(x))"
0	4	"data/c006.txt"	":33e3=A"	"7:"	"7:33e3=A"	0	"λx.pair(pair(Ø,7),head(x))"
0	5	"data/c006.txt"	"7"	"77"	"77"	1	"λx.pair(pair(Ø,7),head(x))"
0	6	"data/c006.txt"	"7"	"77"	"77"	1	"λx.pair(pair(Ø,7),head(x))"
0	7	"data/c006.txt"	"610AD|"	"76"	"7610AD|"	0	"λx.pair(pair(Ø,7),head(x))"
0	8	"data/c006.txt"	"2"	"72"	"72"	1	"λx.pair(pair(Ø,7),head(x))"
0	9	"data/c006.txt"	""	"7~"	"7"	0	"λx.pair(pair(Ø,7),head(x))"
0	10	"data/c006.txt"	"@;2"	"7@"	"7@;2"	0	"λx.if((Ø==x),x,pair(pair(Ø,7),head(x)))"
0	11	"data/c006.txt"	"ej75t60"	"7e"	"7ej75t60"	0	"λx.if((Ø==x),x,pair(pair(Ø,7),head(x)))"
0	12	"data/c006.txt"	"9]:q10"	"79"	"79]:q10"	0	"λx.if((Ø==x),x,pair(pair(Ø,7),head(x)))"
0	13	"data/c006.txt"	"I"	"7I"	"7I"	1	"λx.if((Ø==x),x,pair(pair(Ø,7),head(x)))"
0	14	"data/c006.txt"	"9Z1?5:w8u"	"79"	"79Z1?5:w8u"	0	"λx.if((Ø==x),x,pair(pair(Ø,7),head(x)))"
0	15	"data/c006.txt"	"@;2"	"7@"	"7@;2"	0	"λx.if((Ø==x),x,pair(pair(Ø,7),head(x)))"
0	16	"data/c006.txt"	"9]:q10"	"79"	"79]:q10"	0	"λx.if((Ø==x),x,pair(pair(Ø,7),head(x)))"
0	17	"data/c006.txt"	"7"	"77"	"77"	1	"λx.if((Ø==x),x,pair(pair(Ø,7),head(x)))"
0	18	"data/c006.txt"	"40"	"74"	"740"	0	"λx.if((Ø==x),x,pair(pair(Ø,7),head(x)))"
0	19	"data/c006.txt"	"40"	"74"	"740"	0	"λx.if((Ø==x),x,pair(pair(Ø,7),head(x)))"
1	0	"data/c006.txt"	"F"	"F"	"7F"	0	"λx.x"
1	1	"data/c006.txt"	"2"	"72"	"72"	1	"λx.pair(pair(Ø,7),head(x))"
