# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on simon with PID=8023 by user piantado at Wed Dec  4 16:34:46 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 2fb1c47ee31e2c3b1aaf2768a7d98678  /proc/8023/exe
# 	 --input=data/c011.txt
# 	 --threads=2
# 	 --chains=4
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=1m (60 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# using data :t7n -> :t7
# using data F0 -> F
# using data 436885 -> 43688
# using data C2V170:578 -> C2V170:57
# using data NEb -> NE
# using data <9B: -> <9B
# using data 5<]N68976 -> 5<]N6897
# using data 3090xP -> 3090x
# using data npF -> np
# using data 9@1 -> 9@
# using data x2:9427 -> x2:942
# using data : -> 
# using data k822@71;E: -> k822@71;E
# using data 50>C6484 -> 50>C648
# using data 73ID@:=>97 -> 73ID@:=>9
# using data 5 -> 
# using data 80>68 -> 80>6
# using data 626|h6s -> 626|h6
# using data 5299185 -> 529918
# using data V`8X -> V`8
# using data 268OAE7g -> 268OAE7
# using data 7={21 -> 7={2
# using data B14T -> B14
# using data 5e3 -> 5e
# using data cQN5716 -> cQN571
# using data Afa2g7P -> Afa2g7
# using data 758 -> 75
# using data 6|5N<s7J:q -> 6|5N<s7J:
# using data 0| -> 0
# using data 4s92^o06 -> 4s92^o0
# using data A -> 
# using data 06<[:4 -> 06<[:
# using data 0=L:18 -> 0=L:1
# using data :O7Ek61:7: -> :O7Ek61:7
# using data Z -> 
# using data 114:1:I7 -> 114:1:I
# using data 69HA5:2 -> 69HA5:
# using data e?V6Y -> e?V6
# using data \85:005N54 -> \85:005N5
# using data 7wvD -> 7wv
# using data x73a6 -> x73a
# using data :658 -> :65
# using data 9:o8@4229 -> 9:o8@422
# using data vvo -> vv
# using data 140 -> 14
# using data 06=82:64 -> 06=82:6
# using data 0:X229=Z0 -> 0:X229=Z
# using data 23:9D300f -> 23:9D300
# using data 95635:V6 -> 95635:V
# using data n09:C -> n09:
i_run	i_N	concept	input	output	correct.output	correct	hypothesis
0	0	"data/c011.txt"	"5e3"	"5e3"	"5e"	0	"λx.x"
0	1	"data/c011.txt"	"50>C6484"	"5"	"50>C648"	0	"λx.pair(Ø,5)"
0	2	"data/c011.txt"	"<9B:"	"59"	"<9B"	0	"λx.pair(pair(Ø,5),head(tail(x)))"
0	3	"data/c011.txt"	"140"	"14"	"14"	1	"λx.pair(pair(Ø,head(x)),head(tail(x)))"
0	4	"data/c011.txt"	"7={21"	"7="	"7={2"	0	"λx.pair(pair(Ø,head(x)),head(tail(x)))"
0	5	"data/c011.txt"	"758"	"75"	"75"	1	"λx.pair(pair(Ø,head(x)),head(tail(x)))"
0	6	"data/c011.txt"	"7wvD"	"7w"	"7wv"	0	"λx.pair(pair(Ø,head(x)),head(tail(x)))"
0	7	"data/c011.txt"	"<9B:"	"<9"	"<9B"	0	"λx.pair(pair(Ø,head(x)),head(tail(x)))"
0	8	"data/c011.txt"	"3090xP"	"30"	"3090x"	0	"λx.pair(pair(Ø,head(x)),head(tail(x)))"
0	9	"data/c011.txt"	"n09:C"	"n0"	"n09:"	0	"λx.pair(pair(Ø,head(x)),head(tail(x)))"
0	10	"data/c011.txt"	"436885"	"43"	"43688"	0	"λx.pair(pair(Ø,head(x)),head(tail(x)))"
0	11	"data/c011.txt"	"B14T"	"B1"	"B14"	0	"λx.pair(pair(Ø,head(x)),head(tail(x)))"
0	12	"data/c011.txt"	"0:X229=Z0"	"0:"	"0:X229=Z"	0	"λx.pair(pair(Ø,head(x)),head(tail(x)))"
0	13	"data/c011.txt"	"80>68"	"80"	"80>6"	0	"λx.pair(pair(Ø,head(x)),head(tail(x)))"
0	14	"data/c011.txt"	"C2V170:578"	"C2"	"C2V170:57"	0	"λx.pair(pair(Ø,head(x)),head(tail(x)))"
0	15	"data/c011.txt"	"4s92^o06"	"4s"	"4s92^o0"	0	"λx.pair(pair(Ø,head(x)),head(tail(x)))"
0	16	"data/c011.txt"	"23:9D300f"	"23"	"23:9D300"	0	"λx.pair(pair(Ø,head(x)),head(tail(x)))"
0	17	"data/c011.txt"	"06=82:64"	"06"	"06=82:6"	0	"λx.pair(pair(Ø,head(x)),head(tail(x)))"
0	18	"data/c011.txt"	"0:X229=Z0"	"0:"	"0:X229=Z"	0	"λx.pair(pair(Ø,head(x)),head(tail(x)))"
0	19	"data/c011.txt"	"vvo"	"vv"	"vv"	1	"λx.pair(pair(Ø,head(x)),head(tail(x)))"
1	0	"data/c011.txt"	"Z"	"Z"	""	0	"λx.x"
1	1	"data/c011.txt"	"5"	""	""	1	"λx.Ø"
1	2	"data/c011.txt"	"5e3"	""	"5e"	0	"λx.Ø"
1	3	"data/c011.txt"	"F0"	""	"F"	0	"λx.Ø"
1	4	"data/c011.txt"	"06=82:64"	""	"06=82:6"	0	"λx.Ø"
1	5	"data/c011.txt"	"x73a6"	"x"	"x73a"	0	"λx.if((F(x)==tail(x)),Ø,pair(Ø,head(x)))"
1	6	"data/c011.txt"	"0=L:18"	"0"	"0=L:1"	0	"λx.if((F(x)==tail(x)),Ø,pair(Ø,head(x)))"
1	7	"data/c011.txt"	"cQN5716"	"c"	"cQN571"	0	"λx.if((F(x)==tail(x)),Ø,pair(Ø,head(x)))"
1	8	"data/c011.txt"	"4s92^o06"	"4"	"4s92^o0"	0	"λx.if((F(x)==tail(x)),Ø,pair(Ø,head(x)))"
1	9	"data/c011.txt"	"0:X229=Z0"	"0"	"0:X229=Z"	0	"λx.if((F(x)==tail(x)),Ø,pair(Ø,head(x)))"
1	10	"data/c011.txt"	"Z"	""	""	1	"λx.if((F(x)==tail(x)),Ø,pair(Ø,head(x)))"
1	11	"data/c011.txt"	"73ID@:=>97"	"7"	"73ID@:=>9"	0	"λx.if((F(x)==tail(x)),Ø,pair(Ø,head(x)))"
1	12	"data/c011.txt"	"140"	"1"	"14"	0	"λx.if((F(x)==tail(x)),Ø,pair(Ø,head(x)))"
1	13	"data/c011.txt"	"e?V6Y"	"e"	"e?V6"	0	"λx.if((F(x)==tail(x)),Ø,pair(Ø,head(x)))"
1	14	"data/c011.txt"	"x2:9427"	"x"	"x2:942"	0	"λx.if((F(x)==tail(x)),Ø,pair(Ø,head(x)))"
1	15	"data/c011.txt"	"C2V170:578"	"C"	"C2V170:57"	0	"λx.if((F(x)==tail(x)),Ø,pair(Ø,head(x)))"
1	16	"data/c011.txt"	"69HA5:2"	"6"	"69HA5:"	0	"λx.if((F(x)==tail(x)),Ø,pair(Ø,head(x)))"
1	17	"data/c011.txt"	"5299185"	"5"	"529918"	0	"λx.if((Ø==tail(x)),Ø,pair(Ø,head(x)))"
1	18	"data/c011.txt"	"<9B:"	"<"	"<9B"	0	"λx.if((Ø==tail(x)),Ø,pair(Ø,head(x)))"
1	19	"data/c011.txt"	"NEb"	"N"	"NE"	0	"λx.if((Ø==tail(x)),Ø,pair(Ø,head(x)))"
2	0	"data/c011.txt"	"Afa2g7P"	"Afa2g7P"	"Afa2g7"	0	"λx.x"
2	1	"data/c011.txt"	"0=L:18"	"0"	"0=L:1"	0	"λx.pair(Ø,head(x))"
2	2	"data/c011.txt"	":O7Ek61:7:"	":"	":O7Ek61:7"	0	"λx.pair(Ø,head(x))"
2	3	"data/c011.txt"	"<9B:"	"<9"	"<9B"	0	"λx.pair(pair(Ø,head(x)),head(tail(x)))"
2	4	"data/c011.txt"	"Afa2g7P"	"Af"	"Afa2g7"	0	"λx.pair(pair(Ø,head(x)),head(tail(x)))"
2	5	"data/c011.txt"	"95635:V6"	"95"	"95635:V"	0	"λx.pair(pair(Ø,head(x)),head(tail(x)))"
2	6	"data/c011.txt"	"9:o8@4229"	"9:"	"9:o8@422"	0	"λx.pair(pair(Ø,head(x)),head(tail(x)))"
2	7	"data/c011.txt"	"npF"	"np"	"np"	1	"λx.pair(pair(Ø,head(x)),head(tail(x)))"
