i_N,n_seen,accuracy,input,correct,predicted
0,0,0,"C (CONS (DIGIT 5) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 8) (CONS (DECC (DIGIT 5) 1) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 2) (CONS (DECC (DIGIT 2) 6) (CONS (DECC (DIGIT 5) 7) (CONS (DIGIT 6) [])))))))))","CONS (DIGIT 6) []","C (CONS (DIGIT 5) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 8) (CONS (DECC (DIGIT 5) 1) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 2) (CONS (DECC (DIGIT 2) 6) (CONS (DECC (DIGIT 5) 7) (CONS (DIGIT 6) [])))))))))"
1,3000,0,"C (CONS (DECC (DIGIT 2) 3) (CONS (DECC (DIGIT 7) 1) (CONS (DECC (DIGIT 7) 3) (CONS (DIGIT 7) (CONS (DECC (DIGIT 9) 6) (CONS (DECC (DIGIT 6) 8) (CONS (DIGIT 2) (CONS (DIGIT 8) (CONS (DIGIT 0) [])))))))))","CONS (DIGIT 0) []","CONS (DIGIT 6) []"
2,3000,1,"C (CONS (DIGIT 5) (CONS (DIGIT 7) []))","CONS (DIGIT 7) []","CONS (DIGIT 7) []"
3,2010,1,"C (CONS (DIGIT 4) [])","CONS (DIGIT 4) []","CONS (DIGIT 4) []"
4,1350,0,"C (CONS (DIGIT 8) (CONS (DIGIT 2) (CONS (DIGIT 1) (CONS (DIGIT 9) (CONS (DECC (DIGIT 4) 1) (CONS (DECC (DIGIT 2) 3) (CONS (DIGIT 5) [])))))))","CONS (DIGIT 5) []","CONS (DIGIT 8) (CONS (DIGIT 2) (CONS (DIGIT 1) (CONS (DIGIT 9) (CONS (DECC (DIGIT 4) 1) (CONS (DECC (DIGIT 2) 3) (CONS (DIGIT 5) []))))))"
5,2030,1,"C (CONS (DIGIT 4) (CONS (DIGIT 6) (CONS (DIGIT 0) [])))","CONS (DIGIT 0) []","CONS (DIGIT 0) []"
6,1360,1,"C (CONS (DIGIT 9) (CONS (DECC (DIGIT 2) 6) (CONS (DIGIT 2) (CONS (DECC (DIGIT 8) 2) (CONS (DECC (DIGIT 9) 5) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 8) 2) (CONS (DECC (DIGIT 5) 7) []))))))))","CONS (DECC (DIGIT 5) 7) []","CONS (DECC (DIGIT 5) 7) []"
7,910,1,"C (CONS (DECC (DIGIT 6) 4) (CONS (DECC (DIGIT 9) 8) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 5) []))))","CONS (DIGIT 5) []","CONS (DIGIT 5) []"
8,610,1,"C (CONS (DIGIT 5) [])","CONS (DIGIT 5) []","CONS (DIGIT 5) []"
9,410,1,"C (CONS (DIGIT 2) (CONS (DECC (DIGIT 8) 1) (CONS (DECC (DIGIT 7) 5) (CONS (DECC (DIGIT 1) 0) (CONS (DIGIT 6) (CONS (DIGIT 0) (CONS (DIGIT 3) (CONS (DECC (DIGIT 2) 1) []))))))))","CONS (DECC (DIGIT 2) 1) []","CONS (DECC (DIGIT 2) 1) []"
10,280,1,"C (CONS (DIGIT 9) (CONS (DIGIT 7) []))","CONS (DIGIT 7) []","CONS (DIGIT 7) []"
11,190,1,"C (CONS (DIGIT 5) (CONS (DECC (DIGIT 7) 9) (CONS (DECC (DIGIT 2) 0) (CONS (DIGIT 7) (CONS (DIGIT 2) (CONS (DECC (DIGIT 7) 3) (CONS (DIGIT 1) (CONS (DIGIT 3) (CONS (DIGIT 7) [])))))))))","CONS (DIGIT 7) []","CONS (DIGIT 7) []"
12,130,1,"C (CONS (DIGIT 0) [])","CONS (DIGIT 0) []","CONS (DIGIT 0) []"
13,90,1,"C (CONS (DIGIT 7) [])","CONS (DIGIT 7) []","CONS (DIGIT 7) []"
14,70,1,"C (CONS (DIGIT 2) [])","CONS (DIGIT 2) []","CONS (DIGIT 2) []"
15,50,1,"C (CONS (DIGIT 5) (CONS (DECC (DIGIT 7) 5) (CONS (DIGIT 6) (CONS (DIGIT 1) (CONS (DECC (DIGIT 4) 8) (CONS (DIGIT 3) (CONS (DECC (DIGIT 3) 8) (CONS (DECC (DIGIT 5) 1) []))))))))","CONS (DECC (DIGIT 5) 1) []","CONS (DECC (DIGIT 5) 1) []"
16,40,1,"C (CONS (DECC (DIGIT 2) 5) (CONS (DIGIT 2) (CONS (DECC (DIGIT 9) 2) (CONS (DECC (DIGIT 7) 2) (CONS (DECC (DIGIT 8) 0) (CONS (DECC (DIGIT 1) 0) (CONS (DECC (DIGIT 8) 0) (CONS (DIGIT 3) (CONS (DIGIT 1) [])))))))))","CONS (DIGIT 1) []","CONS (DIGIT 1) []"
17,30,1,"C (CONS (DECC (DIGIT 1) 4) (CONS (DIGIT 9) (CONS (DIGIT 8) (CONS (DIGIT 4) (CONS (DIGIT 4) [])))))","CONS (DIGIT 4) []","CONS (DIGIT 4) []"
18,30,1,"C (CONS (DECC (DIGIT 7) 5) (CONS (DECC (DIGIT 4) 1) (CONS (DECC (DIGIT 3) 2) (CONS (DECC (DIGIT 4) 0) (CONS (DECC (DIGIT 1) 7) (CONS (DIGIT 3) (CONS (DIGIT 9) (CONS (DIGIT 2) []))))))))","CONS (DIGIT 2) []","CONS (DIGIT 2) []"
19,30,1,"C (CONS (DIGIT 6) [])","CONS (DIGIT 6) []","CONS (DIGIT 6) []"
