# c2-003: C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))
9,1,4;
0,0;
4;
8,0,2,5,1,1,1,1;1
1,5;
7;
5;
8,8,5,6,9,9,2,8,5,9;2
5,5,8,9,1;
;
8,6,9,4,6;
0,5,9;
9,3,1;
3,2,3,2,9;
0,3,2,5,9,3,4,9,5;4
5,9,2,7,4,6,8,2,1,0;8
2,8,2;
0,9,7,0;
2;
4,8,5,4;
0,6,4,3,3,0,3,1,8;3
0,8;
8,1,9;
3,0,9,8,1,0;
6,3,4,6,2,6,4;4
9,1,9,1,1,8,8,2;8
3,7,6,4;
2,8,7,6;
4,6,1,3,2,1,2;2
2,5,3,7,3,5,4,4;4
4,1,7,2,5,1,7;7
7,5,3;
0,8,1,5,1;
3,6,2,5;
5,9,9,6,4,4,8,7;8
8,9;
9,4,9,0,7,6,4,5;4
4,8,8,2,0,6,6,6,3,5;6
4,6,7;
0,1,6,1,3,0,3,1,4,1;3
8,1,7,2;
4,0,9,9,1;
0,8,6,6,8,4,1,0,4;1
8,5,3,0,5,4;
8;
2,5,3,2,8;
2,1,5;
0,0,2,7,2;
9,6,4,3,0,0,3,0;3
6,6,0,0,0,7,9,4,0;9
