# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on simon with PID=7293 by user piantado at Wed Dec  4 16:33:57 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 75de067d9790c8abe3432331157b2715  /proc/7293/exe
# 	 --input=data/c2-001.txt
# 	 --threads=2
# 	 --chains=4
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=10m (600 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# using data 5 -> 
# using data  -> 
# using data 8 -> 
# using data 96 -> 
# using data 91 -> 
# using data 17 -> 
# using data 27109917 -> 1
# using data 43 -> 
# using data 82 -> 
# using data 39549 -> 5
# using data 35876439 -> 8
# using data 71714245 -> 7
# using data 07 -> 
# using data 5815209240 -> 1
# using data 86941 -> 9
# using data 76956 -> 9
# using data 56 -> 
# using data 17438275 -> 4
# using data 6424 -> 2
# using data 569524595 -> 9
# using data 36 -> 
# using data 68 -> 
# using data 0 -> 
# using data 8326728 -> 2
# using data 3985001 -> 8
# using data 6 -> 
# using data 237465 -> 7
# using data 69550468 -> 5
# using data 254210165 -> 4
# using data 0312 -> 1
# using data 1 -> 
# using data 11 -> 
# using data 64268440 -> 2
# using data 9 -> 
# using data 7 -> 
# using data 6456 -> 5
# using data 4175316383 -> 7
# using data 274033 -> 4
# using data 44 -> 
# using data 5295 -> 9
# using data 271782 -> 1
# using data 68310 -> 3
# using data 32 -> 
# using data 219910 -> 9
# using data 46 -> 
# using data 04 -> 
# using data 4 -> 
# using data 5398037 -> 9
# using data 97 -> 
# using data 3 -> 
i_run	i_N	concept	input	output	correct.output	correct	hypothesis
0	0	"data/c2-001.txt"	"69550468"	"69550468"	"5"	0	"λx.x"
0	1	"data/c2-001.txt"	"4"	"5"	""	0	"λx.pair(5,Ø)"
0	2	"data/c2-001.txt"	"97"	""	""	1	"λx.Ø"
0	3	"data/c2-001.txt"	"219910"	""	"9"	0	"λx.Ø"
0	4	"data/c2-001.txt"	"8326728"	""	"2"	0	"λx.Ø"
0	5	"data/c2-001.txt"	"4"	""	""	1	"λx.Ø"
0	6	"data/c2-001.txt"	"11"	""	""	1	"λx.Ø"
0	7	"data/c2-001.txt"	"97"	""	""	1	"λx.Ø"
0	8	"data/c2-001.txt"	"69550468"	""	"5"	0	"λx.Ø"
0	9	"data/c2-001.txt"	"9"	""	""	1	"λx.Ø"
0	10	"data/c2-001.txt"	"7"	""	""	1	"λx.Ø"
0	11	"data/c2-001.txt"	"56"	""	""	1	"λx.Ø"
0	12	"data/c2-001.txt"	"68"	""	""	1	"λx.Ø"
0	13	"data/c2-001.txt"	"56"	""	""	1	"λx.Ø"
0	14	"data/c2-001.txt"	"71714245"	""	"7"	0	"λx.Ø"
0	15	"data/c2-001.txt"	"237465"	""	"7"	0	"λx.Ø"
0	16	"data/c2-001.txt"	"3"	""	""	1	"λx.Ø"
0	17	"data/c2-001.txt"	"17"	""	""	1	"λx.Ø"
0	18	"data/c2-001.txt"	"271782"	""	"1"	0	"λx.Ø"
0	19	"data/c2-001.txt"	"96"	""	""	1	"λx.Ø"
1	0	"data/c2-001.txt"	"46"	"46"	""	0	"λx.x"
1	1	"data/c2-001.txt"	"271782"	""	"1"	0	"λx.Ø"
1	2	"data/c2-001.txt"	"35876439"	""	"8"	0	"λx.Ø"
1	3	"data/c2-001.txt"	"4"	""	""	1	"λx.Ø"
1	4	"data/c2-001.txt"	"3985001"	""	"8"	0	"λx.Ø"
1	5	"data/c2-001.txt"	"271782"	""	"1"	0	"λx.Ø"
1	6	"data/c2-001.txt"	"3985001"	"8"	"8"	1	"λx.if((head(x)>3),Ø,pair(head(tail(tail(x))),Ø))"
1	7	"data/c2-001.txt"	"237465"	"7"	"7"	1	"λx.if((head(x)>3),Ø,pair(head(tail(tail(x))),Ø))"
1	8	"data/c2-001.txt"	"68310"	""	"3"	0	"λx.if((head(x)>3),Ø,pair(head(tail(tail(x))),Ø))"
1	9	"data/c2-001.txt"	"97"	""	""	1	"λx.if((Ø==tail(tail(x))),Ø,pair(head(tail(tail(x))),Ø))"
1	10	"data/c2-001.txt"	"82"	""	""	1	"λx.if((Ø==tail(tail(x))),Ø,pair(head(tail(tail(x))),Ø))"
1	11	"data/c2-001.txt"	"36"	""	""	1	"λx.if((Ø==tail(tail(x))),Ø,pair(head(tail(tail(x))),Ø))"
