# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on simon with PID=7307 by user piantado at Wed Dec  4 16:33:57 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 75de067d9790c8abe3432331157b2715  /proc/7307/exe
# 	 --input=data/c2-003.txt
# 	 --threads=2
# 	 --chains=4
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=10m (600 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# using data 914 -> 
# using data 00 -> 
# using data 4 -> 
# using data 80251111 -> 1
# using data 15 -> 
# using data 7 -> 
# using data 5 -> 
# using data 8856992859 -> 2
# using data 55891 -> 
# using data  -> 
# using data 86946 -> 
# using data 059 -> 
# using data 931 -> 
# using data 32329 -> 
# using data 032593495 -> 4
# using data 5927468210 -> 8
# using data 282 -> 
# using data 0970 -> 
# using data 2 -> 
# using data 4854 -> 
# using data 064330318 -> 3
# using data 08 -> 
# using data 819 -> 
# using data 309810 -> 
# using data 6346264 -> 4
# using data 91911882 -> 8
# using data 3764 -> 
# using data 2876 -> 
# using data 4613212 -> 2
# using data 25373544 -> 4
# using data 4172517 -> 7
# using data 753 -> 
# using data 08151 -> 
# using data 3625 -> 
# using data 59964487 -> 8
# using data 89 -> 
# using data 94907645 -> 4
# using data 4882066635 -> 6
# using data 467 -> 
# using data 0161303141 -> 3
# using data 8172 -> 
# using data 40991 -> 
# using data 086684104 -> 1
# using data 853054 -> 
# using data 8 -> 
# using data 25328 -> 
# using data 215 -> 
# using data 00272 -> 
# using data 96430030 -> 3
# using data 660007940 -> 9
i_run	i_N	concept	input	output	correct.output	correct	hypothesis
0	0	"data/c2-003.txt"	"064330318"	"064330318"	"3"	0	"λx.x"
0	1	"data/c2-003.txt"	"0161303141"	"3"	"3"	1	"λx.pair(3,Ø)"
0	2	"data/c2-003.txt"	"282"	"3"	""	0	"λx.pair(3,Ø)"
0	3	"data/c2-003.txt"	"3764"	""	""	1	"λx.Ø"
0	4	"data/c2-003.txt"	"3764"	""	""	1	"λx.Ø"
0	5	"data/c2-003.txt"	"086684104"	""	"1"	0	"λx.Ø"
0	6	"data/c2-003.txt"	"55891"	""	""	1	"λx.Ø"
0	7	"data/c2-003.txt"	"4172517"	""	"7"	0	"λx.Ø"
0	8	"data/c2-003.txt"	"0161303141"	""	"3"	0	"λx.Ø"
0	9	"data/c2-003.txt"	"00"	""	""	1	"λx.Ø"
0	10	"data/c2-003.txt"	"4613212"	""	"2"	0	"λx.Ø"
0	11	"data/c2-003.txt"	"86946"	""	""	1	"λx.Ø"
0	12	"data/c2-003.txt"	"3764"	""	""	1	"λx.Ø"
0	13	"data/c2-003.txt"	"00"	""	""	1	"λx.Ø"
0	14	"data/c2-003.txt"	"55891"	""	""	1	"λx.Ø"
0	15	"data/c2-003.txt"	"0970"	""	""	1	"λx.Ø"
0	16	"data/c2-003.txt"	"15"	""	""	1	"λx.Ø"
0	17	"data/c2-003.txt"	"4882066635"	""	"6"	0	"λx.Ø"
0	18	"data/c2-003.txt"	"914"	""	""	1	"λx.Ø"
0	19	"data/c2-003.txt"	"5"	""	""	1	"λx.Ø"
1	0	"data/c2-003.txt"	"25373544"	"25373544"	"4"	0	"λx.x"
1	1	"data/c2-003.txt"	"59964487"	"4"	"8"	0	"λx.pair(4,Ø)"
1	2	"data/c2-003.txt"	"4854"	"7"	""	0	"λx.pair((head(tail(x))-1),Ø)"
1	3	"data/c2-003.txt"	"215"	""	""	1	"λx.Ø"
1	4	"data/c2-003.txt"	"282"	""	""	1	"λx.Ø"
1	5	"data/c2-003.txt"	"309810"	""	""	1	"λx.Ø"
1	6	"data/c2-003.txt"	"3625"	""	""	1	"λx.Ø"
