# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on simon with PID=7331 by user piantado at Wed Dec  4 16:33:57 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 75de067d9790c8abe3432331157b2715  /proc/7331/exe
# 	 --input=data/c2-005.txt
# 	 --threads=2
# 	 --chains=4
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=10m (600 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# using data 84383 -> 84
# using data  -> 
# using data 6 -> 6
# using data 9 -> 9
# using data 8 -> 8
# using data 3784133716 -> 37
# using data 530593827 -> 53
# using data 1 -> 1
# using data 3 -> 3
# using data 7 -> 7
# using data 4245631 -> 42
# using data 63025 -> 63
# using data 989026 -> 98
# using data 2 -> 2
# using data 5 -> 5
# using data 4 -> 4
# using data 42767 -> 42
# using data 3096601 -> 30
# using data 8792955 -> 87
# using data 4412002 -> 44
# using data 002712 -> 00
# using data 85853841 -> 85
# using data 8652704 -> 86
# using data 688 -> 68
# using data 1052524 -> 10
# using data 782082 -> 78
# using data 040581 -> 04
# using data 1970 -> 19
# using data 258 -> 25
# using data 687 -> 68
# using data 5882599861 -> 58
# using data 3671183 -> 36
# using data 97808 -> 97
# using data 8903979 -> 89
# using data 9782 -> 97
# using data 232878 -> 23
# using data 08895579 -> 08
# using data 011813079 -> 01
# using data 478080113 -> 47
# using data 3100025469 -> 31
# using data 8775167 -> 87
# using data 28847 -> 28
# using data 0 -> 0
# using data 07 -> 07
# using data 76177821 -> 76
# using data 234 -> 23
# using data 43626 -> 43
# using data 66 -> 66
# using data 07266 -> 07
# using data 36 -> 36
i_run	i_N	concept	input	output	correct.output	correct	hypothesis
0	0	"data/c2-005.txt"	"1"	"1"	"1"	1	"λx.x"
0	1	"data/c2-005.txt"	"42767"	"42767"	"42"	0	"λx.x"
0	2	"data/c2-005.txt"	"4245631"	"4"	"42"	0	"λx.pair(head(x),Ø)"
0	3	"data/c2-005.txt"	"530593827"	"5"	"53"	0	"λx.pair(head(x),Ø)"
0	4	"data/c2-005.txt"	"234"	"2"	"23"	0	"λx.pair(head(x),F(tail(if((head(x)>3),x,Ø))))"
0	5	"data/c2-005.txt"	"08895579"	"08895579"	"08"	0	"λx.if((2>head(x)),x,pair(head(x),pair(head(tail(x)),Ø)))"
0	6	"data/c2-005.txt"	"3784133716"	"37"	"37"	1	"λx.pair(head(x),if((tail(x)==Ø),Ø,pair(head(tail(x)),Ø)))"
0	7	"data/c2-005.txt"	"040581"	"04"	"04"	1	"λx.pair(head(x),if((tail(x)==Ø),Ø,pair(head(tail(x)),Ø)))"
0	8	"data/c2-005.txt"	"63025"	"63"	"63"	1	"λx.pair(head(x),if((tail(x)==Ø),Ø,pair(head(tail(x)),Ø)))"
0	9	"data/c2-005.txt"	"4412002"	"44"	"44"	1	"λx.pair(head(x),if((tail(x)==Ø),Ø,pair(head(tail(x)),Ø)))"
0	10	"data/c2-005.txt"	"97808"	"97"	"97"	1	"λx.pair(head(x),if((tail(x)==Ø),Ø,pair(head(tail(x)),Ø)))"
0	11	"data/c2-005.txt"	"9"	"9"	"9"	1	"λx.pair(head(x),if((tail(x)==Ø),Ø,pair(head(tail(x)),Ø)))"
0	12	"data/c2-005.txt"	"530593827"	"53"	"53"	1	"λx.pair(head(x),if((tail(x)==Ø),Ø,pair(head(tail(x)),Ø)))"
0	13	"data/c2-005.txt"	"6"	"6"	"6"	1	"λx.pair(head(x),if((tail(x)==Ø),Ø,pair(head(tail(x)),Ø)))"
0	14	"data/c2-005.txt"	"3096601"	"30"	"30"	1	"λx.pair(head(x),if((tail(x)==Ø),Ø,pair(head(tail(x)),Ø)))"
0	15	"data/c2-005.txt"	"1"	"1"	"1"	1	"λx.pair(head(x),if((tail(x)==Ø),Ø,pair(head(tail(x)),Ø)))"
0	16	"data/c2-005.txt"	"3784133716"	"37"	"37"	1	"λx.pair(head(x),if((tail(x)==Ø),Ø,pair(head(tail(x)),Ø)))"
0	17	"data/c2-005.txt"	"8775167"	"87"	"87"	1	"λx.pair(head(x),if((tail(x)==Ø),Ø,pair(head(tail(x)),Ø)))"
0	18	"data/c2-005.txt"	"8"	"8"	"8"	1	"λx.pair(head(x),if((tail(x)==Ø),Ø,pair(head(tail(x)),Ø)))"
0	19	"data/c2-005.txt"	"8775167"	"87"	"87"	1	"λx.pair(head(x),if((tail(x)==Ø),Ø,pair(head(tail(x)),Ø)))"
1	0	"data/c2-005.txt"	"8792955"	"8792955"	"87"	0	"λx.x"
1	1	"data/c2-005.txt"	"989026"	"97"	"98"	0	"λx.pair(head(x),pair(7,Ø))"
1	2	"data/c2-005.txt"	"5882599861"	"58"	"58"	1	"λx.pair(head(x),pair(head(tail(x)),Ø))"
1	3	"data/c2-005.txt"	"63025"	"63"	"63"	1	"λx.pair(head(x),pair(head(tail(x)),Ø))"
1	4	"data/c2-005.txt"	"8792955"	"87"	"87"	1	"λx.pair(head(x),pair(head(tail(x)),Ø))"
1	5	"data/c2-005.txt"	"63025"	"63"	"63"	1	"λx.pair(head(x),pair(head(tail(x)),Ø))"
1	6	"data/c2-005.txt"	"66"	"66"	"66"	1	"λx.pair(head(x),pair(head(tail(x)),Ø))"
1	7	"data/c2-005.txt"	"782082"	"78"	"78"	1	"λx.pair(head(x),pair(head(tail(x)),Ø))"
1	8	"data/c2-005.txt"	"3784133716"	"37"	"37"	1	"λx.pair(head(x),pair(head(tail(x)),Ø))"
1	9	"data/c2-005.txt"	"258"	"25"	"25"	1	"λx.pair(head(x),pair(head(tail(x)),Ø))"
1	10	"data/c2-005.txt"	"1970"	"19"	"19"	1	"λx.pair(head(x),pair(head(tail(x)),Ø))"
1	11	"data/c2-005.txt"	"84383"	"84"	"84"	1	"λx.pair(head(x),pair(head(tail(x)),Ø))"
1	12	"data/c2-005.txt"	"002712"	"00"	"00"	1	"λx.pair(head(x),pair(head(tail(x)),Ø))"
1	13	"data/c2-005.txt"	"688"	"68"	"68"	1	"λx.pair(head(x),pair(head(tail(x)),Ø))"
1	14	"data/c2-005.txt"	"42767"	"42"	"42"	1	"λx.pair(head(x),pair(head(tail(x)),Ø))"
1	15	"data/c2-005.txt"	"3100025469"	"31"	"31"	1	"λx.pair(head(x),pair(head(tail(x)),Ø))"
1	16	"data/c2-005.txt"	"6"	"6N"	"6"	0	"λx.pair(head(x),pair(head(tail(x)),Ø))"
1	17	"data/c2-005.txt"	"07266"	"07"	"07"	1	"λx.pair(head(x),F(if((Ø==tail(x)),Ø,pair(head(tail(x)),Ø))))"
1	18	"data/c2-005.txt"	"5882599861"	"58"	"58"	1	"λx.pair(head(x),F(if((Ø==tail(x)),Ø,pair(head(tail(x)),Ø))))"
1	19	"data/c2-005.txt"	"8652704"	"86"	"86"	1	"λx.pair(head(x),if((tail(x)==Ø),Ø,pair(head(tail(x)),Ø)))"
2	0	"data/c2-005.txt"	"07266"	"07266"	"07"	0	"λx.x"
2	1	"data/c2-005.txt"	"84383"	"87"	"84"	0	"λx.pair(head(x),pair(7,Ø))"
2	2	"data/c2-005.txt"	"002712"	"00"	"00"	1	"λx.pair(head(x),pair(head(tail(x)),Ø))"
2	3	"data/c2-005.txt"	"76177821"	"76"	"76"	1	"λx.pair(head(x),pair(head(tail(x)),Ø))"
2	4	"data/c2-005.txt"	""	"NN"	""	0	"λx.pair(head(x),pair(head(tail(x)),Ø))"
2	5	"data/c2-005.txt"	"4412002"	"44"	"44"	1	"λx.if((Ø==x),x,pair(head(x),pair(head(tail(x)),Ø)))"
2	6	"data/c2-005.txt"	"8775167"	"87"	"87"	1	"λx.if((Ø==x),x,pair(head(x),pair(head(tail(x)),Ø)))"
2	7	"data/c2-005.txt"	"66"	"66"	"66"	1	"λx.if((Ø==x),x,pair(head(x),pair(head(tail(x)),Ø)))"
2	8	"data/c2-005.txt"	"8903979"	"89"	"89"	1	"λx.if((Ø==x),x,pair(head(x),pair(head(tail(x)),Ø)))"
2	9	"data/c2-005.txt"	"8792955"	"87"	"87"	1	"λx.if((Ø==x),x,pair(head(x),pair(head(tail(x)),Ø)))"
2	10	"data/c2-005.txt"	"43626"	"43"	"43"	1	"λx.if((Ø==x),x,pair(head(x),pair(head(tail(x)),Ø)))"
2	11	"data/c2-005.txt"	"234"	"23"	"23"	1	"λx.if((Ø==x),x,pair(head(x),pair(head(tail(x)),Ø)))"
2	12	"data/c2-005.txt"	"07266"	"07"	"07"	1	"λx.if((Ø==x),x,pair(head(x),pair(head(tail(x)),Ø)))"
2	13	"data/c2-005.txt"	"782082"	"78"	"78"	1	"λx.if((Ø==x),x,pair(head(x),pair(head(tail(x)),Ø)))"
2	14	"data/c2-005.txt"	"8775167"	"87"	"87"	1	"λx.if((Ø==x),x,pair(head(x),pair(head(tail(x)),Ø)))"
2	15	"data/c2-005.txt"	"8792955"	"87"	"87"	1	"λx.if((Ø==x),x,pair(head(x),pair(head(tail(x)),Ø)))"
2	16	"data/c2-005.txt"	"258"	"25"	"25"	1	"λx.if((Ø==x),x,pair(head(x),pair(head(tail(x)),Ø)))"
2	17	"data/c2-005.txt"	"9"	"9N"	"9"	0	"λx.if((Ø==x),x,pair(head(x),pair(head(tail(x)),Ø)))"
