# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on simon with PID=3920 by user piantado at Fri Dec  6 01:55:25 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 75de067d9790c8abe3432331157b2715  /proc/3920/exe
# 	 --input=data/c2-027.txt
# 	 --threads=2
# 	 --chains=4
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=10m (600 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# using data 627738340 -> 627738340
# using data 3862615140 -> 3862315140
# using data  -> 
# using data 41525 -> 41523
# using data 95617 -> 95613
# using data 3645 -> 3645
# using data 0121710638 -> 0121310638
# using data 89384590 -> 89383590
# using data 7293423704 -> 7293323704
# using data 251653813 -> 251633813
# using data 0280352 -> 0280352
# using data 6 -> 6
# using data 43970 -> 43973
# using data 69997 -> 69993
# using data 73927552 -> 73923552
# using data 011190 -> 011130
# using data 0764 -> 0764
# using data 023524 -> 023534
# using data 750 -> 750
# using data 5571828596 -> 5571328596
# using data 1143879 -> 1143379
# using data 19165321 -> 19163321
# using data 5508032085 -> 5508332085
# using data 74298 -> 74293
# using data 43785 -> 43783
# using data 94044766 -> 94043766
# using data 1185 -> 1185
# using data 432 -> 432
# using data 1 -> 1
# using data 3860524 -> 3860324
# using data 8064169426 -> 8064369426
# using data 71 -> 71
# using data 47 -> 47
# using data 89254 -> 89253
# using data 6935538 -> 6935338
# using data 42847361 -> 42843361
# using data 480687672 -> 480637672
# using data 852206129 -> 852236129
# using data 9066023 -> 9066323
# using data 54664 -> 54663
# using data 45 -> 45
# using data 895282 -> 895232
# using data 5893956 -> 5893356
# using data 7033 -> 7033
# using data 85830 -> 85833
# using data 4 -> 4
# using data 744754282 -> 744734282
# using data 226362587 -> 226332587
# using data 32575346 -> 32573346
# using data 01935576 -> 01933576
i_run	i_N	concept	input	output	correct.output	correct	hypothesis
0	0	"data/c2-027.txt"	"73927552"	"73927552"	"73923552"	0	"λx.x"
0	1	"data/c2-027.txt"	"7033"	"7033"	"7033"	1	"λx.pair(head(x),if((3>head(x)),pair(3,tail(tail(x))),F(tail(x))))"
0	2	"data/c2-027.txt"	"6935538"	"6935538"	"6935338"	0	"λx.pair(head(x),if((3>head(x)),pair(3,tail(tail(x))),F(tail(x))))"
0	3	"data/c2-027.txt"	"0121710638"	"0131710638"	"0121310638"	0	"λx.pair(head(x),if(((2+head(x))>head(tail(F(tail(tail(x)))))),F(tail(x)),pair(3,tail(tail(x)))))"
0	4	"data/c2-027.txt"	"5893956"	"5893956"	"5893356"	0	"λx.pair(head(x),if(((head(tail(tail(x)))+(8-head(tail(x))))>6),F(tail(x)),pair(3,tail(tail(x)))))"
0	5	"data/c2-027.txt"	"89384590"	"8"	"89383590"	0	"λx.pair(head(x),F(if((7>(head(if((head(x)>(3+head(tail(x)))),F(tail(x)),x))+2)),tail(x),pair(3,tail(tail(x))))))"
0	6	"data/c2-027.txt"	"42847361"	"4284735"	"42843361"	0	"λx.pair(head(x),F(if(((6-head(F(tail(tail(x)))))>1),tail(x),pair(3,pair(5,Ø)))))"
0	7	"data/c2-027.txt"	"89384590"	"8"	"89383590"	0	"λx.pair(head(x),F(if((7>(head(if((head(x)>(3+head(tail(x)))),F(tail(x)),x))+2)),tail(x),pair(3,tail(tail(x))))))"
0	8	"data/c2-027.txt"	"85830"	"85830"	"85833"	0	"λx.pair(head(x),F(if((7>(head(if((head(x)>(3+head(tail(x)))),F(tail(x)),x))+2)),tail(x),pair(3,tail(tail(x))))))"
0	9	"data/c2-027.txt"	""	"N"	""	0	"λx.pair(head(x),F(if((6>(head(tail(if((9>head(tail(x))),x,tail(x))))+2)),tail(x),Ø)))"
0	10	"data/c2-027.txt"	"43970"	"439"	"43973"	0	"λx.if((x==Ø),x,pair(head(x),pair(head(tail(x)),if((5>((head(x)+head(x))+head(x))),tail(F(F(F(F(tail(x)))))),Ø))))"
0	11	"data/c2-027.txt"	"41525"	"415"	"41523"	0	"λx.if((x==Ø),x,pair(head(x),pair(head(tail(x)),if((5>((head(x)+head(x))+head(x))),tail(F(F(F(F(tail(x)))))),Ø))))"
0	12	"data/c2-027.txt"	"89254"	"8925"	"89253"	0	"λx.if((x==Ø),x,pair(head(x),pair(head(tail(x)),if((5>((head(x)+head(x))+head(x))),tail(F(F(F(F(tail(x)))))),Ø))))"
0	13	"data/c2-027.txt"	"32575346"	"32"	"32573346"	0	"λx.if((x==Ø),x,pair(head(x),pair(head(tail(x)),if((5>((head(x)+head(x))+head(x))),tail(F(F(F(F(tail(x)))))),Ø))))"
0	14	"data/c2-027.txt"	"69997"	"69"	"69993"	0	"λx.if((x==Ø),x,pair(head(x),pair(head(tail(x)),if((5>((head(x)+head(x))+head(x))),tail(F(F(F(F(tail(x)))))),Ø))))"
0	15	"data/c2-027.txt"	"1185"	"1185"	"1185"	1	"λx.if((Ø==tail(x)),Ø,pair(head(x),pair(head(tail(x)),tail(F(F(if(((3-head(x))>head(x)),F(tail(x)),pair(head(x),Ø))))))))"
0	16	"data/c2-027.txt"	"627738340"	"627"	"627738340"	0	"λx.if((Ø==tail(x)),Ø,pair(head(x),pair(head(tail(x)),tail(F(F(if(((3-head(x))>head(x)),F(tail(x)),pair(head(x),Ø))))))))"
0	17	"data/c2-027.txt"	"226362587"	"22"	"226332587"	0	"λx.if((Ø==tail(x)),Ø,pair(head(x),pair(head(tail(x)),tail(F(F(if(((3-head(x))>head(x)),F(tail(x)),pair(head(x),Ø))))))))"
0	18	"data/c2-027.txt"	"5893956"	"5893"	"5893356"	0	"λx.if((Ø==tail(x)),Ø,pair(head(x),pair(head(tail(x)),tail(F(F(if(((3-head(x))>head(x)),F(tail(x)),pair(head(x),Ø))))))))"
