# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on simon with PID=4019 by user piantado at Fri Dec  6 01:55:47 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 75de067d9790c8abe3432331157b2715  /proc/4019/exe
# 	 --input=data/c2-037.txt
# 	 --threads=2
# 	 --chains=4
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=10m (600 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# using data  -> 
# using data 70 -> 81
# using data 1287 -> 2398
# using data 315567 -> 426678
# using data 748 -> 859
# using data 0570 -> 1681
# using data 2048 -> 3159
# using data 152434670 -> 263545781
# using data 3460863 -> 4571974
# using data 7 -> 8
# using data 44156781 -> 55267892
# using data 30087377 -> 41198488
# using data 58630382 -> 69741493
# using data 2 -> 3
# using data 40 -> 51
# using data 07 -> 18
# using data 766 -> 877
# using data 210387771 -> 321498882
# using data 14 -> 25
# using data 1621886550 -> 2732997661
# using data 7327 -> 8438
# using data 5 -> 6
# using data 53368 -> 64479
# using data 631843266 -> 742954377
# using data 272160641 -> 383271752
# using data 6 -> 7
# using data 63408705 -> 74519816
# using data 840 -> 951
# using data 4252 -> 5363
# using data 151 -> 262
# using data 283 -> 394
# using data 141 -> 252
# using data 211572670 -> 322683781
# using data 8761403 -> 9872514
# using data 0816505230 -> 1927616341
# using data 26823 -> 37934
# using data 46185 -> 57296
# using data 60204253 -> 71315364
# using data 074332 -> 185443
# using data 8016732 -> 9127843
# using data 4 -> 5
# using data 60420355 -> 71531466
# using data 88 -> 99
# using data 3 -> 4
# using data 52 -> 63
# using data 418 -> 529
# using data 36 -> 47
# using data 3183250002 -> 4294361113
# using data 714520 -> 825631
# using data 5338205 -> 6449316
i_run	i_N	concept	input	output	correct.output	correct	hypothesis
0	0	"data/c2-037.txt"	"40"	"40"	"51"	0	"λx.x"
0	1	"data/c2-037.txt"	"748"	"51"	"859"	0	"λx.pair(5,pair(1,Ø))"
0	2	"data/c2-037.txt"	"1621886550"	"2732997661"	"2732997661"	1	"λx.pair((1+head(x)),F(tail(x)))"
0	3	"data/c2-037.txt"	"14"	"25"	"25"	1	"λx.pair((1+head(x)),F(tail(x)))"
0	4	"data/c2-037.txt"	"44156781"	"55267892"	"55267892"	1	"λx.pair((1+head(x)),F(tail(x)))"
0	5	"data/c2-037.txt"	"60420355"	"71531466"	"71531466"	1	"λx.pair((1+head(x)),F(tail(x)))"
0	6	"data/c2-037.txt"	"766"	"877"	"877"	1	"λx.pair((1+head(x)),F(tail(x)))"
0	7	"data/c2-037.txt"	"141"	"252"	"252"	1	"λx.pair((1+head(x)),F(tail(x)))"
0	8	"data/c2-037.txt"	"210387771"	"321498882"	"321498882"	1	"λx.pair((1+head(x)),F(tail(x)))"
0	9	"data/c2-037.txt"	"0816505230"	"1927616341"	"1927616341"	1	"λx.pair((1+head(x)),F(tail(x)))"
0	10	"data/c2-037.txt"	"211572670"	"322683781"	"322683781"	1	"λx.pair((1+head(x)),F(tail(x)))"
0	11	"data/c2-037.txt"	"766"	"877"	"877"	1	"λx.pair((1+head(x)),F(tail(x)))"
0	12	"data/c2-037.txt"	"631843266"	"742954377"	"742954377"	1	"λx.pair((1+head(x)),F(tail(x)))"
0	13	"data/c2-037.txt"	"88"	"99"	"99"	1	"λx.pair((1+head(x)),F(tail(x)))"
0	14	"data/c2-037.txt"	"60204253"	"71315364"	"71315364"	1	"λx.pair((1+head(x)),F(tail(x)))"
0	15	"data/c2-037.txt"	""	"N"	""	0	"λx.pair((1+head(x)),F(tail(x)))"
0	16	"data/c2-037.txt"	"283"	"394"	"394"	1	"λx.if((x==Ø),x,pair((1+head(x)),F(tail(x))))"
0	17	"data/c2-037.txt"	"283"	"394"	"394"	1	"λx.if((x==Ø),x,pair((1+head(x)),F(tail(x))))"
0	18	"data/c2-037.txt"	"60420355"	"71531466"	"71531466"	1	"λx.if((x==Ø),x,pair((1+head(x)),F(tail(x))))"
