# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on simon with PID=4124 by user piantado at Fri Dec  6 01:56:11 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 75de067d9790c8abe3432331157b2715  /proc/4124/exe
# 	 --input=data/c2-049.txt
# 	 --threads=2
# 	 --chains=4
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=10m (600 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# using data 853172974 -> 5317297
# using data 45156 -> 515
# using data 9131876979 -> 13187697
# using data 5037414 -> 03744
# using data 214 -> 1
# using data 63666796 -> 366676
# using data 8033532042 -> 03353202
# using data 644966298 -> 4496698
# using data 305670566 -> 0570566
# using data 29576157 -> 976157
# using data 281339 -> 8339
# using data 49151 -> 915
# using data 293 -> 9
# using data 46604 -> 660
# using data 21739 -> 139
# using data 45003543 -> 500543
# using data 885063882 -> 8506388
# using data 47121115 -> 712115
# using data 824891232 -> 2489123
# using data 807057687 -> 0705768
# using data 9052467416 -> 05246741
# using data 442125983 -> 4215983
# using data 765266362 -> 6526632
# using data 221 -> 2
# using data 530150 -> 3015
# using data 9574512652 -> 57451265
# using data 48598882 -> 859882
# using data 1611 -> 11
# using data 355896068 -> 5596068
# using data 9877431421 -> 87743142
# using data 318688 -> 1888
# using data 716140914 -> 1614094
# using data 217 -> 1
# using data 1424921415 -> 24921415
# using data 4633435 -> 63335
# using data 540298 -> 4029
# using data 74487156 -> 448715
# using data 6241961 -> 24196
# using data 49791 -> 979
# using data 667845258 -> 6784558
# using data 834836941 -> 3483694
# using data 470728368 -> 7078368
# using data 8374763363 -> 37476333
# using data 188794 -> 8794
# using data 4858882 -> 85882
# using data 67423732 -> 742372
# using data 8084676064 -> 08467604
# using data 4050072 -> 05072
# using data 2938407 -> 98407
# using data 641293366 -> 4129366
i_run	i_N	concept	input	output	correct.output	correct	hypothesis
0	0	"data/c2-049.txt"	"305670566"	"305670566"	"0570566"	0	"λx.x"
0	1	"data/c2-049.txt"	"765266362"	"0566362"	"6526632"	0	"λx.pair(0,pair(5,tail(tail(tail(tail(x))))))"
0	2	"data/c2-049.txt"	"318688"	"1868"	"1888"	0	"λx.pair(head(tail(x)),F(tail(if((1>head(F(tail(tail(tail(x)))))),tail(x),x))))"
0	3	"data/c2-049.txt"	"9131876979"	"1386"	"13187697"	0	"λx.pair(head(tail(x)),F(tail(if((head(x)>1),if((6>head(x)),x,if((head(F(tail(x)))>8),Ø,x)),tail(x)))))"
0	4	"data/c2-049.txt"	"8374763363"	"3"	"37476333"	0	"λx.pair(head(tail(x)),F(tail(if((head(x)>1),if((6>head(x)),x,if((head(F(tail(x)))>(2+head(x))),Ø,x)),tail(x)))))"
0	5	"data/c2-049.txt"	"74487156"	"4487156N"	"448715"	0	"λx.pair(head(tail(x)),F(if((9>(head(x)+head(tail(x)))),if((1>head(x)),Ø,tail(x)),Ø)))"
0	6	"data/c2-049.txt"	"67423732"	"7423"	"742372"	0	"λx.pair(head(tail(x)),F(if(((head(x)+6)>(head(tail(tail(x)))+head(x))),tail(x),Ø)))"
0	7	"data/c2-049.txt"	"63666796"	"36"	"366676"	0	"λx.pair(head(tail(x)),F(tail(if(((head(x)+6)>(head(tail(tail(x)))+head(x))),x,Ø))))"
0	8	"data/c2-049.txt"	"641293366"	"412933"	"4129366"	0	"λx.pair(head(tail(x)),F(tail(if(((head(x)+6)>(head(tail(tail(x)))+head(x))),x,Ø))))"
0	9	"data/c2-049.txt"	"293"	"93N"	"9"	0	"λx.pair(head(tail(x)),F(tail(if(((head(tail(tail(x)))-6)>(7-(head(x)+head(x)))),x,Ø))))"
0	10	"data/c2-049.txt"	"4858882"	"858882N"	"85882"	0	"λx.pair(head(tail(x)),F(tail(if((4>head(x)),if((head(tail(x))>3),Ø,x),x))))"
0	11	"data/c2-049.txt"	"540298"	"4029"	"4029"	1	"λx.pair(head(tail(x)),F(tail(if(((3+head(x))>head(tail(x))),x,if((x==pair(4,tail(x))),x,Ø)))))"
0	12	"data/c2-049.txt"	"49791"	"9791N"	"979"	0	"λx.pair(head(tail(x)),F(tail(if(((3+head(x))>head(tail(x))),x,if((x==pair(4,tail(x))),x,Ø)))))"
0	13	"data/c2-049.txt"	"49151"	"915"	"915"	1	"λx.pair(head(tail(x)),F(tail(if((5>head(tail(if(((head(x)-4)>((9-head(tail(x)))+2)),x,Ø)))),x,Ø))))"
0	14	"data/c2-049.txt"	"21739"	"17"	"139"	0	"λx.pair(head(tail(x)),F(tail(if((head(tail(x))>4),if((6>(2+head(if((head(x)>5),tail(x),x)))),Ø,x),x))))"
0	15	"data/c2-049.txt"	"45003543"	"500"	"500543"	0	"λx.pair(head(tail(x)),F(tail(if(((7-head(if((6>head(x)),x,tail(x))))>head(x)),Ø,x))))"
0	16	"data/c2-049.txt"	"667845258"	"678452"	"6784558"	0	"λx.pair(head(tail(x)),if((head(x)>2),if((tail(tail(tail(if((9>head(x)),tail(x),x))))==Ø),Ø,F(tail(x))),Ø))"
0	17	"data/c2-049.txt"	"716140914"	"16"	"1614094"	0	"λx.if((Ø==x),x,pair(head(tail(x)),F(tail(if(((7-head(if((head(x)>6),tail(x),x)))>head(x)),Ø,x)))))"
0	18	"data/c2-049.txt"	"765266362"	"652663"	"6526632"	0	"λx.pair(head(tail(x)),if(((head(if((head(x)>3),pair((head(x)-1),x),tail(x)))-3)>head(F(tail(tail(tail(x)))))),Ø,F(tail(x))))"
0	19	"data/c2-049.txt"	"48598882"	"859882"	"859882"	1	"λx.pair(head(tail(x)),if((3>head(x)),tail(tail(tail(x))),F(pair((head(x)-1),tail(tail(x))))))"
1	0	"data/c2-049.txt"	"46604"	"46604"	"660"	0	"λx.x"
1	1	"data/c2-049.txt"	"8374763363"	"660"	"37476333"	0	"λx.pair(6,pair(6,pair(0,Ø)))"
1	2	"data/c2-049.txt"	"885063882"	"8503882"	"8506388"	0	"λx.pair(head(tail(x)),if(((9-head(tail(x)))>head(x)),tail(tail(tail(x))),F(tail(x))))"
1	3	"data/c2-049.txt"	"188794"	"8879"	"8794"	0	"λx.if((tail(tail(if((5>head(x)),tail(x),x)))==Ø),tail(tail(x)),pair(head(tail(x)),F(tail(x))))"
1	4	"data/c2-049.txt"	"5037414"	"037414N"	"03744"	0	"λx.pair(head(tail(x)),if((6>(head(x)+head(tail(x)))),F(tail(x)),Ø))"
1	5	"data/c2-049.txt"	"8374763363"	"374763"	"37476333"	0	"λx.pair(head(tail(x)),F(tail(if((6>(head(x)+head(tail(if((pair(7,tail(x))==x),tail(x),x))))),x,Ø))))"
1	6	"data/c2-049.txt"	"45003543"	"500353"	"500543"	0	"λx.pair(head(tail(x)),F(if((head(F(tail(tail(tail(x)))))>8),if(((head(tail(x))-6)>head(x)),tail(tail(x)),Ø),tail(x))))"
1	7	"data/c2-049.txt"	"29576157"	"95761"	"976157"	0	"λx.pair(head(tail(x)),if((head(tail(tail(tail(tail(tail(if((1>head(tail(x))),tail(x),pair(head(x),x))))))))>8),tail(F(tail(x))),F(tail(x))))"
1	8	"data/c2-049.txt"	"9574512652"	"574512"	"57451265"	0	"λx.pair(head(tail(x)),F(if((head(if((((head(x)+head(tail(x)))-6)>1),x,tail(x)))>(head(tail(tail(x)))-3)),tail(x),Ø)))"
1	9	"data/c2-049.txt"	"9877431421"	"87743"	"87743142"	0	"λx.pair(head(tail(x)),if(((head(if(((head(x)-5)>head(tail(x))),tail(x),pair(4,x)))-4)>3),Ø,F(tail(x))))"
1	10	"data/c2-049.txt"	"4858882"	"858882N"	"85882"	0	"λx.pair(head(tail(x)),if((head(x)>2),F(if((9>(head(x)+3)),tail(x),pair(2,tail(tail(x))))),Ø))"
1	11	"data/c2-049.txt"	"214"	"1"	"1"	1	"λx.pair(head(tail(x)),F(if((8>(head(x)+3)),if((head(x)>2),tail(x),Ø),pair(1,tail(tail(x))))))"
1	12	"data/c2-049.txt"	"49791"	"97"	"979"	0	"λx.pair(head(tail(x)),F(tail(if((head(F(tail(tail(tail(x)))))>head(x)),if((((head(x)+4)-head(tail(x)))>3),Ø,x),x))))"
1	13	"data/c2-049.txt"	"824891232"	"2"	"2489123"	0	"λx.pair(head(tail(x)),F(tail(if((head(F(tail(tail(tail(x)))))>head(x)),if((((head(x)+4)-head(tail(x)))>3),Ø,x),x))))"
1	14	"data/c2-049.txt"	"293"	"9"	"9"	1	"λx.pair(head(tail(x)),F(if((head(tail(tail(tail(tail(x)))))>head(if((4>head(x)),pair((2+head(tail(x))),x),pair(9,x)))),Ø,tail(x))))"
1	15	"data/c2-049.txt"	"1424921415"	"4"	"24921415"	0	"λx.pair(head(tail(x)),F(if((head(tail(tail(tail(tail(x)))))>head(if((4>head(x)),pair((2+head(tail(x))),x),pair(9,x)))),Ø,tail(x))))"
1	16	"data/c2-049.txt"	"2938407"	"9"	"98407"	0	"λx.if((head(x)>1),pair(head(tail(x)),if(((7-head(tail(x)))>head(x)),Ø,F(tail(x)))),tail(tail(x)))"
1	17	"data/c2-049.txt"	"644966298"	"449"	"4496698"	0	"λx.tail(if((2>head(x)),tail(x),pair(0,pair(head(tail(x)),F(F(pair((head(if(((7-head(tail(x)))>head(x)),x,Ø))+4),x)))))))"
1	18	"data/c2-049.txt"	"74487156"	"448"	"448715"	0	"λx.if((2>head(x)),tail(tail(x)),pair(head(tail(x)),if(((7-head(tail(if((8>head(x)),x,tail(x)))))>head(x)),Ø,F(tail(x)))))"
1	19	"data/c2-049.txt"	"47121115"	"711115"	"712115"	0	"λx.if((2>head(x)),tail(tail(x)),pair(head(tail(x)),if(((7-head(tail(if((8>head(x)),x,tail(x)))))>head(x)),Ø,F(tail(x)))))"
2	0	"data/c2-049.txt"	"214"	"214"	"1"	0	"λx.x"
2	1	"data/c2-049.txt"	"716140914"	"1"	"1614094"	0	"λx.pair(1,Ø)"
2	2	"data/c2-049.txt"	"8374763363"	"3747633"	"37476333"	0	"λx.pair(head(tail(x)),F(if((Ø==tail(tail(tail(tail(x))))),Ø,tail(x))))"
2	3	"data/c2-049.txt"	"885063882"	"850638"	"8506388"	0	"λx.pair(head(tail(x)),F(if((Ø==tail(tail(tail(tail(x))))),Ø,tail(x))))"
2	4	"data/c2-049.txt"	"530150"	"301"	"3015"	0	"λx.pair(head(tail(x)),F(if((Ø==tail(tail(tail(tail(x))))),Ø,tail(x))))"
