# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on simon with PID=50398 by user piantado at Wed Dec  4 19:55:34 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 75de067d9790c8abe3432331157b2715  /proc/50398/exe
# 	 --input=data/c2-045.txt
# 	 --threads=2
# 	 --chains=4
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=1m (60 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# using data 15326090 -> 09062351
# using data 65039 -> 93056
# using data  -> 
# using data 344893 -> 398443
# using data 023345 -> 543320
# using data 6181868 -> 8681816
# using data 7361975577 -> 7755791637
# using data 5352475 -> 5742535
# using data 99 -> 99
# using data 2840183 -> 3810482
# using data 1765413 -> 3145671
# using data 2287591 -> 1957822
# using data 496 -> 694
# using data 995073468 -> 864370599
# using data 0519 -> 9150
# using data 5 -> 5
# using data 93419 -> 91439
# using data 645 -> 546
# using data 2932 -> 2392
# using data 334021 -> 120433
# using data 121 -> 121
# using data 82854 -> 45828
# using data 19600641 -> 14600691
# using data 100 -> 001
# using data 123892274 -> 472298321
# using data 0488573 -> 3758840
# using data 0552164437 -> 7344612550
# using data 21 -> 12
# using data 86106269 -> 96260168
# using data 63468 -> 86436
# using data 00405 -> 50400
# using data 931 -> 139
# using data 53 -> 35
# using data 44667477 -> 77476644
# using data 7 -> 7
# using data 69818491 -> 19481896
# using data 3318 -> 8133
# using data 73450 -> 05437
# using data 02075 -> 57020
# using data 0052367 -> 7632500
# using data 086174024 -> 420471680
# using data 7857 -> 7587
# using data 982 -> 289
# using data 11 -> 11
# using data 34747809 -> 90874743
# using data 604 -> 406
# using data 6834015 -> 5104386
# using data 92096713 -> 31769029
# using data 967958 -> 859769
# using data 16454 -> 45461
i_run	i_N	concept	input	output	correct.output	correct	hypothesis
0	0	"data/c2-045.txt"	"1765413"	"1765413"	"3145671"	0	"λx.x"
0	1	"data/c2-045.txt"	"86106269"	"3845678"	"96260168"	0	"λx.pair(3,pair(head(x),pair(4,pair(5,pair(6,pair(7,pair(head(x),Ø)))))))"
0	2	"data/c2-045.txt"	"92096713"	"3"	"31769029"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
0	3	"data/c2-045.txt"	"92096713"	"3"	"31769029"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
0	4	"data/c2-045.txt"	"16454"	"31"	"45461"	0	"λx.if(((8-head(x))>head(x)),pair(3,pair(1,Ø)),pair(9,pair(6,pair(2,pair(6,Ø)))))"
0	5	"data/c2-045.txt"	"53"	"3"	"35"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
0	6	"data/c2-045.txt"	"121"	"1"	"121"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
0	7	"data/c2-045.txt"	"00405"	"5"	"50400"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
0	8	"data/c2-045.txt"	"0519"	"9"	"9150"	0	"λx.if((tail(x)==pair((head(x)+1),pair(head(x),Ø))),x,if((Ø==tail(x)),x,F(tail(x))))"
0	9	"data/c2-045.txt"	"604"	"4"	"406"	0	"λx.if((tail(x)==pair((head(x)+1),pair(head(x),Ø))),x,if((Ø==tail(x)),x,F(tail(x))))"
0	10	"data/c2-045.txt"	"0052367"	"7"	"7632500"	0	"λx.if((tail(x)==pair((head(x)+1),pair(head(x),Ø))),x,if((Ø==tail(x)),x,F(tail(x))))"
0	11	"data/c2-045.txt"	"65039"	"9"	"93056"	0	"λx.if((tail(x)==Ø),x,if((tail(x)==pair(head(tail(x)),pair(head(x),Ø))),x,F(tail(x))))"
0	12	"data/c2-045.txt"	"604"	"4"	"406"	0	"λx.if((tail(x)==Ø),x,if((tail(x)==pair(head(tail(x)),pair(head(x),Ø))),x,F(tail(x))))"
0	13	"data/c2-045.txt"	"73450"	"0"	"05437"	0	"λx.if((tail(x)==Ø),x,if((tail(x)==pair(head(tail(x)),pair(head(x),Ø))),x,F(tail(x))))"
0	14	"data/c2-045.txt"	"334021"	"1"	"120433"	0	"λx.if((tail(x)==Ø),x,if((tail(x)==pair(head(tail(x)),pair(head(x),Ø))),x,F(tail(x))))"
0	15	"data/c2-045.txt"	""	""	""	1	"λx.if((tail(x)==Ø),x,if((tail(x)==pair(head(tail(x)),pair(head(x),Ø))),x,F(tail(x))))"
0	16	"data/c2-045.txt"	"92096713"	"3"	"31769029"	0	"λx.if((tail(x)==Ø),x,if((tail(x)==pair(head(tail(x)),pair(head(x),Ø))),x,F(tail(x))))"
0	17	"data/c2-045.txt"	"0052367"	"7"	"7632500"	0	"λx.if((tail(x)==Ø),x,if((tail(x)==pair(head(tail(x)),pair(head(x),Ø))),x,F(tail(x))))"
0	18	"data/c2-045.txt"	"604"	"4"	"406"	0	"λx.if((tail(x)==Ø),x,if((tail(x)==pair(head(tail(x)),pair(head(x),Ø))),x,F(tail(x))))"
0	19	"data/c2-045.txt"	"21"	"1"	"12"	0	"λx.if((tail(x)==Ø),x,if((tail(x)==pair(head(tail(x)),pair(head(x),Ø))),x,F(tail(x))))"
1	0	"data/c2-045.txt"	"69818491"	"69818491"	"19481896"	0	"λx.x"
1	1	"data/c2-045.txt"	"0552164437"	"19481890"	"7344612550"	0	"λx.pair(1,pair(9,pair(4,pair(8,pair(1,pair(8,pair(9,pair(head(x),Ø))))))))"
1	2	"data/c2-045.txt"	"0052367"	"734"	"7632500"	0	"λx.pair((7-head(x)),if((x==x),pair((3+head(x)),pair(4,Ø)),x))"
1	3	"data/c2-045.txt"	"3318"	"4"	"8133"	0	"λx.pair((7-head(x)),Ø)"
1	4	"data/c2-045.txt"	"0519"	"9"	"9150"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
1	5	"data/c2-045.txt"	"15326090"	"0"	"09062351"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
1	6	"data/c2-045.txt"	"2840183"	"3"	"3810482"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
1	7	"data/c2-045.txt"	"2840183"	"3"	"3810482"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
1	8	"data/c2-045.txt"	"121"	"1"	"121"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
1	9	"data/c2-045.txt"	"334021"	"1"	"120433"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
1	10	"data/c2-045.txt"	"1765413"	"3"	"3145671"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
1	11	"data/c2-045.txt"	"92096713"	"3"	"31769029"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
1	12	"data/c2-045.txt"	"5352475"	"5"	"5742535"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
1	13	"data/c2-045.txt"	"6181868"	"868"	"8681816"	0	"λx.if((if((tail(x)==Ø),x,tail(tail(x)))==pair(head(x),Ø)),x,F(tail(x)))"
1	14	"data/c2-045.txt"	"3318"	"8"	"8133"	0	"λx.if((if((tail(x)==Ø),x,tail(tail(x)))==pair(head(x),Ø)),x,F(tail(x)))"
1	15	"data/c2-045.txt"	"2932"	"2"	"2392"	0	"λx.if((if((tail(x)==Ø),x,tail(tail(x)))==pair(head(x),Ø)),x,F(tail(x)))"
1	16	"data/c2-045.txt"	"344893"	"3"	"398443"	0	"λx.if((if((tail(x)==Ø),x,tail(tail(x)))==pair(head(x),Ø)),x,F(tail(x)))"
1	17	"data/c2-045.txt"	"00405"	"5"	"50400"	0	"λx.if((if((tail(x)==Ø),x,tail(tail(x)))==pair(head(x),Ø)),x,F(tail(x)))"
1	18	"data/c2-045.txt"	"53"	"3"	"35"	0	"λx.if((if((tail(x)==Ø),x,tail(tail(x)))==pair(head(x),Ø)),x,F(tail(x)))"
1	19	"data/c2-045.txt"	"0519"	"9"	"9150"	0	"λx.if((if((tail(x)==Ø),x,tail(tail(x)))==pair(head(x),Ø)),x,F(tail(x)))"
2	0	"data/c2-045.txt"	"73450"	"73450"	"05437"	0	"λx.x"
2	1	"data/c2-045.txt"	"604"	"05436"	"406"	0	"λx.pair(0,pair(5,pair(4,pair(3,pair(head(x),Ø)))))"
2	2	"data/c2-045.txt"	"53"	"3"	"35"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
2	3	"data/c2-045.txt"	"19600641"	"1"	"14600691"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
2	4	"data/c2-045.txt"	"645"	"5"	"546"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
2	5	"data/c2-045.txt"	"11"	"1"	"11"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
2	6	"data/c2-045.txt"	"0519"	"9"	"9150"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
2	7	"data/c2-045.txt"	"496"	"6"	"694"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
2	8	"data/c2-045.txt"	"73450"	"0"	"05437"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
2	9	"data/c2-045.txt"	"16454"	"4"	"45461"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
2	10	"data/c2-045.txt"	"3318"	"8"	"8133"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
2	11	"data/c2-045.txt"	"11"	"1"	"11"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
2	12	"data/c2-045.txt"	"82854"	"4"	"45828"	0	"λx.if((if((head(tail(x))>5),x,F(tail(x)))==pair(head(x),Ø)),x,F(tail(x)))"
2	13	"data/c2-045.txt"	"93419"	"93419"	"91439"	0	"λx.if((if((head(tail(x))>5),x,F(tail(x)))==pair(head(x),Ø)),x,F(tail(x)))"
2	14	"data/c2-045.txt"	"0519"	"9"	"9150"	0	"λx.if((if((head(tail(x))>(head(x)+head(x))),x,F(tail(x)))==pair(head(x),Ø)),x,F(tail(x)))"
2	15	"data/c2-045.txt"	"121"	"121"	"121"	1	"λx.if((if((head(tail(x))>(head(x)+head(x))),x,F(tail(x)))==pair(head(x),Ø)),x,F(tail(x)))"
2	16	"data/c2-045.txt"	"93419"	"9"	"91439"	0	"λx.if((if((head(tail(x))>(head(x)+head(x))),x,F(tail(x)))==pair(head(x),Ø)),x,F(tail(x)))"
2	17	"data/c2-045.txt"	"16454"	"454"	"45461"	0	"λx.if((if((head(tail(x))>(head(x)+head(x))),x,F(tail(x)))==pair(head(x),Ø)),x,F(tail(x)))"
2	18	"data/c2-045.txt"	"1765413"	"3"	"3145671"	0	"λx.if((if((head(tail(x))>(head(x)+head(x))),x,F(tail(x)))==pair(head(x),Ø)),x,F(tail(x)))"
