# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on simon with PID=76222 by user piantado at Wed Dec  4 23:16:07 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: 75de067d9790c8abe3432331157b2715  /proc/76222/exe
# 	 --input=data/c2-054.txt
# 	 --threads=2
# 	 --chains=4
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=1m (60 seconds)
# 	 --restart=0
# 	 --seed=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# using data 79417523 -> 3941752
# using data 413737 -> 71373
# using data 9711242 -> 271124
# using data 29 -> 9
# using data 0716 -> 671
# using data 045938634 -> 44593863
# using data 1745277 -> 774527
# using data 31346 -> 6134
# using data 604358167 -> 70435816
# using data 095190260 -> 09519026
# using data 45 -> 5
# using data 051289 -> 95128
# using data 32359584 -> 4235958
# using data 673635 -> 57363
# using data 381 -> 18
# using data 5 -> 5
# using data 222380 -> 02238
# using data 0746647 -> 774664
# using data 264254 -> 46425
# using data 7331331162 -> 233133116
# using data 4 -> 4
# using data 8 -> 8
# using data 8610679 -> 961067
# using data 490505610 -> 09050561
# using data 704 -> 40
# using data 698637 -> 79863
# using data 8631 -> 163
# using data 0826227269 -> 982622726
# using data 7692 -> 269
# using data 1 -> 1
# using data 160252 -> 26025
# using data 604129 -> 90412
# using data 456467417 -> 75646741
# using data 0708 -> 870
# using data 232323834 -> 43232383
# using data 8629712676 -> 662971267
# using data 2 -> 2
# using data 90034 -> 4003
# using data 35 -> 5
# using data 7 -> 7
# using data 278369 -> 97836
# using data 42201 -> 1220
# using data 253 -> 35
# using data 73438049 -> 9343804
# using data 64552 -> 2455
# using data 7418574 -> 441857
# using data 775355565 -> 57535556
# using data 014212421 -> 11421242
# using data 553023704 -> 45302370
# using data 82051 -> 1205
i_run	i_N	concept	input	output	correct.output	correct	hypothesis
0	0	"data/c2-054.txt"	"413737"	"413737"	"71373"	0	"λx.x"
0	1	"data/c2-054.txt"	"0746647"	"71647"	"774664"	0	"λx.pair(7,pair(1,tail(tail(tail(tail(x))))))"
0	2	"data/c2-054.txt"	"698637"	"79863"	"79863"	1	"λx.pair(7,if((tail(tail(x))==Ø),Ø,pair(head(tail(x)),tail(F(tail(x))))))"
0	3	"data/c2-054.txt"	"553023704"	"75302370"	"45302370"	0	"λx.pair(7,if((tail(tail(x))==Ø),Ø,pair(head(tail(x)),tail(F(tail(x))))))"
0	4	"data/c2-054.txt"	"8610679"	"9"	"961067"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
0	5	"data/c2-054.txt"	"31346"	"6"	"6134"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
0	6	"data/c2-054.txt"	"5"	"5"	"5"	1	"λx.if((tail(x)==Ø),x,F(tail(x)))"
0	7	"data/c2-054.txt"	"381"	"1"	"18"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
0	8	"data/c2-054.txt"	"232323834"	"4"	"43232383"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
0	9	"data/c2-054.txt"	"42201"	"1"	"1220"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
0	10	"data/c2-054.txt"	"0716"	"6"	"671"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
0	11	"data/c2-054.txt"	"8610679"	"9"	"961067"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
0	12	"data/c2-054.txt"	"232323834"	"4"	"43232383"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
0	13	"data/c2-054.txt"	"0746647"	"7"	"774664"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
0	14	"data/c2-054.txt"	"31346"	"6"	"6134"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
0	15	"data/c2-054.txt"	"5"	"5"	"5"	1	"λx.if((tail(x)==Ø),x,F(tail(x)))"
0	16	"data/c2-054.txt"	"2"	"2"	"2"	1	"λx.if((tail(x)==Ø),x,F(tail(x)))"
0	17	"data/c2-054.txt"	"35"	"5"	"5"	1	"λx.if((tail(x)==Ø),x,F(tail(x)))"
0	18	"data/c2-054.txt"	"604358167"	"7"	"70435816"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
0	19	"data/c2-054.txt"	"673635"	"5"	"57363"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
1	0	"data/c2-054.txt"	"2"	"2"	"2"	1	"λx.x"
1	1	"data/c2-054.txt"	"42201"	"42201"	"1220"	0	"λx.x"
1	2	"data/c2-054.txt"	"8610679"	"1220"	"961067"	0	"λx.if((4>head(x)),x,pair(1,pair(2,pair(2,pair(0,Ø)))))"
1	3	"data/c2-054.txt"	"160252"	"2"	"26025"	0	"λx.if((tail(x)==Ø),x,F(tail(x)))"
