"id","name","i","o"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[9, 1, 4]","[]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[0, 0]","[]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[4]","[]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[8, 0, 2, 5, 1, 1, 1, 1]","[1]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[1, 5]","[]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[7]","[]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[5]","[]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[8, 8, 5, 6, 9, 9, 2, 8, 5, 9]","[2]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[5, 5, 8, 9, 1]","[]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[]","[]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[8, 6, 9, 4, 6]","[]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[0, 5, 9]","[]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[9, 3, 1]","[]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[3, 2, 3, 2, 9]","[]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[0, 3, 2, 5, 9, 3, 4, 9, 5]","[4]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[5, 9, 2, 7, 4, 6, 8, 2, 1, 0]","[8]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[2, 8, 2]","[]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[0, 9, 7, 0]","[]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[2]","[]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[4, 8, 5, 4]","[]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[0, 6, 4, 3, 3, 0, 3, 1, 8]","[3]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[0, 8]","[]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[8, 1, 9]","[]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[3, 0, 9, 8, 1, 0]","[]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[6, 3, 4, 6, 2, 6, 4]","[4]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[9, 1, 9, 1, 1, 8, 8, 2]","[8]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[3, 7, 6, 4]","[]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[2, 8, 7, 6]","[]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[4, 6, 1, 3, 2, 1, 2]","[2]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[2, 5, 3, 7, 3, 5, 4, 4]","[4]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[4, 1, 7, 2, 5, 1, 7]","[7]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[7, 5, 3]","[]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[0, 8, 1, 5, 1]","[]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[3, 6, 2, 5]","[]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[5, 9, 9, 6, 4, 4, 8, 7]","[8]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[8, 9]","[]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[9, 4, 9, 0, 7, 6, 4, 5]","[4]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[4, 8, 8, 2, 0, 6, 6, 6, 3, 5]","[6]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[4, 6, 7]","[]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[0, 1, 6, 1, 3, 0, 3, 1, 4, 1]","[3]"
"c2-003","C xs = (If (< (Len xs) 7) Nil (Cons (Index 7 xs) Nil))","[8, 1, 7, 2]","[]"
