# c2-043: C xs = Max xs
2,1,9,1,9;9
2,2,6,6,7,3,3,3,8;8
2,1,5,7,7,0,9,1;9
1,3,3;3
3,6,9,5;9
0,6,0,9,0,1,4,1,0;9
2,4,7,9,2,5,4,9,3;9
6,2,8,8,0,3,6,7;8
9,6,9,2,7,2,3,9,8,0;9
7,4,7;7
5;5
4,9,4,0,3,0,0,6,7,6;9
3,1,0,8,3,2,0,0,4;8
9,4;9
4,3,3,4,2,4;4
7,8,0,1,5,3,4,4;8
1,0,3,9,3,0,3,6,9,8;9
7,3,3,6,2,5,5,7,5,5;7
0,3,9,8,1,2,2,2;9
6,9,6,2,4,2,3,2,1;9
7,2,6,7,0,9;9
8,2,5,5,4;8
9;9
3;3
3,5,1,4,7,4,3,0,0;7
4,2,1,9,3,8,3,7,5,7;9
8,6;8
0,8,5,9;9
6,0,9,9,2,4,3,2;9
5,8,0,4,5;8
4,0,7;7
3,9,8,7;9
6,0;6
6,8,4,3,8,9,1,9,6;9
2,6,5,4;6
7,9,7,9,2,9,0,3,4,2;9
3,7,6,4,1,7,0,5,3;7
3,7,0,3,4,6;7
4,3,6,0,4,1,3,9,2,8;9
2,3,4,7,0,9;9
6,5,1,2;6
8,1,7,1,5,3,8,0,9;9
1,8,0,8;8
9,3;9
1,7,2,6,4,0,4;7
7,0;7
1,1,3,0,4,8;8
1,2,9,6,8,1,9,0,9;9
1,2,7,9,7,1,1,5;9
9,4,8,0,0,5,2,8,2;9
