    Finished release [optimized] target(s) in 0.03s
     Running `/home/rule/library/list-routine-learning-rs/target/release/simulation big_simulation.toml 5 /home/rule/library/list-routines-model-comparison/waves/3/json/c092_1.json out/1592958601/results/c092_1_best.csv out/1592958601/results/c092_1_predictions.csv out/1592958601/results/c092_1_all.csv /dev/null`
# loaded parameters
# loaded lexicon
#   C/0: list → list
#   TRUE/0: bool
#   FALSE/0: bool
#   NIL/0: list
#   CONS/0: nat → list → list
#   0/0: digit
#   1/0: digit
#   2/0: digit
#   3/0: digit
#   4/0: digit
#   5/0: digit
#   6/0: digit
#   7/0: digit
#   8/0: digit
#   9/0: digit
#   DIGIT/0: digit → nat
#   DECC/0: nat → digit → nat
#   NAN/0: nat
#   ./2: ∀t1. ∀t2. (t1 → t2) → t1 → t2
#   EMPTY/0: list → bool
#   EQUAL/0: ∀t0. t0 → t0 → bool
#   HEAD/0: list → nat
#   IF/0: ∀t0. bool → t0 → t0 → t0
#   TAIL/0: list → list
#   +/0: nat → nat → nat
#   -/0: nat → nat → nat
#   >/0: nat → nat → bool
# loaded background
# loaded data
#   Datum { i: IntList([97, 45, 97, 8]), o: IntList([92, 63, 34, 18, 55, 97, 45, 97, 8]) }
#   Datum { i: IntList([7, 87, 87, 87, 5, 11]), o: IntList([92, 63, 34, 18, 55, 7, 87, 87, 87, 5, 11]) }
#   Datum { i: IntList([8, 54, 84, 7, 9, 94, 3, 40, 6]), o: IntList([92, 63, 34, 18, 55, 8, 54, 84, 7, 9, 94, 3, 40, 6]) }
#   Datum { i: IntList([1]), o: IntList([92, 63, 34, 18, 55, 1]) }
#   Datum { i: IntList([66, 66]), o: IntList([92, 63, 34, 18, 55, 66, 66]) }
#   Datum { i: IntList([]), o: IntList([92, 63, 34, 18, 55]) }
#   Datum { i: IntList([14, 9, 14]), o: IntList([92, 63, 34, 18, 55, 14, 9, 14]) }
#   Datum { i: IntList([78, 37, 7, 71, 37, 73, 48, 78, 7, 9]), o: IntList([92, 63, 34, 18, 55, 78, 37, 7, 71, 37, 73, 48, 78, 7, 9]) }
#   Datum { i: IntList([80, 1, 10, 35, 5]), o: IntList([92, 63, 34, 18, 55, 80, 1, 10, 35, 5]) }
#   Datum { i: IntList([8, 22, 72, 7, 31, 94, 4, 49, 69, 47]), o: IntList([92, 63, 34, 18, 55, 8, 22, 72, 7, 31, 94, 4, 49, 69, 47]) }
#   Datum { i: IntList([25, 51, 51, 50, 0, 50, 50, 51]), o: IntList([92, 63, 34, 18, 55, 25, 51, 51, 50, 0, 50, 50, 51]) }
# searching
problem,run,order,trial,steps,hypotheses,tree,dag,search_time,total_time
c092,0,1,1,1033677,914503,1008791,1008791,600.000133981,602.234762934
c092,0,1,2,197725,177531,182903,182903,1200.0103296349998,1203.361423366
c092,0,1,3,111612,101065,104263,104263,1800.0128707549998,1804.150726373
c092,0,1,4,75744,68702,70746,70746,2400.0131083019996,2404.821164019
c092,0,1,5,59716,55368,56812,56812,3000.0190412439997,3005.669268425
c092,0,1,6,58697,52200,53380,53380,3600.0368481359997,3606.268233595
c092,0,1,7,58032,50653,52258,52258,4200.040424966,4206.654166769
c092,0,1,8,50864,44717,45788,45788,4800.04148405,4807.006165942
c092,0,1,9,40599,35050,35759,35759,5400.042937603,5407.354352294
c092,0,1,10,35121,30270,31123,31123,6000.051293369999,6007.652251157
c092,0,1,11,29446,25398,26283,26283,6600.068890880999,6608.001549459
# search time: 6600.069s
# total time: 6608.294s
c092,1,1,1,1111037,965000,1079618,1079618,600.00013865,600.349307942
c092,1,1,2,213426,191604,197430,197430,1200.000668061,1200.824337242
c092,1,1,3,121756,110276,113598,113598,1800.0019957549998,1801.147217236
c092,1,1,4,75894,69274,71500,71500,2400.006070952,2401.454737179
c092,1,1,5,59437,54995,56510,56510,3000.0125525189997,3001.916542067
c092,1,1,6,58217,52049,53192,53192,3600.0165215539996,3602.2382335
c092,1,1,7,57366,50443,51591,51591,4200.020761244999,4202.444985897
c092,1,1,8,50197,44097,45216,45216,4800.037427904,4802.650630421
c092,1,1,9,39870,33670,35083,35083,5400.053181296,5402.829490371
c092,1,1,10,35110,30142,30950,30950,6000.0572794029995,6002.990053296
c092,1,1,11,28954,25374,25962,25962,6600.061509822999,6603.13221334
# search time: 6600.062s
# total time: 13211.789s
c092,2,1,1,1140216,983482,1106117,1106117,600.000090728,600.27748078
c092,2,1,2,212788,191107,196818,196818,1200.00050205,1200.594567811
c092,2,1,3,121313,110093,113476,113476,1800.006658769,1800.802492064
c092,2,1,4,76606,68952,70994,70994,2400.0104250490003,2400.957767608
c092,2,1,5,58968,54651,56169,56169,3000.0212323690002,3001.225686346
c092,2,1,6,57650,50877,52083,52083,3600.0215869450003,3601.423304234
c092,2,1,7,56844,49966,51175,51175,4200.037509842,4201.578252129
c092,2,1,8,49421,43275,44366,44366,4800.048013964,4801.71136988
c092,2,1,9,39024,33654,34482,34482,5400.068143542,5401.859709305
c092,2,1,10,34576,29525,30503,30503,6000.07543103,6001.970654462
c092,2,1,11,28854,25098,25667,25667,6600.102144336,6602.116674946
# search time: 6600.102s
# total time: 19814.189s
c092,3,1,1,1071705,876986,1027166,1027166,600.003798033,600.198561283
c092,3,1,2,207493,186214,191851,191851,1200.004100435,1200.447849399
