    Finished release [optimized] target(s) in 0.03s
     Running `/home/rule/library/list-routine-learning-rs/target/release/simulation big_simulation.toml 5 /home/rule/library/list-routines-model-comparison/waves/3/json/c093_5.json out/1592958601/results/c093_5_best.csv out/1592958601/results/c093_5_predictions.csv out/1592958601/results/c093_5_all.csv /dev/null`
# loaded parameters
# loaded lexicon
#   C/0: list → list
#   TRUE/0: bool
#   FALSE/0: bool
#   NIL/0: list
#   CONS/0: nat → list → list
#   0/0: digit
#   1/0: digit
#   2/0: digit
#   3/0: digit
#   4/0: digit
#   5/0: digit
#   6/0: digit
#   7/0: digit
#   8/0: digit
#   9/0: digit
#   DIGIT/0: digit → nat
#   DECC/0: nat → digit → nat
#   NAN/0: nat
#   ./2: ∀t1. ∀t2. (t1 → t2) → t1 → t2
#   EMPTY/0: list → bool
#   EQUAL/0: ∀t0. t0 → t0 → bool
#   HEAD/0: list → nat
#   IF/0: ∀t0. bool → t0 → t0 → t0
#   TAIL/0: list → list
#   +/0: nat → nat → nat
#   -/0: nat → nat → nat
#   >/0: nat → nat → bool
# loaded background
# loaded data
#   Datum { i: IntList([93, 7, 37, 90, 0, 99, 6, 6]), o: IntList([93, 93, 93, 93, 93, 93, 93, 93, 93, 93]) }
#   Datum { i: IntList([76, 48, 1, 0, 1, 31, 9, 48, 7, 60]), o: IntList([76, 76, 76, 76, 76, 76, 76, 76, 76, 76]) }
#   Datum { i: IntList([94, 36, 57, 91]), o: IntList([94, 94, 94, 94, 94, 94, 94, 94, 94, 94]) }
#   Datum { i: IntList([31, 4, 8, 26, 2, 31, 26, 0, 33, 26]), o: IntList([31, 31, 31, 31, 31, 31, 31, 31, 31, 31]) }
#   Datum { i: IntList([71, 71, 67, 66, 55, 83, 67, 66, 55, 50]), o: IntList([71, 71, 71, 71, 71, 71, 71, 71, 71, 71]) }
#   Datum { i: IntList([14, 14, 29, 1, 29, 14, 61, 3]), o: IntList([14, 14, 14, 14, 14, 14, 14, 14, 14, 14]) }
#   Datum { i: IntList([62]), o: IntList([62, 62, 62, 62, 62, 62, 62, 62, 62, 62]) }
#   Datum { i: IntList([4, 63, 0, 58, 61, 9, 0, 1, 85, 8]), o: IntList([4, 4, 4, 4, 4, 4, 4, 4, 4, 4]) }
#   Datum { i: IntList([35, 3, 47, 47, 35, 35, 3, 5, 47, 7]), o: IntList([35, 35, 35, 35, 35, 35, 35, 35, 35, 35]) }
#   Datum { i: IntList([19, 5, 2, 76, 61, 5, 43, 1, 20]), o: IntList([19, 19, 19, 19, 19, 19, 19, 19, 19, 19]) }
#   Datum { i: IntList([21, 4, 67, 89, 67, 67]), o: IntList([21, 21, 21, 21, 21, 21, 21, 21, 21, 21]) }
# searching
problem,run,order,trial,steps,hypotheses,tree,dag,search_time,total_time
c093,0,5,1,958853,785389,919149,919149,600.003159294,601.956443669
c093,0,5,2,155330,144360,149521,149521,1200.004229955,1203.465596089
c093,0,5,3,96030,90388,92793,92793,1800.006537067,1804.409856347
c093,0,5,4,48708,45987,47161,47161,2400.025578061,2406.330562593
c093,0,5,5,34666,32920,33582,33582,3000.035500552,3008.686883849
c093,0,5,6,25409,24301,24720,24720,3600.076100928,3611.246469053
c093,0,5,7,31830,29449,30726,30726,4200.082807228,4212.323100603
c093,0,5,8,28484,26951,27733,27733,4800.122713515,4813.358670552
c093,0,5,9,18335,17181,17556,17556,5400.124699537,5415.360912404
c093,0,5,10,15700,14630,14981,14981,6000.1421156100005,6017.519838607
c093,0,5,11,14710,13777,14103,14103,6600.234013387,6620.089372822
# search time: 6600.234s
# total time: 6620.267s
c093,1,5,1,974590,864896,952943,952943,600.000102607,600.414367983
c093,1,5,2,161568,150117,155280,155280,1200.0024139490001,1200.996056504
c093,1,5,3,94683,88766,91143,91143,1800.003895629,1801.424208825
c093,1,5,4,47935,45328,46402,46402,2400.0058691169997,2402.640365633
c093,1,5,5,33748,32074,32694,32694,3000.0267046279996,3003.889160059
c093,1,5,6,25594,24378,24866,24866,3600.0322129329998,3604.912642548
c093,1,5,7,32193,29807,31082,31082,4200.046092865,4205.452718174
c093,1,5,8,26494,25144,25783,25783,4800.0657259790005,4806.133592068
c093,1,5,9,18395,17196,17599,17599,5400.0694602680005,5407.23122319
c093,1,5,10,15988,14957,15338,15338,6000.075415577001,6008.108436257
c093,1,5,11,13275,12397,12681,12681,6600.094197787001,6608.895615753
# search time: 6600.094s
# total time: 13229.488s
c093,2,5,1,917799,778967,886947,886947,600.012597919,600.2624481
c093,2,5,2,157228,146305,151327,151327,1200.0144069869998,1200.656052599
c093,2,5,3,96112,90392,92838,92838,1800.015463192,1800.96889828
c093,2,5,4,48067,45337,46472,46472,2400.037154732,2401.625811475
c093,2,5,5,34893,33130,33844,33844,3000.040880767,3002.214258483
c093,2,5,6,25615,24384,24867,24867,3600.067279538,3602.819775661
c093,2,5,7,33119,30895,32168,32168,4200.114022694001,4203.160750153
c093,2,5,8,27473,25808,26660,26660,4800.154160614001,4803.608120985
c093,2,5,9,17241,16102,16425,16425,5400.2093556770005,5404.182500421
c093,2,5,10,15834,14783,15168,15168,6000.224642433001,6005.346699084
c093,2,5,11,13183,12342,12617,12617,6600.2486024400005,6606.470025039
# search time: 6600.249s
# total time: 19836.189s
c093,3,5,1,899742,736133,862618,862618,600.002289796,600.166170465
c093,3,5,2,158281,147051,152101,152101,1200.007630316,1200.449829354
c093,3,5,3,95534,89835,92218,92218,1800.013606525,1800.665192188
c093,3,5,4,47228,44742,45728,45728,2400.020723865,2401.262357955
c093,3,5,5,33999,32137,32909,32909,3000.052740101,3002.013694532
c093,3,5,6,25767,24595,25057,25057,3600.0604446099996,3602.697499233
c093,3,5,7,33741,31314,32712,32712,4200.063375006,4202.925611599
c093,3,5,8,28821,27207,28056,28056,4800.063543986,4803.202591815
c093,3,5,9,17238,16133,16467,16467,5400.073876216,5404.067630005
c093,3,5,10,15737,14619,15006,15006,6000.078155543,6004.656130514
c093,3,5,11,13639,12703,13039,13039,6600.081686111001,6605.02621105
# search time: 6600.082s
# total time: 26441.441s
c093,4,5,1,967979,844505,941950,941950,600.000171482,600.226198742
c093,4,5,2,161164,150251,155087,155087,1200.003181282,1200.461862146
c093,4,5,3,94081,88212,90526,90526,1800.0051094760001,1800.64155911
c093,4,5,4,47758,45132,46254,46254,2400.006379665,2401.136716026
c093,4,5,5,34388,32567,33277,33277,3000.011378382,3001.649000217
c093,4,5,6,25121,23906,24373,24373,3600.0416537280003,3602.115941478
c093,4,5,7,30876,28618,29763,29763,4200.042623746001,4202.431155755
c093,4,5,8,26789,25268,25982,25982,4800.093148886001,4802.749931954
c093,4,5,9,18687,17477,17884,17884,5400.093567143001,5403.037035685
c093,4,5,10,15597,14590,14935,14935,6000.1498809820005,6003.755747758
c093,4,5,11,13908,12961,13317,13317,6600.165535121,6604.089313384
# search time: 6600.166s
# total time: 33045.678s
