    Finished release [optimized] target(s) in 0.03s
     Running `/home/rule/library/list-routine-learning-rs/target/release/simulation big_simulation.toml 5 /home/rule/library/list-routines-model-comparison/waves/3/json/c095_1.json out/1592958601/results/c095_1_best.csv out/1592958601/results/c095_1_predictions.csv out/1592958601/results/c095_1_all.csv /dev/null`
# loaded parameters
# loaded lexicon
#   C/0: list → list
#   TRUE/0: bool
#   FALSE/0: bool
#   NIL/0: list
#   CONS/0: nat → list → list
#   0/0: digit
#   1/0: digit
#   2/0: digit
#   3/0: digit
#   4/0: digit
#   5/0: digit
#   6/0: digit
#   7/0: digit
#   8/0: digit
#   9/0: digit
#   DIGIT/0: digit → nat
#   DECC/0: nat → digit → nat
#   NAN/0: nat
#   ./2: ∀t1. ∀t2. (t1 → t2) → t1 → t2
#   EMPTY/0: list → bool
#   EQUAL/0: ∀t0. t0 → t0 → bool
#   HEAD/0: list → nat
#   IF/0: ∀t0. bool → t0 → t0 → t0
#   TAIL/0: list → list
#   +/0: nat → nat → nat
#   -/0: nat → nat → nat
#   >/0: nat → nat → bool
# loaded background
# loaded data
#   Datum { i: IntList([3, 3, 53, 53]), o: IntList([3, 53]) }
#   Datum { i: IntList([92, 0, 4]), o: IntList([0]) }
#   Datum { i: IntList([62, 1]), o: IntList([]) }
#   Datum { i: IntList([0, 28, 50, 25, 7, 4, 8, 83, 77, 56]), o: IntList([28, 50, 25, 7, 4, 8, 83, 77]) }
#   Datum { i: IntList([13, 10, 1, 27, 38, 33, 58]), o: IntList([10, 1, 27, 38, 33]) }
#   Datum { i: IntList([3, 6, 3, 6, 85]), o: IntList([6, 3, 6]) }
#   Datum { i: IntList([6, 21, 6, 59, 6, 59, 6, 12, 12]), o: IntList([21, 6, 59, 6, 59, 6, 12]) }
#   Datum { i: IntList([56, 39, 5, 5, 2, 24, 24]), o: IntList([39, 5, 5, 2, 24]) }
#   Datum { i: IntList([46, 46, 46, 46, 32, 32, 32, 46]), o: IntList([46, 46, 46, 32, 32, 32]) }
#   Datum { i: IntList([16, 51, 51, 16, 16, 0, 0, 85, 51, 9]), o: IntList([51, 51, 16, 16, 0, 0, 85, 51]) }
#   Datum { i: IntList([8, 97, 65, 9, 54, 97]), o: IntList([97, 65, 9, 54]) }
# searching
problem,run,order,trial,steps,hypotheses,tree,dag,search_time,total_time
c095,0,1,1,1071673,918157,1038144,1038144,600.003908103,602.137324611
c095,0,1,2,536559,504336,518420,518420,1200.005645612,1203.299441766
c095,0,1,3,476556,439106,450076,450076,1800.0057503910002,1804.25901434
c095,0,1,4,432212,393334,411800,411800,2400.0109097480004,2404.984493374
c095,0,1,5,169375,157282,162652,162652,3000.0140735540003,3005.48827636
c095,0,1,6,123855,118132,121802,121802,3600.0148103460006,3605.936836093
c095,0,1,7,91872,85770,88912,88912,4200.016483751,4206.48231195
c095,0,1,8,66849,62566,65181,65181,4800.024441369,4806.982473379
c095,0,1,9,54362,50598,52763,52763,5400.031505106,5407.608207042
c095,0,1,10,41820,38527,40419,40419,6000.040106697999,6008.258266377
c095,0,1,11,34701,32092,33592,33592,6600.059378008,6609.002527992
# search time: 6600.059s
# total time: 6609.537s
c095,1,1,1,1043407,910698,1014717,1014717,600.000150074,600.325248817
c095,1,1,2,531772,499969,513727,513727,1200.000444279,1200.733141501
c095,1,1,3,466553,430271,440321,440321,1800.000940716,1801.153135538
c095,1,1,4,431118,392368,410733,410733,2400.001405835,2401.472961229
c095,1,1,5,170818,159147,164749,164749,3000.006160989,3001.691633304
c095,1,1,6,122592,117002,120661,120661,3600.0166526059998,3601.932889846
c095,1,1,7,91742,85823,88851,88851,4200.024390122,4202.215352288
c095,1,1,8,65563,61250,63676,63676,4800.028565015,4802.523601351
c095,1,1,9,54461,50616,53021,53021,5400.032298427,5402.726554672
c095,1,1,10,40950,37649,39485,39485,6000.042000963999,6003.107897819
c095,1,1,11,32680,29876,31487,31487,6600.043833498999,6603.468881198
# search time: 6600.044s
# total time: 13213.337s
c095,2,1,1,1001763,820018,960044,960044,600.003242925,600.179308483
c095,2,1,2,532981,500781,514763,514763,1200.0053943,1200.46477888
c095,2,1,3,464637,428619,438468,438468,1800.005690098,1800.765190893
c095,2,1,4,428650,390545,409102,409102,2400.006492998,2401.00097016
c095,2,1,5,167649,155627,160703,160703,3000.010217991,3001.179845954
c095,2,1,6,121646,115902,119640,119640,3600.034048855,3601.335842505
c095,2,1,7,90383,84486,87832,87832,4200.036335656,4201.466686371
c095,2,1,8,65609,61225,63876,63876,4800.057926317,4801.700370538
c095,2,1,9,52946,48703,51073,51073,5400.067770116,5401.906510441
c095,2,1,10,43288,40171,42076,42076,6000.098605035,6002.15418921
c095,2,1,11,34194,31655,33145,33145,6600.116955527,6602.458296605
# search time: 6600.117s
# total time: 19816.361s
c095,3,1,1,973168,829696,941626,941626,600.002456637,600.194971614
c095,3,1,2,517706,486949,500767,500767,1200.002862264,1200.424742678
c095,3,1,3,462655,426579,436579,436579,1800.0057353759998,1800.670517524
c095,3,1,4,429612,390822,409280,409280,2400.0085224199997,2400.871068285
c095,3,1,5,170380,158915,164313,164313,3000.009784728,3001.014439741
c095,3,1,6,123130,117499,121123,121123,3600.012460253,3601.161388642
c095,3,1,7,91022,85090,88548,88548,4200.013409388,4201.284691369
c095,3,1,8,65899,61734,64300,64300,4800.014221910999,4801.423667213
c095,3,1,9,54002,50091,52593,52593,5400.019308075,5401.607924808
c095,3,1,10,41708,38479,40318,40318,6000.0311585889995,6001.779944717
c095,3,1,11,31840,29465,30751,30751,6600.035206844,6602.048515591
# search time: 6600.035s
# total time: 26418.929s
c095,4,1,1,982672,805584,942087,942087,600.000246538,600.150946775
c095,4,1,2,536521,504170,518106,518106,1200.000434349,1200.359951228
c095,4,1,3,463713,427793,437697,437697,1800.008004782,1800.567852691
c095,4,1,4,429681,391023,409333,409333,2400.008448472,2400.743719845
c095,4,1,5,169075,157517,163016,163016,3000.0092415990002,3000.852990145
c095,4,1,6,121507,115971,119574,119574,3600.0099061030005,3600.954399775
c095,4,1,7,82023,75447,78654,78654,4200.030121182001,4201.121671992
c095,4,1,8,65903,61508,63982,63982,4800.046849568001,4801.274040465
c095,4,1,9,53266,49432,51851,51851,5400.055024989,5401.403354381
c095,4,1,10,40754,37308,39280,39280,6000.064438625001,6001.594441999
c095,4,1,11,31201,28326,29978,29978,6600.083477730001,6601.792101529
# search time: 6600.083s
# total time: 33021.161s
