    Finished release [optimized] target(s) in 0.05s
     Running `/home/rule/library/list-routine-learning-rs/target/release/simulation big_simulation.toml 5 /home/rule/library/list-routines-model-comparison/waves/3/json/c095_3.json out/1592958601/results/c095_3_best.csv out/1592958601/results/c095_3_predictions.csv out/1592958601/results/c095_3_all.csv /dev/null`
# loaded parameters
# loaded lexicon
#   C/0: list → list
#   TRUE/0: bool
#   FALSE/0: bool
#   NIL/0: list
#   CONS/0: nat → list → list
#   0/0: digit
#   1/0: digit
#   2/0: digit
#   3/0: digit
#   4/0: digit
#   5/0: digit
#   6/0: digit
#   7/0: digit
#   8/0: digit
#   9/0: digit
#   DIGIT/0: digit → nat
#   DECC/0: nat → digit → nat
#   NAN/0: nat
#   ./2: ∀t1. ∀t2. (t1 → t2) → t1 → t2
#   EMPTY/0: list → bool
#   EQUAL/0: ∀t0. t0 → t0 → bool
#   HEAD/0: list → nat
#   IF/0: ∀t0. bool → t0 → t0 → t0
#   TAIL/0: list → list
#   +/0: nat → nat → nat
#   -/0: nat → nat → nat
#   >/0: nat → nat → bool
# loaded background
# loaded data
#   Datum { i: IntList([92, 0, 4]), o: IntList([0]) }
#   Datum { i: IntList([3, 6, 3, 6, 85]), o: IntList([6, 3, 6]) }
#   Datum { i: IntList([16, 51, 51, 16, 16, 0, 0, 85, 51, 9]), o: IntList([51, 51, 16, 16, 0, 0, 85, 51]) }
#   Datum { i: IntList([13, 10, 1, 27, 38, 33, 58]), o: IntList([10, 1, 27, 38, 33]) }
#   Datum { i: IntList([8, 97, 65, 9, 54, 97]), o: IntList([97, 65, 9, 54]) }
#   Datum { i: IntList([0, 28, 50, 25, 7, 4, 8, 83, 77, 56]), o: IntList([28, 50, 25, 7, 4, 8, 83, 77]) }
#   Datum { i: IntList([56, 39, 5, 5, 2, 24, 24]), o: IntList([39, 5, 5, 2, 24]) }
#   Datum { i: IntList([6, 21, 6, 59, 6, 59, 6, 12, 12]), o: IntList([21, 6, 59, 6, 59, 6, 12]) }
#   Datum { i: IntList([62, 1]), o: IntList([]) }
#   Datum { i: IntList([3, 3, 53, 53]), o: IntList([3, 53]) }
#   Datum { i: IntList([46, 46, 46, 46, 32, 32, 32, 46]), o: IntList([46, 46, 46, 32, 32, 32]) }
# searching
problem,run,order,trial,steps,hypotheses,tree,dag,search_time,total_time
c095,0,3,1,1019386,890242,992687,992687,600.006543234,602.233317528
c095,0,3,2,733488,689731,710600,710600,1200.012390898,1203.350247684
c095,0,3,3,435864,406380,410602,410602,1800.012749856,1804.173672284
c095,0,3,4,173888,156081,156862,156862,2400.013516903,2404.735157875
c095,0,3,5,122883,109990,110761,110761,3000.015910994,3005.217710371
c095,0,3,6,102048,91610,92114,92114,3600.016052434,3605.682877272
c095,0,3,7,77563,68903,69315,69315,4200.034620512,4206.110561031
c095,0,3,8,67732,60108,60491,60491,4800.041659691,4806.518467763
c095,0,3,9,52354,47341,47643,47643,5400.045821722,5407.014725308
c095,0,3,10,51143,46902,49228,49228,6000.047918638,6007.279660262
c095,0,3,11,37077,34576,36183,36183,6600.063270846,6607.854099248
# search time: 6600.063s
# total time: 6608.168s
c095,1,3,1,1001632,863115,971993,971993,600.012028198,600.327956617
c095,1,3,2,707508,665731,685881,685881,1200.0140219720001,1200.781463063
c095,1,3,3,435574,405473,409362,409362,1800.0141384960002,1801.196236665
c095,1,3,4,174486,156681,157468,157468,2400.0196206120004,2401.464933869
c095,1,3,5,121913,110439,111142,111142,3000.0220308840003,3001.691858352
c095,1,3,6,101856,91423,91935,91935,3600.0261562930004,3601.928446177
c095,1,3,7,77010,68443,68826,68826,4200.031762246001,4202.15985617
c095,1,3,8,66371,58894,59277,59277,4800.038039093,4802.331778546
c095,1,3,9,53406,48733,49135,49135,5400.055460761,5402.527949479
c095,1,3,10,51205,47085,49371,49371,6000.063186138001,6002.750944531
c095,1,3,11,36752,34145,35782,35782,6600.100507171001,6603.09223146
# search time: 6600.101s
# total time: 13211.809s
c095,2,3,1,997922,859294,968268,968268,600.003709208,600.255852626
c095,2,3,2,734078,689943,710913,710913,1200.004218578,1200.566810978
c095,2,3,3,435548,405260,409268,409268,1800.004711189,1800.86447141
c095,2,3,4,174898,157217,157988,157988,2400.00530595,2401.048646832
c095,2,3,5,120768,109307,110017,110017,3000.007850553,3001.234746401
c095,2,3,6,100491,90093,90367,90367,3600.008510966,3601.399573068
c095,2,3,7,76907,68409,68811,68811,4200.014532462,4201.522111766
c095,2,3,8,66522,57795,58027,58027,4800.024477053,4801.702124846
c095,2,3,9,53424,48609,49030,49030,5400.045125219,5401.824776863
c095,2,3,10,51018,46864,49221,49221,6000.051182077999,6001.941020629
c095,2,3,11,36246,33636,35273,35273,6600.068171294999,6602.252991324
# search time: 6600.068s
# total time: 19814.624s
c095,3,3,1,1016259,877895,986815,986815,600.000071278,600.255164733
c095,3,3,2,724307,681021,701616,701616,1200.000216405,1200.532556144
c095,3,3,3,436228,406178,410069,410069,1800.0004568529998,1800.75474617
c095,3,3,4,174052,156910,157612,157612,2400.005318335,2400.895411093
c095,3,3,5,120188,108504,109015,109015,3000.010486045,3001.03606458
c095,3,3,6,101951,91551,92109,92109,3600.010604393,3601.163232089
c095,3,3,7,75380,66934,67171,67171,4200.021120727,4201.285255971
c095,3,3,8,66590,57943,58199,58199,4800.026426019001,4801.377762056
c095,3,3,9,49000,43691,44094,44094,5400.028537923001,5401.513595902
c095,3,3,10,50569,46228,48472,48472,6000.0313143230005,6001.608359111
c095,3,3,11,35908,33174,34850,34850,6600.031488308001,6601.779662677
# search time: 6600.031s
# total time: 26416.980s
c095,4,3,1,1011727,886759,985943,985943,600.000164068,600.223375247
c095,4,3,2,710566,667995,688352,688352,1200.0004780059999,1200.449901928
c095,4,3,3,431420,402387,406581,406581,1800.0009795649999,1800.63553381
c095,4,3,4,172089,153742,154194,154194,2400.001467471,2400.775546304
c095,4,3,5,120432,108138,108586,108586,3000.005194192,3000.893087993
c095,4,3,6,101242,91072,91578,91578,3600.007102467,3601.00135989
c095,4,3,7,74665,66160,66394,66394,4200.022438108,4201.122110847
c095,4,3,8,66360,57760,58002,58002,4800.027766368,4801.229908879
c095,4,3,9,53191,48523,48926,48926,5400.02813661,5401.325583459
c095,4,3,10,50837,46723,49044,49044,6000.028420959,6001.396044432
c095,4,3,11,36611,34176,35739,35739,6600.033693127,6601.484197957
# search time: 6600.034s
# total time: 33019.262s
