    Finished release [optimized] target(s) in 0.03s
     Running `/home/rule/library/list-routine-learning-rs/target/release/simulation small_simulation.toml 5 /home/rule/library/list-routines-model-comparison/waves/3/json/c042_1.json out/1593091766/results/c042_1_best.csv out/1593091766/results/c042_1_predictions.csv out/1593091766/results/c042_1_all.csv /dev/null`
# loaded parameters
# loaded lexicon
#   C/0: list → list
#   TRUE/0: bool
#   FALSE/0: bool
#   NIL/0: list
#   CONS/0: nat → list → list
#   0/0: digit
#   1/0: digit
#   2/0: digit
#   3/0: digit
#   4/0: digit
#   5/0: digit
#   6/0: digit
#   7/0: digit
#   8/0: digit
#   9/0: digit
#   DIGIT/0: digit → nat
#   NAN/0: nat
#   ./2: ∀t1. ∀t2. (t1 → t2) → t1 → t2
#   EMPTY/0: list → bool
#   EQUAL/0: ∀t0. t0 → t0 → bool
#   HEAD/0: list → nat
#   IF/0: ∀t0. bool → t0 → t0 → t0
#   TAIL/0: list → list
#   +/0: nat → nat → nat
#   -/0: nat → nat → nat
#   >/0: nat → nat → bool
# loaded background
# loaded data
#   Datum { i: IntList([9, 3, 8, 0]), o: IntList([5, 2]) }
#   Datum { i: IntList([1, 1, 0, 7, 7]), o: IntList([5, 2]) }
#   Datum { i: IntList([6, 7, 3]), o: IntList([5, 2]) }
#   Datum { i: IntList([9, 8]), o: IntList([5, 2]) }
#   Datum { i: IntList([4, 4]), o: IntList([5, 2]) }
#   Datum { i: IntList([3, 7, 7, 4, 7, 3]), o: IntList([5, 2]) }
#   Datum { i: IntList([1, 9, 9, 8]), o: IntList([5, 2]) }
#   Datum { i: IntList([6, 7, 4, 1, 2]), o: IntList([5, 2]) }
#   Datum { i: IntList([]), o: IntList([5, 2]) }
#   Datum { i: IntList([2, 6, 0, 0, 8, 9, 6, 6, 9, 0]), o: IntList([5, 2]) }
#   Datum { i: IntList([4]), o: IntList([5, 2]) }
# searching
problem,run,order,trial,steps,hypotheses,tree,dag,search_time,total_time
c042,0,1,1,1129845,925663,1083224,1083224,600.001404275,601.875240115
c042,0,1,2,608471,574838,591279,591279,1200.003154169,1203.032043959
c042,0,1,3,400917,384404,393615,393615,1800.0038014010001,1803.833082667
c042,0,1,4,323931,309614,316980,316980,2400.003901091,2404.579869524
c042,0,1,5,297768,282481,292002,292002,3000.007266983,3005.107727485
c042,0,1,6,257127,242883,251272,251272,3600.008134686,3605.643224624
c042,0,1,7,220846,208628,215711,215711,4200.008478479,4206.151386822
c042,0,1,8,192197,181559,187780,187780,4800.022469445,4806.670427529
c042,0,1,9,152426,138909,142193,142193,5400.027085446,5407.217091538
c042,0,1,10,160665,146173,149010,149010,6000.030440709,6007.63961803
c042,0,1,11,145431,133856,136177,136177,6600.033728651,6608.028719821
# search time: 6600.034s
# total time: 6608.459s
c042,1,1,1,1167167,1012789,1133857,1133857,600.000257684,600.34569548
c042,1,1,2,608421,576101,591926,591926,1200.0002948699998,1200.707094495
c042,1,1,3,397510,380215,390011,390011,1800.00277349,1801.009846714
c042,1,1,4,330881,316541,323628,323628,2400.003098782,2401.336075317
c042,1,1,5,295817,280743,290195,290195,3000.0040547010003,3001.591949213
c042,1,1,6,259660,245434,253601,253601,3600.0051222930006,3601.844943125
c042,1,1,7,220630,208589,215578,215578,4200.007614153001,4202.076664543
c042,1,1,8,193444,182588,188910,188910,4800.008613309001,4802.318159972
c042,1,1,9,148464,135000,138188,138188,5400.0088353950005,5402.577143049
c042,1,1,10,160551,145899,148518,148518,6000.013107465001,6002.785154852
c042,1,1,11,141954,130392,132932,132932,6600.014577805001,6603.007459201
# search time: 6600.015s
# total time: 13212.127s
c042,2,1,1,1125335,918762,1078131,1078131,600.000037353,600.195108563
c042,2,1,2,629878,593538,611117,611117,1200.0090373560001,1200.461298872
c042,2,1,3,394286,377397,387176,387176,1800.0095284090003,1800.665929589
c042,2,1,4,324567,310694,317766,317766,2400.0172686290002,2400.891896889
c042,2,1,5,297284,281866,291624,291624,3000.0217485250005,3001.068592029
c042,2,1,6,262226,248065,256221,256221,3600.0279536150006,3601.242244559
c042,2,1,7,217882,206565,213113,213113,4200.0348868500005,4201.427315277
c042,2,1,8,194401,184221,189975,189975,4800.036141050001,4801.605984707
c042,2,1,9,150182,136826,140241,140241,5400.038938700001,5401.907101723
c042,2,1,10,157959,143625,146269,146269,6000.0441973470015,6002.202367013
c042,2,1,11,142257,130529,133191,133191,6600.046013483002,6602.369398751
# search time: 6600.046s
# total time: 19815.073s
c042,3,1,1,1131823,928886,1084840,1084840,600.000778852,600.177964047
c042,3,1,2,620099,585775,602326,602326,1200.001019633,1200.397997552
c042,3,1,3,401371,384687,394068,394068,1800.0026131939999,1800.586392801
c042,3,1,4,320552,306069,313608,313608,2400.003853149,2400.763557479
c042,3,1,5,299090,283711,293340,293340,3000.004754153,3000.910681744
c042,3,1,6,263357,249206,257324,257324,3600.004933074,3601.046736039
c042,3,1,7,221081,209073,215987,215987,4200.0051735199995,4201.185837491
c042,3,1,8,193192,182148,188598,188598,4800.00680028,4801.346137638
c042,3,1,9,151674,138341,141549,141549,5400.007616971,5401.514121535
c042,3,1,10,161973,147297,149920,149920,6000.008893462,6001.628592123
c042,3,1,11,143205,131840,134049,134049,6600.010999489,6601.742472672
# search time: 6600.011s
# total time: 26417.471s
c042,4,1,1,1135835,978576,1101746,1101746,600.000030502,600.265079512
c042,4,1,2,638582,602679,619671,619671,1200.000557074,1200.463339889
c042,4,1,3,402789,385489,395195,395195,1800.006596516,1800.625580443
c042,4,1,4,222344,212111,217311,217311,2400.007415445,2400.810558655
c042,4,1,5,218304,207164,213970,213970,3000.0115203279997,3000.973164915
c042,4,1,6,155063,146122,151260,151260,3600.0120054229997,3601.083696417
c042,4,1,7,131217,123739,127816,127816,4200.013019102999,4201.194076727
c042,4,1,8,115849,109193,112849,112849,4800.023253177999,4801.326614052
c042,4,1,9,89695,81369,83436,83436,5400.133818115999,5401.559200489
c042,4,1,10,150288,136476,138782,138782,6000.138549265999,6001.665695984
c042,4,1,11,144579,132876,135327,135327,6600.140605579999,6601.768046209
# search time: 6600.141s
# total time: 33019.847s
