    Finished release [optimized] target(s) in 0.05s
     Running `/home/rule/library/list-routine-learning-rs/target/release/simulation small_simulation.toml 5 /home/rule/library/list-routines-model-comparison/waves/3/json/c056_2.json out/1593091766/results/c056_2_best.csv out/1593091766/results/c056_2_predictions.csv out/1593091766/results/c056_2_all.csv /dev/null`
# loaded parameters
# loaded lexicon
#   C/0: list → list
#   TRUE/0: bool
#   FALSE/0: bool
#   NIL/0: list
#   CONS/0: nat → list → list
#   0/0: digit
#   1/0: digit
#   2/0: digit
#   3/0: digit
#   4/0: digit
#   5/0: digit
#   6/0: digit
#   7/0: digit
#   8/0: digit
#   9/0: digit
#   DIGIT/0: digit → nat
#   NAN/0: nat
#   ./2: ∀t1. ∀t2. (t1 → t2) → t1 → t2
#   EMPTY/0: list → bool
#   EQUAL/0: ∀t0. t0 → t0 → bool
#   HEAD/0: list → nat
#   IF/0: ∀t0. bool → t0 → t0 → t0
#   TAIL/0: list → list
#   +/0: nat → nat → nat
#   -/0: nat → nat → nat
#   >/0: nat → nat → bool
# loaded background
# loaded data
#   Datum { i: IntList([3, 4, 4, 3, 3, 4]), o: IntList([3, 4, 4, 3, 4]) }
#   Datum { i: IntList([0, 8, 3, 6, 5, 9, 7, 2, 3, 1]), o: IntList([0, 8, 3, 6, 9, 7, 2, 3, 1]) }
#   Datum { i: IntList([2, 0, 6, 2, 0, 0, 6, 2, 6]), o: IntList([2, 0, 6, 2, 0, 6, 2, 6]) }
#   Datum { i: IntList([5, 6, 9, 6, 6, 5, 9]), o: IntList([5, 6, 9, 6, 5, 9]) }
#   Datum { i: IntList([8, 8, 8, 8, 8, 8, 8, 8]), o: IntList([8, 8, 8, 8, 8, 8, 8]) }
#   Datum { i: IntList([1, 1, 1, 1, 1, 1, 1, 1, 1]), o: IntList([1, 1, 1, 1, 1, 1, 1, 1]) }
#   Datum { i: IntList([9, 0, 0, 9, 0, 0, 0, 9]), o: IntList([9, 0, 0, 9, 0, 0, 9]) }
#   Datum { i: IntList([7, 6, 7, 8, 6, 0, 7, 6, 0, 5]), o: IntList([7, 6, 7, 8, 0, 7, 6, 0, 5]) }
#   Datum { i: IntList([0, 4, 2, 4, 0]), o: IntList([0, 4, 2, 4]) }
#   Datum { i: IntList([1, 8, 3, 8, 3, 0, 6]), o: IntList([1, 8, 3, 8, 0, 6]) }
#   Datum { i: IntList([2, 1, 2, 6, 7, 2]), o: IntList([2, 1, 2, 6, 2]) }
# searching
problem,run,order,trial,steps,hypotheses,tree,dag,search_time,total_time
c056,0,2,1,1288727,1056699,1235847,1235847,600.004197608,601.728459859
c056,0,2,2,465205,436804,449026,449026,1200.005428098,1202.795349533
c056,0,2,3,232006,213119,221817,221817,1800.006409833,1803.368919407
c056,0,2,4,165639,151975,158278,158278,2400.0074081889998,2403.919466471
c056,0,2,5,135321,123969,128835,128835,3000.0074557689995,3004.455952785
c056,0,2,6,85261,78503,81243,81243,3600.0113073089997,3605.40973882
c056,0,2,7,68883,63815,65475,65475,4200.01626346,4206.45428999
c056,0,2,8,57139,52645,54064,54064,4800.019419855,4807.49463613
c056,0,2,9,54010,49375,51074,51074,5400.022238064,5408.366740927
c056,0,2,10,51417,46382,47846,47846,6000.026348785999,6009.285376914
c056,0,2,11,45641,41240,42578,42578,6600.043048203,6610.277547294
# search time: 6600.043s
# total time: 6610.550s
c056,1,2,1,1247924,1020901,1196550,1196550,600.000918478,600.260443044
c056,1,2,2,448736,421894,433809,433809,1200.00170396,1200.705272839
c056,1,2,3,230261,211886,220340,220340,1800.001971012,1800.970849298
c056,1,2,4,166126,152383,158418,158418,2400.003909122,2401.238589182
c056,1,2,5,135520,123572,128657,128657,3000.008341438,3001.530170738
c056,1,2,6,83926,77557,79896,79896,3600.019656191,3602.120531842
c056,1,2,7,67684,62556,64255,64255,4200.0267539470005,4202.620507459
c056,1,2,8,56556,52128,53550,53550,4800.032062371,4803.166618744
c056,1,2,9,51020,46488,47956,47956,5400.039244818,5403.540774013
c056,1,2,10,51355,46238,47701,47701,6000.043629574,6003.929321723
c056,1,2,11,45459,41141,42413,42413,6600.059875291,6604.396804316
# search time: 6600.060s
# total time: 13215.388s
c056,2,2,1,1217154,1033306,1176785,1176785,600.000077721,600.303998582
c056,2,2,2,461534,433426,445433,445433,1200.000999027,1200.607664294
c056,2,2,3,229022,210714,219069,219069,1800.0011992270001,1800.776895439
c056,2,2,4,164017,150437,156333,156333,2400.001658104,2400.948403551
c056,2,2,5,134598,123263,128081,128081,3000.0037327649998,3001.164554328
c056,2,2,6,86381,80322,82576,82576,3600.0172940929997,3601.518590156
c056,2,2,7,70482,65359,67120,67120,4200.024653021999,4201.904359761
c056,2,2,8,58910,54372,56031,56031,4800.036158501,4802.286406032
c056,2,2,9,51035,46396,47969,47969,5400.039611581999,5402.584290267
c056,2,2,10,50842,45875,47342,47342,6000.04155285,6002.93176121
c056,2,2,11,45975,41431,42771,42771,6600.043398015,6603.261350924
# search time: 6600.043s
# total time: 19819.010s
