    Finished release [optimized] target(s) in 0.05s
     Running `/home/rule/library/list-routine-learning-rs/target/release/simulation small_simulation.toml 5 /home/rule/library/list-routines-model-comparison/waves/3/json/c057_2.json out/1593091766/results/c057_2_best.csv out/1593091766/results/c057_2_predictions.csv out/1593091766/results/c057_2_all.csv /dev/null`
# loaded parameters
# loaded lexicon
#   C/0: list → list
#   TRUE/0: bool
#   FALSE/0: bool
#   NIL/0: list
#   CONS/0: nat → list → list
#   0/0: digit
#   1/0: digit
#   2/0: digit
#   3/0: digit
#   4/0: digit
#   5/0: digit
#   6/0: digit
#   7/0: digit
#   8/0: digit
#   9/0: digit
#   DIGIT/0: digit → nat
#   NAN/0: nat
#   ./2: ∀t1. ∀t2. (t1 → t2) → t1 → t2
#   EMPTY/0: list → bool
#   EQUAL/0: ∀t0. t0 → t0 → bool
#   HEAD/0: list → nat
#   IF/0: ∀t0. bool → t0 → t0 → t0
#   TAIL/0: list → list
#   +/0: nat → nat → nat
#   -/0: nat → nat → nat
#   >/0: nat → nat → bool
# loaded background
# loaded data
#   Datum { i: IntList([1, 8, 0, 8, 1, 6, 5]), o: IntList([1, 8, 0, 8, 1, 6, 4, 5]) }
#   Datum { i: IntList([2, 3, 9, 7, 6, 0, 0, 8]), o: IntList([2, 3, 9, 7, 6, 0, 4, 0, 8]) }
#   Datum { i: IntList([3, 9, 9, 3, 3, 9, 3, 9, 3, 3]), o: IntList([3, 9, 9, 3, 3, 9, 4, 3, 9, 3, 3]) }
#   Datum { i: IntList([2, 5, 6, 3, 2, 9, 2, 0, 0, 0]), o: IntList([2, 5, 6, 3, 2, 9, 4, 2, 0, 0, 0]) }
#   Datum { i: IntList([5, 9, 3, 7, 2, 1, 6, 0, 8]), o: IntList([5, 9, 3, 7, 2, 1, 4, 6, 0, 8]) }
#   Datum { i: IntList([3, 3, 3, 3, 3, 3, 3]), o: IntList([3, 3, 3, 3, 3, 3, 4, 3]) }
#   Datum { i: IntList([2, 9, 9, 2, 9, 9, 2, 2, 2]), o: IntList([2, 9, 9, 2, 9, 9, 4, 2, 2, 2]) }
#   Datum { i: IntList([0, 4, 1, 1, 2, 4, 0, 0, 0]), o: IntList([0, 4, 1, 1, 2, 4, 4, 0, 0, 0]) }
#   Datum { i: IntList([4, 5, 4, 5, 5, 9, 5, 4]), o: IntList([4, 5, 4, 5, 5, 9, 4, 5, 4]) }
#   Datum { i: IntList([6, 6, 3, 3, 6, 7, 3, 7, 3, 3]), o: IntList([6, 6, 3, 3, 6, 7, 4, 3, 7, 3, 3]) }
#   Datum { i: IntList([2, 7, 8, 4, 0, 6, 5, 1]), o: IntList([2, 7, 8, 4, 0, 6, 4, 5, 1]) }
# searching
problem,run,order,trial,steps,hypotheses,tree,dag,search_time,total_time
c057,0,2,1,1269078,1038609,1216457,1216457,600.004349632,601.703891614
c057,0,2,2,347921,324580,333862,333862,1200.00563088,1202.743675882
c057,0,2,3,190795,175351,182854,182854,1800.0075032189998,1803.354168719
c057,0,2,4,101652,94633,97424,97424,2400.0125252149996,2404.509425476
c057,0,2,5,82784,76207,78542,78542,3000.016927375,3005.315795055
c057,0,2,6,66150,60597,62216,62216,3600.01982869,3606.25459685
c057,0,2,7,57668,52100,54130,54130,4200.020137738,4207.265402235
c057,0,2,8,47174,43277,44277,44277,4800.0261212,4808.312789958
c057,0,2,9,41400,37543,38559,38559,5400.039819132,5409.222468374
c057,0,2,10,35707,32512,33278,33278,6000.046564349,6010.394114402
c057,0,2,11,31174,28500,29241,29241,6600.054360733,6611.529552174
# search time: 6600.054s
# total time: 6611.771s
c057,1,2,1,1246429,1084989,1211813,1211813,600.006462208,600.354527331
c057,1,2,2,350728,327639,336539,336539,1200.007394628,1200.766018678
c057,1,2,3,192770,177775,184811,184811,1800.009042012,1801.068163439
c057,1,2,4,101438,94486,97376,97376,2400.026084038,2401.616193365
c057,1,2,5,82145,75382,77747,77747,3000.0311984480004,3002.080753794
c057,1,2,6,65285,59803,61506,61506,3600.0351220190005,3602.55128949
c057,1,2,7,58039,52878,54356,54356,4200.039644244001,4202.974261368
c057,1,2,8,47063,43007,44098,44098,4800.044948742001,4803.502397252
c057,1,2,9,40826,37173,38088,38088,5400.045083473001,5404.02188723
c057,1,2,10,35484,32347,33101,33101,6000.076558990001,6004.578155805
c057,1,2,11,30045,27685,28321,28321,6600.103588526001,6605.360121501
# search time: 6600.104s
# total time: 13217.494s
c057,2,2,1,1238685,1017818,1188325,1188325,600.013530354,600.227508842
c057,2,2,2,341527,319295,328037,328037,1200.016015595,1200.516664518
c057,2,2,3,189308,174419,181658,181658,1800.028227319,1800.719874109
c057,2,2,4,99870,93158,96069,96069,2400.03290364,2401.112629058
c057,2,2,5,83284,76869,78976,78976,3000.0383727629996,3001.398852389
c057,2,2,6,65442,59855,61461,61461,3600.041882748,3601.663202826
c057,2,2,7,57167,52198,53682,53682,4200.0481813609995,4201.951316396
c057,2,2,8,47724,43504,44615,44615,4800.060243673,4802.308468725
c057,2,2,9,40475,36767,37660,37660,5400.061163472999,5402.678641414
c057,2,2,10,36327,33076,33891,33891,6000.070715939999,6003.041960811
c057,2,2,11,31493,28691,29559,29559,6600.089669310999,6603.482482584
# search time: 6600.090s
# total time: 19821.340s
c057,3,2,1,1248101,1085177,1212986,1212986,600.001090349,600.262147051
c057,3,2,2,336334,313946,322957,322957,1200.002744269,1200.484348326
c057,3,2,3,187968,172766,180097,180097,1800.00493297,1800.627603131
c057,3,2,4,100757,93522,96556,96556,2400.008706018,2400.835044048
c057,3,2,5,80614,73991,76288,76288,3000.012675084,3001.073073111
c057,3,2,6,65800,60510,61875,61875,3600.015359674,3601.357562084
c057,3,2,7,57322,52303,53797,53797,4200.022104365,4201.571790932
c057,3,2,8,47459,43249,44423,44423,4800.023156093,4801.838169801
c057,3,2,9,40968,37239,38192,38192,5400.028703172,5402.096234209
c057,3,2,10,35900,32698,33462,33462,6000.06313799,6002.438226533
c057,3,2,11,30527,27920,28629,28629,6600.067277493999,6602.665691229
# search time: 6600.067s
# total time: 26424.368s
c057,4,2,1,1272389,1136141,1248510,1248510,600.003964512,600.310460956
c057,4,2,2,350536,327441,336314,336314,1200.004307219,1200.509262158
c057,4,2,3,185990,170642,178692,178692,1800.005058101,1800.636620411
c057,4,2,4,101437,94515,97327,97327,2400.011690336,2400.869636197
c057,4,2,5,82084,75494,77727,77727,3000.014623662,3001.111411771
c057,4,2,6,65494,60104,61588,61588,3600.023932831,3601.273840108
c057,4,2,7,57512,52472,53951,53951,4200.0328328979995,4201.473177874
c057,4,2,8,47176,42935,44170,44170,4800.053382024999,4801.700013825
c057,4,2,9,41252,37628,38616,38616,5400.070984589999,5401.945924026
c057,4,2,10,36489,33206,34048,34048,6000.079127798999,6002.054720891
c057,4,2,11,30882,28291,28952,28952,6600.088302005,6602.226021762
# search time: 6600.088s
# total time: 33026.959s
