    Finished release [optimized] target(s) in 0.05s
     Running `/home/rule/library/list-routine-learning-rs/target/release/simulation small_simulation.toml 5 /home/rule/library/list-routines-model-comparison/waves/3/json/c077_2.json out/1593091766/results/c077_2_best.csv out/1593091766/results/c077_2_predictions.csv out/1593091766/results/c077_2_all.csv /dev/null`
# loaded parameters
# loaded lexicon
#   C/0: list → list
#   TRUE/0: bool
#   FALSE/0: bool
#   NIL/0: list
#   CONS/0: nat → list → list
#   0/0: digit
#   1/0: digit
#   2/0: digit
#   3/0: digit
#   4/0: digit
#   5/0: digit
#   6/0: digit
#   7/0: digit
#   8/0: digit
#   9/0: digit
#   DIGIT/0: digit → nat
#   NAN/0: nat
#   ./2: ∀t1. ∀t2. (t1 → t2) → t1 → t2
#   EMPTY/0: list → bool
#   EQUAL/0: ∀t0. t0 → t0 → bool
#   HEAD/0: list → nat
#   IF/0: ∀t0. bool → t0 → t0 → t0
#   TAIL/0: list → list
#   +/0: nat → nat → nat
#   -/0: nat → nat → nat
#   >/0: nat → nat → bool
# loaded background
# loaded data
#   Datum { i: IntList([7, 9, 9, 9]), o: IntList([4]) }
#   Datum { i: IntList([2, 4]), o: IntList([2]) }
#   Datum { i: IntList([1, 3, 1, 3, 1, 3]), o: IntList([6]) }
#   Datum { i: IntList([5, 2, 0]), o: IntList([3]) }
#   Datum { i: IntList([8, 0, 0, 0, 8]), o: IntList([5]) }
#   Datum { i: IntList([]), o: IntList([0]) }
#   Datum { i: IntList([2]), o: IntList([1]) }
#   Datum { i: IntList([1, 7, 2, 0]), o: IntList([4]) }
#   Datum { i: IntList([8, 3, 9, 5, 7]), o: IntList([5]) }
#   Datum { i: IntList([8, 6, 6]), o: IntList([3]) }
#   Datum { i: IntList([4, 4]), o: IntList([2]) }
# searching
problem,run,order,trial,steps,hypotheses,tree,dag,search_time,total_time
c077,0,2,1,1276011,1082426,1233677,1233677,600.000185815,601.59337707
c077,0,2,2,919107,869088,894454,894454,1200.004888853,1202.764228545
c077,0,2,3,684945,646338,668219,668219,1800.016559921,1803.416538568
c077,0,2,4,514794,481490,500288,500288,2400.017150571,2404.087415631
c077,0,2,5,431884,405086,422406,422406,3000.02308457,3004.6347349
c077,0,2,6,284314,255124,266086,266086,3600.0245166819996,3605.262982868
c077,0,2,7,213556,190543,198567,198567,4200.025625783,4205.957261702
c077,0,2,8,202340,180126,186471,186471,4800.028337993999,4806.617454549
c077,0,2,9,237275,207537,216204,216204,5400.030851944999,5407.005176666
c077,0,2,10,166501,148818,153869,153869,6000.031539922999,6007.632596187
c077,0,2,11,190754,164258,171807,171807,6600.031857737999,6608.070212455
# search time: 6600.032s
# total time: 6608.641s
c077,1,2,1,1350391,1169875,1311338,1311338,600.00002027,600.344573936
c077,1,2,2,921522,871776,896975,896975,1200.000502509,1200.713667087
c077,1,2,3,778263,734169,759123,759123,1800.001013091,1801.031549857
c077,1,2,4,588968,550945,572391,572391,2400.001522372,2401.363219377
c077,1,2,5,496067,465526,485249,485249,3000.001845316,3001.637625653
c077,1,2,6,326397,292806,305338,305338,3600.092488925,3602.048644147
c077,1,2,7,240539,215163,223859,223859,4200.094042995,4202.436956227
c077,1,2,8,232164,206865,214222,214222,4800.096477100999,4802.792277152
c077,1,2,9,274957,240117,250203,250203,5400.098346266999,5403.03285043
c077,1,2,10,193383,172736,178540,178540,6000.099513084999,6003.398711604
c077,1,2,11,214884,186394,194594,194594,6600.101667537999,6603.62101828
# search time: 6600.102s
# total time: 13213.254s
c077,2,2,1,1486137,1292014,1444561,1444561,600.000092127,600.285063419
c077,2,2,2,919666,868870,894466,894466,1200.000200039,1200.559175133
c077,2,2,3,793865,748674,774616,774616,1800.0005982789999,1800.806341982
c077,2,2,4,586334,548465,569586,569586,2400.001664949,2401.045383179
c077,2,2,5,495263,464805,484599,484599,3000.002028131,3001.257422009
c077,2,2,6,319199,285489,297245,297245,3600.003063193,3601.493727184
c077,2,2,7,246298,220279,229304,229304,4200.007251932,4201.723570736
c077,2,2,8,232788,207930,215187,215187,4800.007335182,4801.963758927
c077,2,2,9,275466,240179,250498,250498,5400.012684025,5402.14027307
c077,2,2,10,193517,173109,178902,178902,6000.013297571,6002.361909335
c077,2,2,11,218970,189309,197805,197805,6600.044029345,6602.527253063
# search time: 6600.044s
# total time: 19817.136s
c077,3,2,1,1475951,1213478,1416768,1416768,600.000450659,600.203973429
c077,3,2,2,912281,863928,888787,888787,1200.000891816,1200.447423673
c077,3,2,3,794542,749266,775229,775229,1800.0009338629998,1800.65392295
c077,3,2,4,591792,553560,574897,574897,2400.001695097,2400.864173984
c077,3,2,5,494657,464178,483901,483901,3000.001832545,3001.030777265
c077,3,2,6,326116,292454,304823,304823,3600.002899087,3601.206512415
c077,3,2,7,243990,218033,226979,226979,4200.004870227,4201.398800572
c077,3,2,8,232700,207641,215002,215002,4800.0061313589995,4801.591671645
c077,3,2,9,276657,241307,251592,251592,5400.01288012,5401.74081896
c077,3,2,10,192046,171843,177592,177592,6000.014161722,6001.932498446
c077,3,2,11,218798,189019,197538,197538,6600.015544983,6602.077464977
# search time: 6600.016s
# total time: 26420.183s
c077,4,2,1,1531551,1327167,1487657,1487657,600.000025173,600.320530305
c077,4,2,2,934594,882759,909141,909141,1200.000615551,1200.546088641
c077,4,2,3,787508,743118,768482,768482,1800.0008684260001,1800.744132397
c077,4,2,4,601851,563166,585858,585858,2400.0013942120004,2400.926138415
c077,4,2,5,494928,464253,484358,484358,3000.0021695600003,3001.073678984
c077,4,2,6,320480,286763,298618,298618,3600.0119150830005,3601.234479591
c077,4,2,7,240450,214983,223697,223697,4200.012974008001,4201.399921497
c077,4,2,8,228641,204209,211401,211401,4800.013990998001,4801.565796416
c077,4,2,9,274153,239439,249676,249676,5400.014331800001,5401.681832676
c077,4,2,10,191762,171944,177586,177586,6000.015323163001,6001.846708638
c077,4,2,11,216905,187622,196033,196033,6600.031134509001,6601.959940215
# search time: 6600.031s
# total time: 33023.107s
