    Finished release [optimized] target(s) in 0.05s
     Running `/home/rule/library/list-routine-learning-rs/target/release/simulation small_simulation.toml 5 /home/rule/library/list-routines-model-comparison/waves/3/json/c079_2.json out/1593091766/results/c079_2_best.csv out/1593091766/results/c079_2_predictions.csv out/1593091766/results/c079_2_all.csv /dev/null`
# loaded parameters
# loaded lexicon
#   C/0: list → list
#   TRUE/0: bool
#   FALSE/0: bool
#   NIL/0: list
#   CONS/0: nat → list → list
#   0/0: digit
#   1/0: digit
#   2/0: digit
#   3/0: digit
#   4/0: digit
#   5/0: digit
#   6/0: digit
#   7/0: digit
#   8/0: digit
#   9/0: digit
#   DIGIT/0: digit → nat
#   NAN/0: nat
#   ./2: ∀t1. ∀t2. (t1 → t2) → t1 → t2
#   EMPTY/0: list → bool
#   EQUAL/0: ∀t0. t0 → t0 → bool
#   HEAD/0: list → nat
#   IF/0: ∀t0. bool → t0 → t0 → t0
#   TAIL/0: list → list
#   +/0: nat → nat → nat
#   -/0: nat → nat → nat
#   >/0: nat → nat → bool
# loaded background
# loaded data
#   Datum { i: IntList([1, 1, 1, 1]), o: IntList([4]) }
#   Datum { i: IntList([]), o: IntList([0]) }
#   Datum { i: IntList([3, 3]), o: IntList([6]) }
#   Datum { i: IntList([4, 0, 0, 2, 2]), o: IntList([8]) }
#   Datum { i: IntList([3, 0, 4]), o: IntList([7]) }
#   Datum { i: IntList([0, 2, 0, 0]), o: IntList([2]) }
#   Datum { i: IntList([1, 1, 1]), o: IntList([3]) }
#   Datum { i: IntList([1, 1, 7]), o: IntList([9]) }
#   Datum { i: IntList([0, 0, 4, 2, 1]), o: IntList([7]) }
#   Datum { i: IntList([0, 4, 1, 3]), o: IntList([8]) }
#   Datum { i: IntList([5, 0]), o: IntList([5]) }
# searching
problem,run,order,trial,steps,hypotheses,tree,dag,search_time,total_time
c079,0,2,1,1350393,1179253,1314154,1314154,600.006279172,601.936681733
c079,0,2,2,884431,821760,846748,846748,1200.006465891,1203.151753537
c079,0,2,3,699769,648697,671400,671400,1800.0164930760002,1803.81008622
c079,0,2,4,586598,538010,560508,560508,2400.0171958190003,2404.367470805
c079,0,2,5,359686,325671,337734,337734,3000.017495385,3005.143071837
c079,0,2,6,269143,242048,250867,250867,3600.018534596,3605.933332915
c079,0,2,7,236676,212420,220403,220403,4200.020292194,4206.642161425
c079,0,2,8,280112,245916,256645,256645,4800.021184101,4807.074603737
c079,0,2,9,256942,225148,235007,235007,5400.021279334999,5407.414707392
c079,0,2,10,220338,195765,204000,204000,6000.022773104999,6007.829451771
c079,0,2,11,186814,168092,175076,175076,6600.024577549999,6608.248954385
# search time: 6600.025s
# total time: 6608.820s
c079,1,2,1,1288099,1108941,1248887,1248887,600.002372371,600.284252859
c079,1,2,2,882951,819948,845026,845026,1200.002580565,1200.716151248
c079,1,2,3,702033,649479,673177,673177,1800.004605088,1800.989998054
c079,1,2,4,672548,616621,642923,642923,2400.004608043,2401.267687974
c079,1,2,5,404462,367045,380239,380239,3000.0056350170003,3001.650959246
c079,1,2,6,306062,275860,285657,285657,3600.0061331550005,3602.016895444
c079,1,2,7,270861,243206,252326,252326,4200.0069919630005,4202.334342637
c079,1,2,8,323472,284960,297147,297147,4800.007452209001,4802.549468516
c079,1,2,9,292938,256133,267174,267174,5400.011911214001,5402.772040357
c079,1,2,10,252206,224027,233362,233362,6000.013434208001,6002.99579581
c079,1,2,11,214756,193363,201428,201428,6600.019155303001,6603.205791413
# search time: 6600.019s
# total time: 13212.972s
c079,2,2,1,1381085,1171933,1335273,1335273,600.000056733,600.241631635
c079,2,2,2,993693,924443,952031,952031,1200.0000784879999,1200.586738049
