    Finished release [optimized] target(s) in 0.05s
     Running `/home/rule/library/list-routine-learning-rs/target/release/simulation small_simulation.toml 5 /home/rule/library/list-routines-model-comparison/waves/3_1/json/c031_3.json out/1594483387/results/c031_3_best.csv out/1594483387/results/c031_3_predictions.csv out/1594483387/results/c031_3_all.csv /dev/null`
# loaded parameters
# loaded lexicon
#   C/0: list → list
#   TRUE/0: bool
#   FALSE/0: bool
#   NIL/0: list
#   CONS/0: nat → list → list
#   0/0: digit
#   1/0: digit
#   2/0: digit
#   3/0: digit
#   4/0: digit
#   5/0: digit
#   6/0: digit
#   7/0: digit
#   8/0: digit
#   9/0: digit
#   DIGIT/0: digit → nat
#   NAN/0: nat
#   ./2: ∀t1. ∀t2. (t1 → t2) → t1 → t2
#   EMPTY/0: list → bool
#   EQUAL/0: ∀t0. t0 → t0 → bool
#   HEAD/0: list → nat
#   IF/0: ∀t0. bool → t0 → t0 → t0
#   TAIL/0: list → list
#   +/0: nat → nat → nat
#   -/0: nat → nat → nat
#   >/0: nat → nat → bool
# loaded background
# loaded data
#   Datum { i: IntList([1, 4, 4]), o: IntList([1]) }
#   Datum { i: IntList([6, 8, 3, 2, 5, 8, 9, 9]), o: IntList([6, 8, 3, 2, 5, 8]) }
#   Datum { i: IntList([3, 7, 7, 6, 9, 2, 2]), o: IntList([3, 7, 7, 6, 9]) }
#   Datum { i: IntList([8, 8, 9, 2, 2, 3, 0, 5, 6]), o: IntList([9, 2, 2, 3, 0, 5, 6]) }
#   Datum { i: IntList([4, 4, 8, 3, 4, 9, 9, 9, 3, 6]), o: IntList([8, 3, 4, 9, 9, 9, 3, 6]) }
#   Datum { i: IntList([4, 0, 2, 4, 2, 2, 7, 9, 9]), o: IntList([4, 0, 2, 4, 2, 2, 7]) }
#   Datum { i: IntList([0, 0, 5, 5, 0, 5, 5, 0]), o: IntList([5, 5, 0, 5, 5, 0]) }
#   Datum { i: IntList([3, 3, 5, 0, 0, 3]), o: IntList([5, 0, 0, 3]) }
#   Datum { i: IntList([4, 1, 6, 4, 4]), o: IntList([4, 1, 6]) }
#   Datum { i: IntList([6, 6, 6, 8]), o: IntList([6, 8]) }
#   Datum { i: IntList([7, 1, 1, 1, 8, 7, 7, 8, 1, 1]), o: IntList([7, 1, 1, 1, 8, 7, 7, 8]) }
# searching
problem,run,order,trial,steps,tree,hypotheses,search_time,total_time
c031,0,3,1,1092547,1092548,979586,600.002872602,602.503425761
c031,0,3,2,745468,745635,724640,1200.0032744750001,1203.534549737
c031,0,3,3,311731,311890,308775,1800.0061651570002,1804.43192067
c031,0,3,4,204225,204392,203298,2400.0083367760003,2405.118502201
c031,0,3,5,121031,121198,120246,3000.010462822,3006.042252862
c031,0,3,6,89697,89865,89123,3600.013440324,3606.677047091
c031,0,3,7,72821,72991,72520,4200.013917627,4207.347298651
c031,0,3,8,60873,61040,60785,4800.015988708001,4808.094106855
c031,0,3,9,55443,55610,55285,5400.0216646280005,5408.781230423
c031,0,3,10,51710,51876,51555,6000.028221235,6009.408154234
c031,0,3,11,43821,43983,43678,6600.031360108001,6610.148744371
# search time: 6600.031s
# total time: 6610.527s
c031,1,3,1,1020588,1020589,895751,600.000525887,600.291980127
c031,1,3,2,758974,759155,737271,1200.002292851,1200.745028637
c031,1,3,3,309710,309893,306739,1800.002357586,1801.138160815
c031,1,3,4,201740,201922,200768,2400.003532543,2401.512680242
c031,1,3,5,120448,120629,119628,3000.0091448189996,3001.921706721
c031,1,3,6,87859,88041,87293,3600.010111449,3602.318226346
c031,1,3,7,73286,73470,72992,4200.012302774,4202.724140896
c031,1,3,8,62361,62543,62171,4800.018730823,4803.156466492
c031,1,3,9,54279,54458,54170,5400.025024813,5403.57982402
c031,1,3,10,52134,52309,51980,6000.028762270999,6003.940442031
c031,1,3,11,46973,47149,46757,6600.03824037,6604.256528036
# search time: 6600.038s
# total time: 13215.645s
c031,2,3,1,1174009,1174010,1064547,600.000228145,600.403846284
c031,2,3,2,808451,808616,786957,1200.000721429,1200.751335628
c031,2,3,3,341537,341714,338464,1800.00173804,1801.12016362
c031,2,3,4,226268,226451,225243,2400.003641883,2401.459751135
c031,2,3,5,125613,125789,124781,3000.009542699,3001.78062701
c031,2,3,6,87910,88085,87242,3600.013630598,3602.081812983
c031,2,3,7,73570,73743,73256,4200.018381023,4202.357376659
c031,2,3,8,61097,61269,61010,4800.018644101,4802.611465458
c031,2,3,9,55318,55485,55201,5400.019255714,5402.885152219
c031,2,3,10,52346,52518,52205,6000.032469832,6003.225451801
c031,2,3,11,45362,45529,45150,6600.054443866,6603.53163845
# search time: 6600.054s
# total time: 19819.544s
c031,3,3,1,1053802,1053803,936937,600.002242896,600.269521854
c031,3,3,2,756814,756983,735927,1200.0038676079998,1200.572218058
c031,3,3,3,308841,309017,305907,1800.0045288,1800.815064625
c031,3,3,4,194086,194256,193408,2400.005218856,2401.010841805
c031,3,3,5,119992,120165,119218,3000.0103629339997,3001.20316431
c031,3,3,6,83212,83397,82722,3600.0196539119997,3601.410024331
c031,3,3,7,71629,71803,71339,4200.022378029999,4201.57524081
c031,3,3,8,61158,61337,61069,4800.0267079449995,4801.803282737
c031,3,3,9,53895,54070,53784,5400.048677631,5402.032252253
c031,3,3,10,51128,51303,50977,6000.0528797609995,6002.276569638
c031,3,3,11,46085,46263,45898,6600.065662047,6602.391123509
# search time: 6600.066s
# total time: 26422.633s
c031,4,3,1,1021031,1021032,905528,600.000016749,600.23895079
c031,4,3,2,760279,760452,738670,1200.006290964,1200.519029103
c031,4,3,3,305085,305249,302136,1800.0063589640001,1800.714397583
c031,4,3,4,199973,200137,198983,2400.0079151070004,2400.868215404
c031,4,3,5,119025,119189,118254,3000.0088713110003,3001.034505337
c031,4,3,6,86536,86700,85950,3600.009854916,3601.233198785
c031,4,3,7,72161,72327,71877,4200.0144967100005,4201.400820557
c031,4,3,8,62598,62773,62416,4800.01774017,4801.538335468
c031,4,3,9,54635,54797,54490,5400.019905526,5401.692401532
c031,4,3,10,51312,51485,51241,6000.023309229,6001.857916573
c031,4,3,11,45051,45216,44882,6600.03249619,6601.962661918
# search time: 6600.032s
# total time: 33025.279s
