    Finished release [optimized] target(s) in 0.03s
     Running `/home/rule/library/list-routine-learning-rs/target/release/simulation small_simulation.toml 5 /home/rule/library/list-routines-model-comparison/waves/3_1/json/c035_1.json out/1594483387/results/c035_1_best.csv out/1594483387/results/c035_1_predictions.csv out/1594483387/results/c035_1_all.csv /dev/null`
# loaded parameters
# loaded lexicon
#   C/0: list → list
#   TRUE/0: bool
#   FALSE/0: bool
#   NIL/0: list
#   CONS/0: nat → list → list
#   0/0: digit
#   1/0: digit
#   2/0: digit
#   3/0: digit
#   4/0: digit
#   5/0: digit
#   6/0: digit
#   7/0: digit
#   8/0: digit
#   9/0: digit
#   DIGIT/0: digit → nat
#   NAN/0: nat
#   ./2: ∀t1. ∀t2. (t1 → t2) → t1 → t2
#   EMPTY/0: list → bool
#   EQUAL/0: ∀t0. t0 → t0 → bool
#   HEAD/0: list → nat
#   IF/0: ∀t0. bool → t0 → t0 → t0
#   TAIL/0: list → list
#   +/0: nat → nat → nat
#   -/0: nat → nat → nat
#   >/0: nat → nat → bool
# loaded background
# loaded data
#   Datum { i: IntList([0, 5, 0, 0]), o: IntList([0, 0, 5, 0]) }
#   Datum { i: IntList([7, 1, 7, 7, 1, 7, 1]), o: IntList([7, 7, 1, 7, 1, 7, 1]) }
#   Datum { i: IntList([3, 3, 3, 2, 2, 6]), o: IntList([2, 3, 3, 3, 2, 6]) }
#   Datum { i: IntList([9, 9, 8, 9, 8]), o: IntList([9, 8, 9, 9, 8]) }
#   Datum { i: IntList([5, 5, 4, 5, 6, 6, 4, 4, 4, 6]), o: IntList([5, 4, 5, 5, 6, 6, 4, 4, 4, 6]) }
#   Datum { i: IntList([3, 6, 7, 3, 1, 0, 6]), o: IntList([3, 7, 6, 3, 1, 0, 6]) }
#   Datum { i: IntList([1, 8, 8, 8, 1]), o: IntList([8, 8, 8, 1, 1]) }
#   Datum { i: IntList([3, 7, 7, 1, 2, 9, 0, 4, 9]), o: IntList([1, 7, 7, 3, 2, 9, 0, 4, 9]) }
#   Datum { i: IntList([4, 3, 6, 4]), o: IntList([4, 6, 3, 4]) }
#   Datum { i: IntList([0, 5, 5, 5, 9, 0, 9, 0]), o: IntList([5, 5, 5, 0, 9, 0, 9, 0]) }
#   Datum { i: IntList([2, 2, 2, 8, 8, 2]), o: IntList([8, 2, 2, 2, 8, 2]) }
# searching
problem,run,order,trial,steps,tree,hypotheses,search_time,total_time
c035,0,1,1,1110955,1110956,946520,600.000000289,601.854119552
c035,0,1,2,493401,493577,480314,1200.0005301790002,1202.95452621
c035,0,1,3,259046,259231,252592,1800.002015775,1803.819557233
c035,0,1,4,170028,170209,167165,2400.002249864,2404.653181725
c035,0,1,5,153841,154026,148142,3000.0030169780002,3005.230019059
c035,0,1,6,92619,92800,89864,3600.0064846170003,3605.93296247
c035,0,1,7,82619,82800,80131,4200.015315097,4206.596601192
c035,0,1,8,72067,72252,69937,4800.020252079,4807.25768079
c035,0,1,9,57890,58069,56284,5400.031956604,5407.955687071
c035,0,1,10,54183,54362,52693,6000.044611896999,6008.666293846
c035,0,1,11,47825,48010,46519,6600.055393584999,6609.347986075
# search time: 6600.055s
# total time: 6609.615s
c035,1,1,1,1032054,1032055,929633,600.000019343,600.362586519
c035,1,1,2,464636,464797,452206,1200.001857384,1200.772704649
c035,1,1,3,256974,257135,250423,1800.001957469,1801.119532091
c035,1,1,4,175642,175809,172207,2400.00422651,2401.435769734
c035,1,1,5,153537,153711,148088,3000.005159672,3001.677000748
c035,1,1,6,91421,91588,88562,3600.00942184,3602.084627324
c035,1,1,7,81885,82055,79178,4200.015758569,4202.41950706
c035,1,1,8,71823,71986,69760,4800.016655654001,4802.784665642
c035,1,1,9,57229,57394,55704,5400.018380172,5403.144574945
c035,1,1,10,53383,53551,51977,6000.020109541,6003.534452555
c035,1,1,11,49679,49843,48292,6600.0302047410005,6603.850493224
# search time: 6600.030s
# total time: 13213.891s
c035,2,1,1,1150417,1150418,1028685,600.000690669,600.33239949
c035,2,1,2,506240,506414,492466,1200.001377235,1200.630580619
c035,2,1,3,284309,284489,277390,1800.004208762,1800.87717515
c035,2,1,4,190253,190435,187058,2400.006032147,2401.108516198
c035,2,1,5,162123,162299,156497,3000.014716192,3001.28606758
c035,2,1,6,92295,92476,89210,3600.01909093,3601.553768719
c035,2,1,7,81924,82098,79525,4200.02510776,4201.803513425
c035,2,1,8,72166,72347,69954,4800.033616563,4801.982872712
c035,2,1,9,57826,58002,56308,5400.034200993,5402.21805379
c035,2,1,10,53996,54177,52572,6000.045937947,6002.510945354
c035,2,1,11,49868,50047,48360,6600.052470036,6602.725575415
# search time: 6600.052s
# total time: 19817.009s
c035,3,1,1,1085406,1085407,969060,600.000109223,600.270141802
c035,3,1,2,478733,478908,465985,1200.0008743600001,1200.496460928
