problem,run,order,trial,time,count,generalizes,lprior,llikelihood,lposterior,trs
"c060",0,2,1,0.000252839,3,true,-9.075207697984686,-0.0010005003335835344,-9.07620819831827,"C = TAIL;"
"c060",0,2,2,601.1360137529999,917481,true,-10.712816487385483,-49.99086781257536,-60.70368429996084,"C = TAIL;"
"c060",0,2,2,601.412785119,917711,true,-19.42759870772646,-36.061161309738175,-55.488760017464635,".(op26 NIL) = .(.(CONS .(DIGIT 2)) .(.(CONS .(DIGIT 5)) .(.(CONS .(DIGIT 0)) .(.(CONS .(DIGIT 4)) .(.(CONS .(DIGIT 3)) .(.(CONS .(DIGIT 6)) NIL)))))); .(op27 .(.(CONS .(DIGIT 0)) .(.(CONS .(DIGIT 5)) .(.(CONS .(DIGIT 2)) .(.(CONS .(DIGIT 4)) .(.(CONS .(DIGIT 3)) .(.(CONS .(DIGIT 1)) .(.(CONS .(DIGIT 6)) .(.(CONS .(DIGIT 8)) .(.(CONS .(DIGIT 7)) .(.(CONS .(DIGIT 9)) NIL))))))))))) = NIL; .(C v0_) = NIL;"
"c060",0,2,2,601.420341006,917718,true,-15.6617582124764,-0.1424492875530951,-15.804207500029495,".(op27 NIL) = NIL; .(op27 .(.(CONS .(DIGIT 0)) v0_)) = .(op27 v0_); .(op27 .(.(CONS .(DIGIT 9)) v0_)) = .(op27 v0_); .(op27 .(.(CONS .(DIGIT 7)) v0_)) = .(op27 v0_); .(op27 .(.(CONS .(DIGIT 8)) v0_)) = .(op27 v0_); .(op27 .(.(CONS .(DIGIT 6)) v0_)) = .(op27 v0_); .(op27 .(.(CONS .(DIGIT 1)) v0_)) = .(op27 v0_); .(op27 .(.(CONS .(DIGIT 3)) v0_)) = .(op27 v0_); .(op27 .(.(CONS .(DIGIT 4)) v0_)) = .(op27 v0_); .(op27 .(.(CONS .(DIGIT 2)) v0_)) = .(op27 v0_); .(op27 .(.(CONS .(DIGIT 5)) v0_)) = .(op27 v0_); .(op26 NIL) = .(.(CONS .(DIGIT 2)) .(.(CONS .(DIGIT 5)) .(.(CONS .(DIGIT 0)) .(.(CONS .(DIGIT 4)) .(.(CONS .(DIGIT 3)) .(.(CONS .(DIGIT 6)) NIL)))))); .(C v0_) = .(op26 .(op27 v0_));"
"c060",0,2,2,601.45940658,917759,true,-15.132583450042212,-0.1424492875530951,-15.275032737595307,".(C v0_) = .(.(CONS .(DIGIT 2)) .(.(CONS .(DIGIT 5)) .(.(CONS .(DIGIT 0)) .(.(CONS .(DIGIT 4)) .(.(CONS .(DIGIT 3)) .(.(CONS .(DIGIT 6)) NIL))))));"
"c060",0,2,2,601.5009929529999,917792,true,-11.462053134596472,-0.1424492875530951,-11.604502422149567,".(C v0_) = .(.(CONS .(DIGIT 2)) .(.(CONS .(DIGIT 5)) .(.(CONS .(DIGIT 0)) .(.(CONS .(DIGIT 4)) .(.(CONS .(DIGIT 3)) .(.(CONS .(DIGIT 6)) NIL))))));"
"c060",0,2,3,1201.5801697009997,1255574,true,-10.712816487385483,-100.08609564130428,-110.79891212868976,"C = TAIL;"
"c060",0,2,3,1201.803674525,1255672,true,-16.701199367956054,-50.18642745248631,-66.88762682044236,".(C v0_) = .(.(CONS .(DIGIT 2)) .(.(CONS .(DIGIT 5)) .(.(CONS .(DIGIT 0)) .(.(CONS .(DIGIT 4)) .(.(CONS .(DIGIT 3)) .(.(CONS .(DIGIT 6)) NIL))))));"
"c060",0,2,3,1201.8139927769998,1255676,true,-13.03066905251032,-50.18642745248631,-63.21709650499663,".(C v0_) = .(.(CONS .(DIGIT 2)) .(.(CONS .(DIGIT 5)) .(.(CONS .(DIGIT 0)) .(.(CONS .(DIGIT 4)) .(.(CONS .(DIGIT 3)) .(.(CONS .(DIGIT 6)) NIL))))));"
"c060",0,2,3,1201.8298923439997,1255683,true,-21.264024623940088,-0.3892585904304205,-21.653283214370507,".(C .(.(CONS .(DIGIT 7)) .(.(CONS .(DIGIT 9)) v0_))) = .(.(CONS .(DIGIT 2)) .(.(CONS .(DIGIT 5)) .(.(CONS .(DIGIT 0)) .(.(CONS .(DIGIT 4)) .(.(CONS .(DIGIT 3)) .(.(CONS .(DIGIT 6)) v0_)))))); .(C .(.(CONS .(DIGIT 3)) .(.(CONS .(DIGIT 0)) NIL))) = .(.(CONS .(DIGIT 1)) .(.(CONS .(DIGIT 8)) .(.(CONS .(DIGIT 9)) .(.(CONS .(DIGIT 4)) .(.(CONS .(DIGIT 7)) .(.(CONS .(DIGIT 5)) NIL)))))); .(C .(.(CONS .(DIGIT 0)) .(.(CONS .(DIGIT 5)) .(.(CONS .(DIGIT 2)) .(.(CONS .(DIGIT 4)) .(.(CONS .(DIGIT 3)) .(.(CONS .(DIGIT 1)) .(.(CONS .(DIGIT 6)) .(.(CONS .(DIGIT 8)) v0_))))))))) = .(C v0_); .(C .(.(CONS .(DIGIT 9)) .(.(CONS .(DIGIT 8)) .(.(CONS .(DIGIT 1)) .(.(CONS .(DIGIT 2)) .(.(CONS .(DIGIT 7)) .(.(CONS .(DIGIT 4)) .(.(CONS .(DIGIT 5)) .(.(CONS .(DIGIT 6)) v0_))))))))) = .(C v0_);"
