    Finished release [optimized] target(s) in 0.03s
     Running `/home/rule/library/list-routine-learning-rs/target/release/simulation small_simulation.toml 5 /home/rule/library/list-routines-model-comparison/waves/3_1/json/c034_3.json out/1595515534/results/c034_3_best.csv out/1595515534/results/c034_3_predictions.csv out/1595515534/results/c034_3_all.csv /dev/null`
# loaded parameters
# loaded lexicon
#   C/0: list → list
#   TRUE/0: bool
#   FALSE/0: bool
#   NIL/0: list
#   CONS/0: nat → list → list
#   0/0: digit
#   1/0: digit
#   2/0: digit
#   3/0: digit
#   4/0: digit
#   5/0: digit
#   6/0: digit
#   7/0: digit
#   8/0: digit
#   9/0: digit
#   DIGIT/0: digit → nat
#   NAN/0: nat
#   ./2: ∀t1. ∀t2. (t1 → t2) → t1 → t2
#   EMPTY/0: list → bool
#   EQUAL/0: ∀t0. t0 → t0 → bool
#   HEAD/0: list → nat
#   IF/0: ∀t0. bool → t0 → t0 → t0
#   TAIL/0: list → list
#   +/0: nat → nat → nat
#   -/0: nat → nat → nat
#   >/0: nat → nat → bool
# loaded background
# loaded data
#   Datum { i: IntList([6, 1, 2, 7, 4]), o: IntList([6, 2, 1, 7, 4]) }
#   Datum { i: IntList([3, 0, 8, 7, 2, 1]), o: IntList([3, 8, 0, 7, 2, 1]) }
#   Datum { i: IntList([7, 1, 8, 6, 3, 5, 9, 4]), o: IntList([7, 8, 1, 6, 3, 5, 9, 4]) }
#   Datum { i: IntList([8, 0, 8, 0]), o: IntList([8, 8, 0, 0]) }
#   Datum { i: IntList([0, 8, 3, 1, 4, 9, 5, 9, 5]), o: IntList([0, 3, 8, 1, 4, 9, 5, 9, 5]) }
#   Datum { i: IntList([9, 7, 6, 6, 9, 7, 6]), o: IntList([9, 6, 7, 6, 9, 7, 6]) }
#   Datum { i: IntList([3, 3, 4, 4, 6, 4, 3, 4]), o: IntList([3, 4, 3, 4, 6, 4, 3, 4]) }
#   Datum { i: IntList([3, 1, 4, 2, 6, 5, 9, 7, 0, 8]), o: IntList([3, 4, 1, 2, 6, 5, 9, 7, 0, 8]) }
#   Datum { i: IntList([1, 9, 1, 4]), o: IntList([1, 1, 9, 4]) }
#   Datum { i: IntList([9, 0, 2]), o: IntList([9, 2, 0]) }
#   Datum { i: IntList([5, 9, 3, 5, 7, 5, 1, 1, 2, 6]), o: IntList([5, 3, 9, 5, 7, 5, 1, 1, 2, 6]) }
# searching
problem,run,order,trial,steps,tree,hypotheses,search_time,total_time
c034,0,3,1,1263611,1263613,1153955,600.000237429,601.926234261
c034,0,3,2,292943,293679,285862,1200.0009889819999,1202.415568168
c034,0,3,3,159398,160387,155316,1800.00386712,1802.786001477
c034,0,3,4,99025,99885,97049,2400.004798073,2403.104819302
c034,0,3,5,86762,87397,84722,3000.0065590040003,3003.528722643
c034,0,3,6,64496,65196,62920,3600.0138169800002,3603.995103226
c034,0,3,7,53465,54301,52645,4200.013937901,4204.513454841
c034,0,3,8,45962,46749,45234,4800.020643606,4804.97612444
c034,0,3,9,34403,35126,34156,5400.027939330999,5405.416648887
c034,0,3,10,30386,31163,30253,6000.035121679999,6005.785640183
c034,0,3,11,31063,31674,30713,6600.050100076999,6606.179496032
# search time: 6600.050s
# total time: 6606.408s
c034,1,3,1,1168935,1168937,1092273,600.000422599,600.294144743
c034,1,3,2,267409,269554,262223,1200.0050492330001,1200.525654617
c034,1,3,3,145573,146635,142164,1800.006336047,1800.713202597
c034,1,3,4,96186,96983,94212,2400.009955529,2400.897415462
c034,1,3,5,84835,85551,82866,3000.014255655,3001.106921759
c034,1,3,6,63537,64334,62498,3600.025300864,3601.372977599
c034,1,3,7,52551,53335,51812,4200.033470687,4201.657159726
c034,1,3,8,44747,45519,44174,4800.042379697999,4801.84987103
c034,1,3,9,33672,34455,33508,5400.048102446,5402.051906702
c034,1,3,10,30843,31595,30628,6000.063369838,6002.217705943
c034,1,3,11,31812,32457,31524,6600.063592552,6602.437905268
# search time: 6600.064s
# total time: 13209.167s
c034,2,3,1,1234267,1234269,1137144,600.000344752,600.238027217
c034,2,3,2,280598,282748,274744,1200.0061353830001,1200.401838755
c034,2,3,3,152882,153834,149497,1800.00812524,1800.529456754
c034,2,3,4,98002,98828,95922,2400.010969466,2400.629900826
c034,2,3,5,83079,83783,81301,3000.014661012,3000.767745895
c034,2,3,6,62926,63790,62073,3600.016098495,3600.905859348
c034,2,3,7,51767,52515,51138,4200.025492609,4201.120401979
c034,2,3,8,44734,45478,44068,4800.02594416,4801.266823151
c034,2,3,9,33549,34401,33378,5400.038893727,5401.436613535
c034,2,3,10,30644,31351,30366,6000.057355303,6001.541609746
c034,2,3,11,31475,32225,31270,6600.0599568239995,6601.689399901
# search time: 6600.060s
# total time: 19811.209s
c034,3,3,1,1281529,1281531,1183426,600.000167011,600.233999547
c034,3,3,2,283853,285874,277898,1200.00090361,1200.352363241
c034,3,3,3,152381,153260,148547,1800.003024482,1800.459065145
c034,3,3,4,96934,97672,94853,2400.004620283,2400.556014329
c034,3,3,5,83053,83786,81106,3000.0121778149996,3000.685335719
c034,3,3,6,63101,63884,62092,3600.0147490279996,3600.825358603
c034,3,3,7,52313,53165,51389,4200.036875377999,4201.000120111
c034,3,3,8,46701,47328,45715,4800.040443532999,4801.145772256
c034,3,3,9,35040,35850,34891,5400.057814937999,5401.256094197
c034,3,3,10,32109,32828,31830,6000.075252918999,6001.35847342
c034,3,3,11,33527,34194,33168,6600.097483167999,6601.536730806
# search time: 6600.097s
# total time: 26413.047s
c034,4,3,1,1158711,1158713,1088063,600.000410021,600.195456494
c034,4,3,2,293678,295688,287704,1200.002159352,1200.366507376
c034,4,3,3,160764,161747,156706,1800.003756399,1800.458215151
c034,4,3,4,103279,104083,101169,2400.006788783,2400.532055603
c034,4,3,5,87679,88440,85660,3000.011122821,3000.63470708
c034,4,3,6,65679,66466,64179,3600.015832512,3600.748565896
c034,4,3,7,55269,56068,54543,4200.020589812,4200.850807066
c034,4,3,8,47023,47796,46322,4800.021741466,4800.968044794
c034,4,3,9,34952,35887,34922,5400.03173081,5401.107474876
c034,4,3,10,32944,33758,32704,6000.049389692,6001.22896505
c034,4,3,11,32692,33396,32507,6600.052420626,6601.336970445
# search time: 6600.052s
# total time: 33014.701s
