    Finished release [optimized] target(s) in 0.03s
     Running `/home/rule/library/list-routine-learning-rs/target/release/simulation small_simulation.toml 5 /home/rule/library/list-routines-model-comparison/waves/3_1/json/c035_2.json out/1595515534/results/c035_2_best.csv out/1595515534/results/c035_2_predictions.csv out/1595515534/results/c035_2_all.csv /dev/null`
# loaded parameters
# loaded lexicon
#   C/0: list → list
#   TRUE/0: bool
#   FALSE/0: bool
#   NIL/0: list
#   CONS/0: nat → list → list
#   0/0: digit
#   1/0: digit
#   2/0: digit
#   3/0: digit
#   4/0: digit
#   5/0: digit
#   6/0: digit
#   7/0: digit
#   8/0: digit
#   9/0: digit
#   DIGIT/0: digit → nat
#   NAN/0: nat
#   ./2: ∀t1. ∀t2. (t1 → t2) → t1 → t2
#   EMPTY/0: list → bool
#   EQUAL/0: ∀t0. t0 → t0 → bool
#   HEAD/0: list → nat
#   IF/0: ∀t0. bool → t0 → t0 → t0
#   TAIL/0: list → list
#   +/0: nat → nat → nat
#   -/0: nat → nat → nat
#   >/0: nat → nat → bool
# loaded background
# loaded data
#   Datum { i: IntList([4, 3, 6, 4]), o: IntList([4, 6, 3, 4]) }
#   Datum { i: IntList([0, 5, 5, 5, 9, 0, 9, 0]), o: IntList([5, 5, 5, 0, 9, 0, 9, 0]) }
#   Datum { i: IntList([7, 1, 7, 7, 1, 7, 1]), o: IntList([7, 7, 1, 7, 1, 7, 1]) }
#   Datum { i: IntList([3, 3, 3, 2, 2, 6]), o: IntList([2, 3, 3, 3, 2, 6]) }
#   Datum { i: IntList([1, 8, 8, 8, 1]), o: IntList([8, 8, 8, 1, 1]) }
#   Datum { i: IntList([3, 6, 7, 3, 1, 0, 6]), o: IntList([3, 7, 6, 3, 1, 0, 6]) }
#   Datum { i: IntList([3, 7, 7, 1, 2, 9, 0, 4, 9]), o: IntList([1, 7, 7, 3, 2, 9, 0, 4, 9]) }
#   Datum { i: IntList([9, 9, 8, 9, 8]), o: IntList([9, 8, 9, 9, 8]) }
#   Datum { i: IntList([2, 2, 2, 8, 8, 2]), o: IntList([8, 2, 2, 2, 8, 2]) }
#   Datum { i: IntList([5, 5, 4, 5, 6, 6, 4, 4, 4, 6]), o: IntList([5, 4, 5, 5, 6, 6, 4, 4, 4, 6]) }
#   Datum { i: IntList([0, 5, 0, 0]), o: IntList([0, 0, 5, 0]) }
# searching
problem,run,order,trial,steps,tree,hypotheses,search_time,total_time
c035,0,2,1,1246802,1246804,1165324,600.000085792,601.933779897
c035,0,2,2,335386,337374,328065,1200.008393599,1202.4711362
c035,0,2,3,163942,165016,158748,1800.0086742390001,1802.770553328
c035,0,2,4,118496,119419,114442,2400.010692398,2403.092936746
c035,0,2,5,82606,83552,80894,3000.0135434880003,3003.573156252
c035,0,2,6,71192,72110,69838,3600.018496386,3604.105697566
c035,0,2,7,59497,60343,58415,4200.022302529,4204.468800496
c035,0,2,8,42426,43220,41916,4800.032415473,4805.001889371
c035,0,2,9,41173,41890,40607,5400.045981355999,5405.528383793
c035,0,2,10,38639,39254,38012,6000.051370910999,6005.989740632
c035,0,2,11,30367,31041,30155,6600.071891972999,6606.467436955
# search time: 6600.072s
# total time: 6606.775s
c035,1,2,1,1267245,1267247,1185500,600.000764367,600.338990046
c035,1,2,2,337876,338514,328624,1200.00076807,1200.557158541
c035,1,2,3,163007,164156,158031,1800.004352483,1800.710564775
c035,1,2,4,114542,115639,111139,2400.005833075,2400.859772262
c035,1,2,5,79389,80293,77603,3000.007347671,3001.137036839
c035,1,2,6,69957,70880,68584,3600.01220684,3601.38428992
c035,1,2,7,58503,59335,57642,4200.015440928,4201.595632454
c035,1,2,8,46912,47695,46258,4800.017794228001,4801.84260563
c035,1,2,9,42030,42822,41550,5400.020286610001,5402.076123753
c035,1,2,10,37867,38610,37382,6000.0256667660005,6002.306714469
c035,1,2,11,29627,30346,29474,6600.037724957001,6602.562354269
# search time: 6600.038s
# total time: 13209.559s
c035,2,2,1,1281104,1281106,1185225,600.000463766,600.259712828
c035,2,2,2,332589,334757,325351,1200.000624171,1200.425868835
c035,2,2,3,166761,167926,162865,1800.009013433,1800.552678167
c035,2,2,4,115921,116858,111753,2400.013725581,2400.67345497
c035,2,2,5,81004,81906,79268,3000.014993655,3000.86433656
c035,2,2,6,70093,70960,68720,3600.026353096,3601.015320045
c035,2,2,7,58824,59630,57791,4200.029054531,4201.171988094
c035,2,2,8,46825,47630,46246,4800.04075259,4801.327334836
c035,2,2,9,42522,43222,41983,5400.042105562,5401.467628243
c035,2,2,10,37804,38546,37315,6000.050047636,6001.652412123
c035,2,2,11,29561,30298,29452,6600.051204788,6601.861253606
# search time: 6600.051s
# total time: 19811.749s
c035,3,2,1,1268492,1268494,1163822,600.00034316,600.226090154
c035,3,2,2,332375,334292,324952,1200.000598948,1200.353706066
