problem,run,order,trial,time,count,lprior,llikelihood,lposterior,trs
"c042",0,1,1,0.000037693,1,-1.3862943611198906,-inf,-inf,""
"c042",0,1,1,0.005026133,15,-11.57488104387042,0,-11.57488104387042,"C = TAIL;"
"c042",0,1,2,601.323899048,944705,-1.6739764335716716,-inf,-inf,""
"c042",0,1,2,601.680963452,944713,-23.80696549119003,-21.67924252795103,-45.48620801914106,"EMPTY = .(EQUAL NIL); C = TAIL;"
"c042",0,1,2,601.6818806800001,944715,-11.994220641196161,-21.67924252795103,-33.67346316914719,"C = TAIL;"
"c042",0,1,2,601.785968334,944887,-11.897733726484866,-21.67924252795103,-33.57697625443589,"C = TAIL;"
"c042",0,1,2,602.28150902,945627,-18.64269578187082,-12.094233898452629,-30.73692968032345,"C = .(.(IF TRUE) NIL);"
"c042",0,1,2,602.5628538760001,946010,-18.642695037317402,-12.094233898452629,-30.73692893577003,"C = .(.(IF TRUE) NIL);"
"c042",0,1,2,602.863909304,946478,-18.64266562727055,-12.094233898452629,-30.736899525723178,"C = .(.(IF TRUE) NIL);"
"c042",0,1,3,1200.7225313850001,1285025,-1.6739764335716716,-inf,-inf,""
"c042",0,1,3,1201.141512563,1285029,-34.83389198275188,-0.3481577642125384,-35.18204974696442,".(C v0_) = .(.(CONS .(DIGIT 5)) .(.(CONS .(DIGIT 2)) NIL));"
"c042",0,1,3,1201.181756593,1285045,-34.78259870086815,-0.3481577642125384,-35.13075646508069,".(C v0_) = .(.(CONS .(DIGIT 5)) .(.(CONS .(DIGIT 2)) NIL));"
"c042",0,1,3,1203.445779048,1286053,-34.18953508514766,-0.3481577642125384,-34.5376928493602,".(C v0_) = .(.(CONS .(DIGIT 5)) .(.(CONS .(DIGIT 2)) NIL));"
"c042",0,1,3,1203.4593739860002,1286062,-33.37860494187029,-0.3481577642125384,-33.72676270608283,".(C v0_) = .(.(CONS .(DIGIT 5)) .(.(CONS .(DIGIT 2)) NIL));"
"c042",0,1,3,1203.505830559,1286089,-30.73954766643827,-0.3481577642125384,-31.087705430650807,".(C v0_) = .(.(CONS .(DIGIT 5)) .(.(CONS .(DIGIT 2)) NIL));"
"c042",0,1,4,1800.617485645,1507437,-1.6739764335716716,-inf,-inf,""
"c042",0,1,4,1800.737919172,1507439,-31.14501277246246,-0.680277419805547,-31.825290192268007,".(C v0_) = .(.(CONS .(DIGIT 5)) .(.(CONS .(DIGIT 2)) NIL));"
