    Finished release [optimized] target(s) in 0.03s
     Running `/home/rule/library/list-routine-learning-rs/target/release/simulation small_simulation.toml 5 /home/rule/library/list-routines-model-comparison/waves/3_1/json/c047_3.json out/1595515609/results/c047_3_best.csv out/1595515609/results/c047_3_predictions.csv out/1595515609/results/c047_3_all.csv /dev/null`
# loaded parameters
# loaded lexicon
#   C/0: list → list
#   TRUE/0: bool
#   FALSE/0: bool
#   NIL/0: list
#   CONS/0: nat → list → list
#   0/0: digit
#   1/0: digit
#   2/0: digit
#   3/0: digit
#   4/0: digit
#   5/0: digit
#   6/0: digit
#   7/0: digit
#   8/0: digit
#   9/0: digit
#   DIGIT/0: digit → nat
#   NAN/0: nat
#   ./2: ∀t1. ∀t2. (t1 → t2) → t1 → t2
#   EMPTY/0: list → bool
#   EQUAL/0: ∀t0. t0 → t0 → bool
#   HEAD/0: list → nat
#   IF/0: ∀t0. bool → t0 → t0 → t0
#   TAIL/0: list → list
#   +/0: nat → nat → nat
#   -/0: nat → nat → nat
#   >/0: nat → nat → bool
# loaded background
# loaded data
#   Datum { i: IntList([9, 4, 8]), o: IntList([9, 6, 3, 8, 5, 9, 4, 8]) }
#   Datum { i: IntList([4, 0, 7, 2, 1]), o: IntList([9, 6, 3, 8, 5, 4, 0, 7, 2, 1]) }
#   Datum { i: IntList([4, 6, 7, 0, 7, 7, 1, 9]), o: IntList([9, 6, 3, 8, 5, 4, 6, 7, 0, 7, 7, 1, 9]) }
#   Datum { i: IntList([9, 0]), o: IntList([9, 6, 3, 8, 5, 9, 0]) }
#   Datum { i: IntList([5, 2, 0, 2, 4, 0, 3, 2, 4]), o: IntList([9, 6, 3, 8, 5, 5, 2, 0, 2, 4, 0, 3, 2, 4]) }
#   Datum { i: IntList([2, 2, 7, 0, 6, 2, 2, 6]), o: IntList([9, 6, 3, 8, 5, 2, 2, 7, 0, 6, 2, 2, 6]) }
#   Datum { i: IntList([]), o: IntList([9, 6, 3, 8, 5]) }
#   Datum { i: IntList([0, 3, 4, 5, 0, 0, 5]), o: IntList([9, 6, 3, 8, 5, 0, 3, 4, 5, 0, 0, 5]) }
#   Datum { i: IntList([1, 1, 1, 1, 1, 1]), o: IntList([9, 6, 3, 8, 5, 1, 1, 1, 1, 1, 1]) }
#   Datum { i: IntList([6]), o: IntList([9, 6, 3, 8, 5, 6]) }
#   Datum { i: IntList([8, 3, 7, 9]), o: IntList([9, 6, 3, 8, 5, 8, 3, 7, 9]) }
# searching
problem,run,order,trial,steps,tree,hypotheses,search_time,total_time
c047,0,3,1,1173871,1173873,1073367,600.000127946,602.151125955
c047,0,3,2,190638,191654,185996,1200.002558789,1202.681906375
c047,0,3,3,106711,107623,103155,1800.006880732,1803.030933605
c047,0,3,4,65534,66495,64794,2400.0121624189997,2403.356213432
c047,0,3,5,61661,62359,60230,3000.018231352,3003.668475835
c047,0,3,6,44819,45650,43878,3600.032194699,3604.007684016
c047,0,3,7,31778,32441,31656,4200.0675420729995,4204.423081294
c047,0,3,8,31207,31799,31056,4800.069509731,4804.69303388
c047,0,3,9,25930,26639,26028,5400.07361606,5405.001054912
c047,0,3,10,22643,23147,22619,6000.08641034,6005.274614671
c047,0,3,11,21410,22122,21597,6600.142997426,6605.743650646
# search time: 6600.143s
# total time: 6605.935s
c047,1,3,1,1080814,1080816,1008109,600.000178915,600.322296482
c047,1,3,2,183362,185244,179962,1200.002889724,1200.565963736
c047,1,3,3,100427,101450,96294,1800.00723065,1800.73163644
c047,1,3,4,66146,67027,65300,2400.014291882,2400.885095882
c047,1,3,5,58679,59566,57480,3000.018105136,3001.062199118
c047,1,3,6,42458,43149,41678,3600.023855869,3601.222422868
c047,1,3,7,30084,30827,30079,4200.036062667999,4201.393268765
c047,1,3,8,30348,31063,30358,4800.037622886999,4801.533439892
c047,1,3,9,25588,26286,25716,5400.044783077999,5401.664308573
c047,1,3,10,22123,22711,22245,6000.05567026,6001.848485206
c047,1,3,11,21309,21945,21475,6600.0709250479995,6601.983526536
# search time: 6600.071s
# total time: 13208.190s
c047,2,3,1,1125390,1125392,1036455,600.000297397,600.245437135
c047,2,3,2,184327,186343,180896,1200.001128986,1200.431832015
c047,2,3,3,104413,105432,101950,1800.003301282,1800.543554392
c047,2,3,4,64064,64974,63263,2400.012968354,2400.654303506
c047,2,3,5,58971,59607,57639,3000.019355522,3000.763109761
c047,2,3,6,42199,42914,41543,3600.025598325,3600.880624706
c047,2,3,7,30597,31264,30450,4200.039479591,4200.998427908
c047,2,3,8,30106,30782,30104,4800.059305686999,4801.126385508
c047,2,3,9,25227,25852,25336,5400.078776285,5401.263441803
c047,2,3,10,21986,22559,22102,6000.079771977999,6001.402056081
c047,2,3,11,21277,21835,21362,6600.086793154999,6601.498955312
# search time: 6600.087s
# total time: 19809.999s
c047,3,3,1,1099182,1099184,1009533,600.000291689,600.204836063
c047,3,3,2,180090,181208,175891,1200.003537782,1200.351144699
c047,3,3,3,102822,103644,100028,1800.005026929,1800.448305095
c047,3,3,4,64645,65590,63728,2400.009026578,2400.548751744
