    Finished release [optimized] target(s) in 0.03s
     Running `/home/rule/library/list-routine-learning-rs/target/release/simulation small_simulation.toml 5 /home/rule/library/list-routines-model-comparison/waves/3_1/json/c057_2.json out/1595515609/results/c057_2_best.csv out/1595515609/results/c057_2_predictions.csv out/1595515609/results/c057_2_all.csv /dev/null`
# loaded parameters
# loaded lexicon
#   C/0: list → list
#   TRUE/0: bool
#   FALSE/0: bool
#   NIL/0: list
#   CONS/0: nat → list → list
#   0/0: digit
#   1/0: digit
#   2/0: digit
#   3/0: digit
#   4/0: digit
#   5/0: digit
#   6/0: digit
#   7/0: digit
#   8/0: digit
#   9/0: digit
#   DIGIT/0: digit → nat
#   NAN/0: nat
#   ./2: ∀t1. ∀t2. (t1 → t2) → t1 → t2
#   EMPTY/0: list → bool
#   EQUAL/0: ∀t0. t0 → t0 → bool
#   HEAD/0: list → nat
#   IF/0: ∀t0. bool → t0 → t0 → t0
#   TAIL/0: list → list
#   +/0: nat → nat → nat
#   -/0: nat → nat → nat
#   >/0: nat → nat → bool
# loaded background
# loaded data
#   Datum { i: IntList([1, 8, 0, 8, 1, 6, 5]), o: IntList([1, 8, 0, 8, 1, 6, 4, 5]) }
#   Datum { i: IntList([2, 3, 9, 7, 6, 0, 0, 8]), o: IntList([2, 3, 9, 7, 6, 0, 4, 0, 8]) }
#   Datum { i: IntList([3, 9, 9, 3, 3, 9, 3, 9, 3, 3]), o: IntList([3, 9, 9, 3, 3, 9, 4, 3, 9, 3, 3]) }
#   Datum { i: IntList([2, 5, 6, 3, 2, 9, 2, 0, 0, 0]), o: IntList([2, 5, 6, 3, 2, 9, 4, 2, 0, 0, 0]) }
#   Datum { i: IntList([5, 9, 3, 7, 2, 1, 6, 0, 8]), o: IntList([5, 9, 3, 7, 2, 1, 4, 6, 0, 8]) }
#   Datum { i: IntList([3, 3, 3, 3, 3, 3, 3]), o: IntList([3, 3, 3, 3, 3, 3, 4, 3]) }
#   Datum { i: IntList([2, 9, 9, 2, 9, 9, 2, 2, 2]), o: IntList([2, 9, 9, 2, 9, 9, 4, 2, 2, 2]) }
#   Datum { i: IntList([0, 4, 1, 1, 2, 4, 0, 0, 0]), o: IntList([0, 4, 1, 1, 2, 4, 4, 0, 0, 0]) }
#   Datum { i: IntList([4, 5, 4, 5, 5, 9, 5, 4]), o: IntList([4, 5, 4, 5, 5, 9, 4, 5, 4]) }
#   Datum { i: IntList([6, 6, 3, 3, 6, 7, 3, 7, 3, 3]), o: IntList([6, 6, 3, 3, 6, 7, 4, 3, 7, 3, 3]) }
#   Datum { i: IntList([2, 7, 8, 4, 0, 6, 5, 1]), o: IntList([2, 7, 8, 4, 0, 6, 4, 5, 1]) }
# searching
problem,run,order,trial,steps,tree,hypotheses,search_time,total_time
c057,0,2,1,1194013,1194015,1088017,600.000203368,601.888199754
c057,0,2,2,207548,209659,203952,1200.000554445,1202.526614108
c057,0,2,3,111361,112277,107943,1800.003600301,1802.89884479
c057,0,2,4,59994,61050,58822,2400.022806369,2403.622293485
c057,0,2,5,49778,50625,48896,3000.026747069,3004.155339288
c057,0,2,6,39908,40706,39599,3600.0270649100003,3604.761039245
c057,0,2,7,36869,37496,36488,4200.054825897,4205.371235632
c057,0,2,8,31213,31885,31015,4800.065796784,4806.208511147
c057,0,2,9,25704,26526,25755,5400.068079498,5406.997834224
c057,0,2,10,22827,23396,22676,6000.0881476899995,6007.750549496
c057,0,2,11,20870,21614,20941,6600.095791899999,6608.56437723
# search time: 6600.096s
# total time: 6608.756s
c057,1,2,1,1172974,1172976,1087445,600.000106173,600.305058242
c057,1,2,2,208611,210042,204580,1200.000679869,1200.579054223
c057,1,2,3,110854,111828,107388,1800.002687171,1800.736950482
c057,1,2,4,59788,60736,59122,2400.003006933,2400.994913531
c057,1,2,5,48877,49685,48452,3000.00680092,3001.282073501
c057,1,2,6,39681,40415,39384,3600.011148813,3601.639365989
c057,1,2,7,36890,37604,36614,4200.017493049,4202.014156803
c057,1,2,8,30674,31445,30646,4800.027438794,4802.397329927
c057,1,2,9,25405,26103,25409,5400.057307327,5402.693171753
c057,1,2,10,22552,23220,22532,6000.075506006,6002.923811144
c057,1,2,11,20686,21304,20693,6600.084417107,6603.292162898
# search time: 6600.084s
# total time: 13212.322s
c057,2,2,1,1234238,1234240,1130835,600.000201744,600.245795225
c057,2,2,2,209774,211861,206045,1200.0034342640001,1200.42087923
c057,2,2,3,109672,110814,106342,1800.0091217660001,1800.542166199
c057,2,2,4,60529,61541,59884,2400.018017671,2400.810966145
c057,2,2,5,49483,50233,48967,3000.032809392,3001.025007712
c057,2,2,6,39585,40312,39360,3600.0383016700002,3601.185371026
c057,2,2,7,36026,36752,35849,4200.05101453,4201.397793839
c057,2,2,8,30291,31028,30251,4800.052294284001,4801.595516088
c057,2,2,9,25281,25953,25233,5400.063427243001,5401.84895962
c057,2,2,10,22168,22842,22191,6000.0780369,6002.075070928
c057,2,2,11,20514,21233,20579,6600.084661226,6602.292085378
# search time: 6600.085s
# total time: 19814.889s
c057,3,2,1,1199660,1199662,1102508,600.00016481,600.196278217
c057,3,2,2,210027,212126,206273,1200.000521934,1200.320394044
c057,3,2,3,111192,111978,107897,1800.004546392,1800.419368239
c057,3,2,4,60018,60869,59082,2400.005327563,2400.564711229
c057,3,2,5,48564,49324,48075,3000.010248194,3000.691923387
c057,3,2,6,39273,40003,39001,3600.0218746399996,3600.86118166
c057,3,2,7,35946,36673,35773,4200.027636051,4201.023745104
c057,3,2,8,30596,31249,30397,4800.062433106,4801.222179171
c057,3,2,9,24849,25629,25045,5400.116505846,5401.513233837
c057,3,2,10,22123,22797,22164,6000.117821181,6001.685982379
c057,3,2,11,20278,20918,20288,6600.128920237,6601.877683402
# search time: 6600.129s
# total time: 26417.037s
c057,4,2,1,1168215,1168217,1093581,600.000539109,600.188990579
c057,4,2,2,209651,211888,205824,1200.002711716,1200.296416138
c057,4,2,3,112711,113818,110034,1800.005226028,1800.38086038
c057,4,2,4,60730,61673,59873,2400.0179212069997,2400.532942534
c057,4,2,5,48998,49875,48623,3000.018545562,3000.663596482
c057,4,2,6,38963,39750,38779,3600.04212699,3600.797890532
c057,4,2,7,36186,36933,36031,4200.070670508,4200.97510004
c057,4,2,8,30312,31049,30289,4800.0834194280005,4801.133975063
c057,4,2,9,24918,25589,24925,5400.087659628,5401.252525359
c057,4,2,10,22417,23113,22450,6000.089056762001,6001.394051988
c057,4,2,11,20361,21037,20452,6600.106397568001,6601.521819476
# search time: 6600.106s
# total time: 33018.834s
