    Finished release [optimized + debuginfo] target(s) in 0.04s
     Running `/home/rule/library/list-routine-learning-rs/target/release/simulation small_simulation.toml 5 /home/rule/library/list-routines-model-comparison/waves/3_1/json/c063_3.json out/1595515936/results/c063_3_best.csv out/1595515936/results/c063_3_predictions.csv out/1595515936/results/c063_3_all.csv /dev/null`
# loaded parameters
# loaded lexicon
#   C/0: list → list
#   TRUE/0: bool
#   FALSE/0: bool
#   NIL/0: list
#   CONS/0: nat → list → list
#   0/0: digit
#   1/0: digit
#   2/0: digit
#   3/0: digit
#   4/0: digit
#   5/0: digit
#   6/0: digit
#   7/0: digit
#   8/0: digit
#   9/0: digit
#   DIGIT/0: digit → nat
#   NAN/0: nat
#   ./2: ∀t1. ∀t2. (t1 → t2) → t1 → t2
#   EMPTY/0: list → bool
#   EQUAL/0: ∀t0. t0 → t0 → bool
#   HEAD/0: list → nat
#   IF/0: ∀t0. bool → t0 → t0 → t0
#   TAIL/0: list → list
#   +/0: nat → nat → nat
#   -/0: nat → nat → nat
#   >/0: nat → nat → bool
# loaded background
# loaded data
#   Datum { i: IntList([0, 2, 0]), o: IntList([2, 0]) }
#   Datum { i: IntList([3, 8, 4, 4]), o: IntList([]) }
#   Datum { i: IntList([0, 5, 0, 5, 5, 7]), o: IntList([5, 0, 5, 5, 7]) }
#   Datum { i: IntList([2, 6, 2, 6, 6, 6]), o: IntList([6, 6, 6]) }
#   Datum { i: IntList([1, 7, 9, 9, 8, 4, 1, 7, 8]), o: IntList([9, 9, 8, 4, 1, 7, 8]) }
#   Datum { i: IntList([2, 2, 2, 2]), o: IntList([2]) }
#   Datum { i: IntList([3, 3, 3, 3, 3, 3, 3, 3, 3, 3]), o: IntList([3, 3, 3, 3, 3, 3]) }
#   Datum { i: IntList([4, 1, 1, 4, 1, 1, 3]), o: IntList([1, 3]) }
#   Datum { i: IntList([3, 8, 8, 7, 7, 7, 8, 8]), o: IntList([7, 7, 8, 8]) }
#   Datum { i: IntList([0, 3, 9, 4, 6, 6, 7, 8, 2]), o: IntList([3, 9, 4, 6, 6, 7, 8, 2]) }
#   Datum { i: IntList([0, 9, 7, 1, 1, 5, 4, 3, 6, 6]), o: IntList([9, 7, 1, 1, 5, 4, 3, 6, 6]) }
# searching
problem,run,order,trial,steps,tree,hypotheses,search_time,total_time
c063,0,3,1,1247058,1247060,1149470,600.000184423,601.971348184
c063,0,3,2,588901,589752,569178,1200.000856444,1202.355194977
c063,0,3,3,432580,434046,413289,1800.001234114,1802.705340201
c063,0,3,4,208990,210012,200161,2400.0040559950003,2402.959924498
c063,0,3,5,135223,136173,130956,3000.0042013990005,3003.188309131
c063,0,3,6,87620,88513,85063,3600.0129228430005,3603.417862888
c063,0,3,7,79937,80738,77521,4200.012990947001,4203.622221815
c063,0,3,8,60531,61260,59039,4800.016974424001,4803.886663879
c063,0,3,9,53437,54235,52591,5400.020188083001,5404.15760067
c063,0,3,10,46429,47214,46011,6000.032131723001,6004.471719247
c063,0,3,11,44571,45397,44557,6600.035200338001,6604.731689349
# search time: 6600.035s
# total time: 6605.057s
c063,1,3,1,1298557,1298559,1216843,600.000005849,600.292089304
c063,1,3,2,618728,620893,591761,1200.000622368,1200.449473232
c063,1,3,3,434613,436510,415504,1800.0017660419999,1800.615346634
c063,1,3,4,209700,210785,200680,2400.004323758,2400.796679033
c063,1,3,5,139134,140012,134732,3000.005710712,3000.961642456
c063,1,3,6,90088,90853,87310,3600.009878385,3601.072158424
c063,1,3,7,81981,82724,79410,4200.010513227,4201.192198816
c063,1,3,8,62508,63273,61039,4800.016128432,4801.340524989
c063,1,3,9,55384,56180,54480,5400.022143766,5401.467384809
c063,1,3,10,48747,49544,48319,6000.024445395,6001.660769129
c063,1,3,11,45663,46374,45468,6600.029878669,6601.829484703
# search time: 6600.030s
# total time: 13207.131s
c063,2,3,1,1328880,1328882,1229488,600.001460901,600.28390623
c063,2,3,2,608921,611170,586363,1200.001705164,1200.430047804
c063,2,3,3,443674,445360,424097,1800.002308011,1800.566349708
c063,2,3,4,217085,218134,207528,2400.005622968,2400.666440411
c063,2,3,5,132245,133183,128169,3000.0073635969998,3000.835902299
c063,2,3,6,88709,89516,85965,3600.0125300729997,3600.950694834
c063,2,3,7,81930,82677,79502,4200.013504146,4201.040292009
c063,2,3,8,62339,63141,60994,4800.0149525199995,4801.135769575
c063,2,3,9,55263,56012,54255,5400.0206837939995,5401.260132694
c063,2,3,10,47785,48618,47373,6000.028252046999,6001.380502871
c063,2,3,11,45535,46238,45356,6600.038087325999,6601.496905149
# search time: 6600.038s
# total time: 19809.031s
c063,3,3,1,1276154,1276156,1190455,600.00296444,600.204746809
c063,3,3,2,617889,619816,595825,1200.0035544070001,1200.357031569
c063,3,3,3,442761,444683,423320,1800.00377868,1800.474084008
c063,3,3,4,214321,215425,205192,2400.005456723,2400.566729055
c063,3,3,5,138580,139517,134181,3000.007914751,3000.641646144
c063,3,3,6,89470,90309,86785,3600.016780236,3600.719271583
c063,3,3,7,81803,82608,79270,4200.023787662,4200.799075308
c063,3,3,8,62401,62918,60672,4800.031093113001,4800.881440996
c063,3,3,9,53380,54132,52373,5400.037150431001,5400.983275439
c063,3,3,10,46782,47542,46337,6000.037916036001,6001.076854684
c063,3,3,11,44096,44721,43822,6600.052163891,6601.170994611
# search time: 6600.052s
# total time: 26410.760s
c063,4,3,1,1320405,1320407,1211177,600.000492532,600.208912648
c063,4,3,2,645797,647903,605917,1200.002538088,1200.324958958
c063,4,3,3,437736,439770,419057,1800.002922942,1800.57607463
c063,4,3,4,203501,204456,194951,2400.005278792,2400.651652386
c063,4,3,5,133100,133910,128929,3000.0080080919997,3000.721739825
c063,4,3,6,86008,86780,83421,3600.0101927899996,3600.780287434
c063,4,3,7,78000,78773,75645,4200.015835128,4200.8557716
c063,4,3,8,59007,59722,57622,4800.028083429,4800.918174327
c063,4,3,9,52486,53173,51545,5400.035601668,5400.986448881
c063,4,3,10,45328,45986,44892,6000.036035719,6001.073838894
c063,4,3,11,43623,44270,43384,6600.042289822,6601.15610605
# search time: 6600.042s
# total time: 33012.306s
