    Finished release [optimized + debuginfo] target(s) in 0.03s
     Running `/home/rule/library/list-routine-learning-rs/target/release/simulation small_simulation.toml 5 /home/rule/library/list-routines-model-comparison/waves/3_1/json/c064_3.json out/1595515936/results/c064_3_best.csv out/1595515936/results/c064_3_predictions.csv out/1595515936/results/c064_3_all.csv /dev/null`
# loaded parameters
# loaded lexicon
#   C/0: list → list
#   TRUE/0: bool
#   FALSE/0: bool
#   NIL/0: list
#   CONS/0: nat → list → list
#   0/0: digit
#   1/0: digit
#   2/0: digit
#   3/0: digit
#   4/0: digit
#   5/0: digit
#   6/0: digit
#   7/0: digit
#   8/0: digit
#   9/0: digit
#   DIGIT/0: digit → nat
#   NAN/0: nat
#   ./2: ∀t1. ∀t2. (t1 → t2) → t1 → t2
#   EMPTY/0: list → bool
#   EQUAL/0: ∀t0. t0 → t0 → bool
#   HEAD/0: list → nat
#   IF/0: ∀t0. bool → t0 → t0 → t0
#   TAIL/0: list → list
#   +/0: nat → nat → nat
#   -/0: nat → nat → nat
#   >/0: nat → nat → bool
# loaded background
# loaded data
#   Datum { i: IntList([3, 8, 3, 8, 3]), o: IntList([8, 3, 8]) }
#   Datum { i: IntList([6, 1, 9, 5, 0, 2, 3, 7]), o: IntList([1, 9, 5, 0, 2, 3]) }
#   Datum { i: IntList([4, 9, 4, 9, 4, 9, 9, 9, 9, 9]), o: IntList([9, 4, 9, 4, 9, 9, 9, 9]) }
#   Datum { i: IntList([2, 0, 3, 1, 4, 8]), o: IntList([0, 3, 1, 4]) }
#   Datum { i: IntList([2, 0, 4, 5, 7, 9, 8]), o: IntList([0, 4, 5, 7, 9]) }
#   Datum { i: IntList([3, 0, 3]), o: IntList([0]) }
#   Datum { i: IntList([0, 2]), o: IntList([]) }
#   Datum { i: IntList([5, 7, 7, 9, 8, 1, 4, 0, 6]), o: IntList([7, 7, 9, 8, 1, 4, 0]) }
#   Datum { i: IntList([4, 5, 0, 0]), o: IntList([5, 0]) }
#   Datum { i: IntList([6, 6, 5, 8, 5, 6, 5, 8, 4, 1]), o: IntList([6, 5, 8, 5, 6, 5, 8, 4]) }
#   Datum { i: IntList([2, 1, 1, 2, 2, 7, 2, 7]), o: IntList([1, 1, 2, 2, 7, 2]) }
# searching
problem,run,order,trial,steps,tree,hypotheses,search_time,total_time
c064,0,3,1,1284671,1284673,1182023,600.00079941,601.951909267
c064,0,3,2,375256,377386,367362,1200.005589805,1202.570335861
c064,0,3,3,152539,153696,152517,1800.00744987,1802.957071818
c064,0,3,4,92306,93057,92349,2400.008223207,2403.291903984
c064,0,3,5,75188,75893,75384,3000.012944396,3003.591534195
c064,0,3,6,60526,61262,60956,3600.020705609,3603.923201197
c064,0,3,7,54251,54729,54467,4200.026485001,4204.253064887
c064,0,3,8,51918,52532,51613,4800.030412614,4804.66098286
c064,0,3,9,42714,43470,42082,5400.044779601,5405.047766527
c064,0,3,10,42186,42917,41439,6000.045711948001,6005.385881184
c064,0,3,11,33477,34336,33269,6600.055470583001,6605.766037709
# search time: 6600.055s
# total time: 6606.074s
c064,1,3,1,1281283,1281285,1196024,600.00100286,600.360148809
c064,1,3,2,365731,367859,357837,1200.0026368640001,1200.692127545
c064,1,3,3,147278,148348,147167,1800.005016568,1800.948854594
c064,1,3,4,91836,92518,91863,2400.005899782,2401.144628006
c064,1,3,5,74211,74969,74504,3000.010484629,3001.346881625
c064,1,3,6,59295,60041,59768,3600.017388716,3601.504681661
c064,1,3,7,53706,54405,54062,4200.018151077,4201.655371976
c064,1,3,8,50971,51709,50785,4800.026915908,4801.882810101
c064,1,3,9,42410,43218,41847,5400.03865624,5402.083718821
c064,1,3,10,41053,41827,40395,6000.040441242,6002.236516105
c064,1,3,11,32868,33635,32581,6600.045373237001,6602.414959288
# search time: 6600.045s
# total time: 13208.731s
c064,2,3,1,1314078,1314080,1214496,600.000237584,600.345381072
c064,2,3,2,375493,376512,366184,1200.002129078,1200.567616389
c064,2,3,3,146873,148003,146889,1800.002723715,1800.71836942
c064,2,3,4,91122,91857,91191,2400.0044560300003,2400.835226099
c064,2,3,5,74227,75082,74579,3000.005011169,3000.934828317
c064,2,3,6,58647,59430,59105,3600.0064677630003,3601.049387588
c064,2,3,7,53502,54196,53824,4200.007899293,4201.158110333
c064,2,3,8,50550,51279,50363,4800.011101211,4801.284934904
c064,2,3,9,41473,42260,40907,5400.021340667,5401.401567067
c064,2,3,10,40689,41392,40012,6000.022427716,6001.512827606
c064,2,3,11,32306,32948,31886,6600.027071414999,6601.634248345
# search time: 6600.027s
# total time: 19810.780s
c064,3,3,1,1303655,1303657,1190742,600.0018399,600.261604432
c064,3,3,2,377766,379881,369552,1200.002433086,1200.407596215
c064,3,3,3,150289,151409,150238,1800.0033170420002,1800.506240135
c064,3,3,4,89751,90607,89971,2400.00642976,2400.593415843
c064,3,3,5,73396,74121,73652,3000.014293521,3000.678437688
c064,3,3,6,58316,58948,58571,3600.029502697,3600.792102744
c064,3,3,7,52241,53012,52641,4200.035131159,4200.877834985
c064,3,3,8,50485,51262,50406,4800.041930523001,4800.993654213
c064,3,3,9,41868,42542,41183,5400.043078030001,5401.107014412
