    Finished release [optimized + debuginfo] target(s) in 0.03s
     Running `/home/rule/library/list-routine-learning-rs/target/release/simulation small_simulation.toml 5 /home/rule/library/list-routines-model-comparison/waves/3_1/json/c067_4.json out/1595515936/results/c067_4_best.csv out/1595515936/results/c067_4_predictions.csv out/1595515936/results/c067_4_all.csv /dev/null`
# loaded parameters
# loaded lexicon
#   C/0: list → list
#   TRUE/0: bool
#   FALSE/0: bool
#   NIL/0: list
#   CONS/0: nat → list → list
#   0/0: digit
#   1/0: digit
#   2/0: digit
#   3/0: digit
#   4/0: digit
#   5/0: digit
#   6/0: digit
#   7/0: digit
#   8/0: digit
#   9/0: digit
#   DIGIT/0: digit → nat
#   NAN/0: nat
#   ./2: ∀t1. ∀t2. (t1 → t2) → t1 → t2
#   EMPTY/0: list → bool
#   EQUAL/0: ∀t0. t0 → t0 → bool
#   HEAD/0: list → nat
#   IF/0: ∀t0. bool → t0 → t0 → t0
#   TAIL/0: list → list
#   +/0: nat → nat → nat
#   -/0: nat → nat → nat
#   >/0: nat → nat → bool
# loaded background
# loaded data
#   Datum { i: IntList([4, 7]), o: IntList([7, 4]) }
#   Datum { i: IntList([7, 5, 0, 2, 0, 9, 1, 6, 3]), o: IntList([3, 5, 0, 2, 0, 9, 1, 6, 7]) }
#   Datum { i: IntList([7, 6, 8, 0, 5, 1, 6, 9]), o: IntList([9, 6, 8, 0, 5, 1, 6, 7]) }
#   Datum { i: IntList([0, 0, 2]), o: IntList([2, 0, 0]) }
#   Datum { i: IntList([9, 1, 2, 8, 2, 4, 8, 2, 4, 1]), o: IntList([1, 1, 2, 8, 2, 4, 8, 2, 4, 9]) }
#   Datum { i: IntList([2, 1, 6, 3, 4, 0, 9, 8, 7, 4]), o: IntList([4, 1, 6, 3, 4, 0, 9, 8, 7, 2]) }
#   Datum { i: IntList([5, 0, 7, 6, 6, 0, 6, 0]), o: IntList([0, 0, 7, 6, 6, 0, 6, 5]) }
#   Datum { i: IntList([4, 8, 9, 9]), o: IntList([9, 8, 9, 4]) }
#   Datum { i: IntList([1, 6, 7, 3, 4]), o: IntList([4, 6, 7, 3, 1]) }
#   Datum { i: IntList([1, 3, 2, 8, 8, 5, 5]), o: IntList([5, 3, 2, 8, 8, 5, 1]) }
#   Datum { i: IntList([5, 8, 2, 4, 7, 4]), o: IntList([4, 8, 2, 4, 7, 5]) }
# searching
problem,run,order,trial,steps,tree,hypotheses,search_time,total_time
c067,0,4,1,1354205,1354207,1264088,600.000504328,601.999708616
c067,0,4,2,511906,514304,497989,1200.0024222719999,1202.459343458
c067,0,4,3,137534,138711,137520,1800.0041376069998,1802.800125779
c067,0,4,4,79516,80278,79866,2400.0050233869997,2403.12376607
c067,0,4,5,70220,70876,70530,3000.0110933889996,3003.401612954
c067,0,4,6,48704,49420,49212,3600.0355715939995,3603.704721008
c067,0,4,7,37796,38533,38322,4200.041144073999,4203.941439222
c067,0,4,8,32741,33497,33221,4800.041487096999,4804.253106539
c067,0,4,9,30762,31563,31401,5400.062272805999,5404.495719686
c067,0,4,10,28146,28778,28576,6000.069397686999,6004.796692425
c067,0,4,11,24198,24852,24629,6600.0767291699985,6605.121598411
# search time: 6600.077s
# total time: 6605.361s
c067,1,4,1,1356767,1356769,1262974,600.000181058,600.322689855
c067,1,4,2,511637,512826,496684,1200.003347415,1200.537503721
c067,1,4,3,139624,140773,139426,1800.0059261380002,1800.691589177
c067,1,4,4,70873,71671,71255,2400.007144136,2400.876489984
c067,1,4,5,63847,64646,64300,3000.008811674,3001.027250739
c067,1,4,6,45470,46230,45914,3600.018535759,3601.202054911
c067,1,4,7,35734,36442,36195,4200.020015067,4201.363875213
c067,1,4,8,31185,31951,31725,4800.027547682,4801.541362367
c067,1,4,9,29917,30564,30387,5400.034334163,5401.688235979
c067,1,4,10,27479,28068,27906,6000.053297580999,6001.870434399
c067,1,4,11,24227,24838,24675,6600.0638266,6602.014313971
# search time: 6600.064s
# total time: 13207.729s
c067,2,4,1,1401667,1401669,1284464,600.001448383,600.320593844
c067,2,4,2,512006,514134,498511,1200.001655106,1200.482827835
c067,2,4,3,133689,134565,133262,1800.003676681,1800.599415636
c067,2,4,4,76312,77032,76638,2400.0070802769997,2400.718441237
c067,2,4,5,67993,68693,68359,3000.0192998699995,3000.814393089
c067,2,4,6,46566,47305,47077,3600.032954527999,3600.903070427
c067,2,4,7,36244,36943,36722,4200.062564563999,4201.048469944
c067,2,4,8,30948,31690,31439,4800.062636225,4801.170036435
c067,2,4,9,28065,28789,28625,5400.066900706999,5401.317984662
c067,2,4,10,26601,27350,27183,6000.094285826999,6001.503922778
c067,2,4,11,23251,23935,23728,6600.097678828999,6601.606378544
# search time: 6600.098s
# total time: 19809.683s
c067,3,4,1,1384812,1384814,1275725,600.000007604,600.238687289
c067,3,4,2,514192,516332,499334,1200.000678795,1200.379456699
