    Finished release [optimized + debuginfo] target(s) in 0.03s
     Running `/home/rule/library/list-routine-learning-rs/target/release/simulation small_simulation.toml 5 /home/rule/library/list-routines-model-comparison/waves/3_1/json/c073_5.json out/1595515936/results/c073_5_best.csv out/1595515936/results/c073_5_predictions.csv out/1595515936/results/c073_5_all.csv /dev/null`
# loaded parameters
# loaded lexicon
#   C/0: list → list
#   TRUE/0: bool
#   FALSE/0: bool
#   NIL/0: list
#   CONS/0: nat → list → list
#   0/0: digit
#   1/0: digit
#   2/0: digit
#   3/0: digit
#   4/0: digit
#   5/0: digit
#   6/0: digit
#   7/0: digit
#   8/0: digit
#   9/0: digit
#   DIGIT/0: digit → nat
#   NAN/0: nat
#   ./2: ∀t1. ∀t2. (t1 → t2) → t1 → t2
#   EMPTY/0: list → bool
#   EQUAL/0: ∀t0. t0 → t0 → bool
#   HEAD/0: list → nat
#   IF/0: ∀t0. bool → t0 → t0 → t0
#   TAIL/0: list → list
#   +/0: nat → nat → nat
#   -/0: nat → nat → nat
#   >/0: nat → nat → bool
# loaded background
# loaded data
#   Datum { i: IntList([6, 7, 6, 4, 4, 0]), o: IntList([7, 9, 9, 8, 9, 6]) }
#   Datum { i: IntList([8, 0, 1, 1, 1, 0, 0, 0]), o: IntList([9, 2, 4, 5, 6, 6, 7, 8]) }
#   Datum { i: IntList([3, 3]), o: IntList([4, 5]) }
#   Datum { i: IntList([1, 3, 3, 5, 3, 0, 0, 1, 0]), o: IntList([2, 5, 6, 9, 8, 6, 7, 9, 9]) }
#   Datum { i: IntList([8, 5, 1, 3, 0, 2, 0]), o: IntList([9, 7, 4, 7, 5, 8, 7]) }
#   Datum { i: IntList([5, 5, 5, 2, 2, 2]), o: IntList([6, 7, 8, 6, 7, 8]) }
#   Datum { i: IntList([1, 1, 1, 1, 0, 1, 0, 1, 0]), o: IntList([2, 3, 4, 5, 5, 7, 7, 9, 9]) }
#   Datum { i: IntList([2, 5, 5]), o: IntList([3, 7, 8]) }
#   Datum { i: IntList([1]), o: IntList([2]) }
#   Datum { i: IntList([4, 4, 4, 4]), o: IntList([5, 6, 7, 8]) }
#   Datum { i: IntList([2, 2, 1, 3, 1]), o: IntList([3, 4, 4, 7, 6]) }
# searching
problem,run,order,trial,steps,tree,hypotheses,search_time,total_time
c073,0,5,1,1254031,1254033,1153368,600.000385889,601.995560809
c073,0,5,2,248845,250825,242831,1200.005085906,1202.594571131
c073,0,5,3,116479,117400,116614,1800.010631751,1802.985613268
c073,0,5,4,93220,93981,93472,2400.023524917,2403.358943086
c073,0,5,5,67303,68086,67754,3000.023653715,3003.624765814
c073,0,5,6,49941,50647,50420,3600.031933469,3603.950806089
c073,0,5,7,42010,42742,42387,4200.053142521,4204.319936364
c073,0,5,8,33430,34081,33953,4800.055635059,4804.663436172
c073,0,5,9,31987,32654,32446,5400.061500692001,5404.963356815
c073,0,5,10,29414,30214,29996,6000.071608059001,6005.239842954
c073,0,5,11,27434,28031,27895,6600.079491302001,6605.534595959
# search time: 6600.079s
# total time: 6605.756s
c073,1,5,1,1290191,1290193,1186581,600.000124781,600.293474828
c073,1,5,2,252763,255209,247558,1200.0020316159998,1200.538079804
c073,1,5,3,115349,116310,115404,1800.0031154939998,1800.757044799
c073,1,5,4,93196,93912,93459,2400.0129706449998,2400.925581817
c073,1,5,5,67452,68239,67888,3000.0192970909998,3001.079389962
c073,1,5,6,48694,49351,49084,3600.028730613,3601.258073561
c073,1,5,7,41318,41997,41632,4200.036302634,4201.405423833
c073,1,5,8,32998,33658,33501,4800.049876394,4801.591055609
c073,1,5,9,31702,32377,32141,5400.057096076001,5401.749857942
c073,1,5,10,29341,30040,29827,6000.075237234,6001.881302332
c073,1,5,11,27364,28147,27916,6600.096476238,6602.031707839
# search time: 6600.096s
# total time: 13208.135s
c073,2,5,1,1209167,1209169,1134890,600.000081565,600.214459937
c073,2,5,2,255840,258239,250632,1200.0028629469998,1200.374319022
c073,2,5,3,111534,112538,111678,1800.0031930409998,1800.492149754
c073,2,5,4,88614,89481,89138,2400.0038622889997,2400.635812306
c073,2,5,5,67471,68150,67775,3000.0093208079998,3000.744312705
c073,2,5,6,49492,50164,49883,3600.0172789299995,3600.888760232
c073,2,5,7,41377,42110,41765,4200.023516845999,4201.061396999
c073,2,5,8,33358,34015,33818,4800.043287691,4801.182660912
c073,2,5,9,30961,31613,31400,5400.054910961,5401.300792745
c073,2,5,10,29335,29916,29751,6000.067860276,6001.416836782
c073,2,5,11,27095,27869,27659,6600.081064941,6601.554552517
# search time: 6600.081s
# total time: 19810.025s
