    Finished release [optimized + debuginfo] target(s) in 0.03s
     Running `/home/rule/library/list-routine-learning-rs/target/release/simulation small_simulation.toml 5 /home/rule/library/list-routines-model-comparison/waves/3_1/json/c077_3.json out/1595515936/results/c077_3_best.csv out/1595515936/results/c077_3_predictions.csv out/1595515936/results/c077_3_all.csv /dev/null`
# loaded parameters
# loaded lexicon
#   C/0: list → list
#   TRUE/0: bool
#   FALSE/0: bool
#   NIL/0: list
#   CONS/0: nat → list → list
#   0/0: digit
#   1/0: digit
#   2/0: digit
#   3/0: digit
#   4/0: digit
#   5/0: digit
#   6/0: digit
#   7/0: digit
#   8/0: digit
#   9/0: digit
#   DIGIT/0: digit → nat
#   NAN/0: nat
#   ./2: ∀t1. ∀t2. (t1 → t2) → t1 → t2
#   EMPTY/0: list → bool
#   EQUAL/0: ∀t0. t0 → t0 → bool
#   HEAD/0: list → nat
#   IF/0: ∀t0. bool → t0 → t0 → t0
#   TAIL/0: list → list
#   +/0: nat → nat → nat
#   -/0: nat → nat → nat
#   >/0: nat → nat → bool
# loaded background
# loaded data
#   Datum { i: IntList([5, 2, 0]), o: IntList([3]) }
#   Datum { i: IntList([7, 9, 9, 9]), o: IntList([4]) }
#   Datum { i: IntList([8, 6, 6]), o: IntList([3]) }
#   Datum { i: IntList([4, 4]), o: IntList([2]) }
#   Datum { i: IntList([2]), o: IntList([1]) }
#   Datum { i: IntList([8, 0, 0, 0, 8]), o: IntList([5]) }
#   Datum { i: IntList([1, 7, 2, 0]), o: IntList([4]) }
#   Datum { i: IntList([2, 4]), o: IntList([2]) }
#   Datum { i: IntList([1, 3, 1, 3, 1, 3]), o: IntList([6]) }
#   Datum { i: IntList([8, 3, 9, 5, 7]), o: IntList([5]) }
#   Datum { i: IntList([]), o: IntList([0]) }
# searching
problem,run,order,trial,steps,tree,hypotheses,search_time,total_time
c077,0,3,1,1366094,1366096,1279570,600.0001023,602.237874668
c077,0,3,2,623527,625852,607537,1200.001158516,1202.767372037
c077,0,3,3,408139,409138,393084,1800.0023484570002,1803.154604333
c077,0,3,4,325735,326607,315185,2400.0026734040002,2403.501775421
c077,0,3,5,254855,255777,245138,3000.004335595,3003.770350584
c077,0,3,6,219990,220809,211526,3600.0090156550004,3604.017334753
c077,0,3,7,162788,163585,156706,4200.0093269280005,4204.267736627
c077,0,3,8,131400,132179,126418,4800.010817186,4804.49869827
c077,0,3,9,135306,135997,130530,5400.0111227180005,5404.705184691
c077,0,3,10,112767,113657,108956,6000.013905128,6004.885445519
c077,0,3,11,84011,84814,81254,6600.0372351510005,6605.159213222
# search time: 6600.037s
# total time: 6605.470s
c077,1,3,1,1413085,1413087,1304781,600.000004799,600.275558653
c077,1,3,2,617406,619722,601823,1200.0009539769999,1200.491135922
c077,1,3,3,407367,408510,392565,1800.001590457,1800.66730737
c077,1,3,4,316087,316905,306333,2400.002158439,2400.830908267
c077,1,3,5,244299,245144,235300,3000.003589469,3000.995240872
c077,1,3,6,218628,219409,210129,3600.004891106,3601.125304469
c077,1,3,7,159641,160492,153807,4200.006991104,4201.270343815
c077,1,3,8,130888,131643,125830,4800.007238337,4801.394523967
c077,1,3,9,132906,133698,128274,5400.008974108,5401.50243691
c077,1,3,10,112386,113270,108489,6000.012285774,6001.609527285
c077,1,3,11,83724,84455,80948,6600.0352874049995,6601.786258391
# search time: 6600.035s
# total time: 13207.711s
c077,2,3,1,1315207,1315209,1228481,600.001966,600.206847044
c077,2,3,2,601639,603627,586634,1200.002050472,1200.37657946
c077,2,3,3,407253,408323,392079,1800.002421329,1800.503766034
c077,2,3,4,325213,326200,314579,2400.003799245,2400.620817791
c077,2,3,5,255382,256231,246098,3000.0056968410004,3000.715847939
c077,2,3,6,216748,217643,208168,3600.0081563390004,3600.815899066
c077,2,3,7,160117,160933,154135,4200.00905182,4200.908413615
c077,2,3,8,134873,135651,129612,4800.011604231,4800.998500264
c077,2,3,9,131331,132082,126575,5400.012290353,5401.077888256
c077,2,3,10,109301,110030,105133,6000.01644481,6001.182207628
c077,2,3,11,86806,87551,83763,6600.018701958001,6601.295630895
# search time: 6600.019s
# total time: 19809.445s
c077,3,3,1,1385525,1385527,1294140,600.001896672,600.202992326
c077,3,3,2,607326,609428,592162,1200.00191573,1200.34885258
c077,3,3,3,395335,396433,380824,1800.002293186,1800.468714678
c077,3,3,4,315882,316771,306132,2400.003214922,2400.572612228
c077,3,3,5,242117,242946,233108,3000.003244389,3000.661898509
c077,3,3,6,216799,217546,208452,3600.005012626,3600.739692724
c077,3,3,7,157746,158443,151947,4200.008153496,4200.818089618
c077,3,3,8,134431,135218,129421,4800.01320439,4800.898781827
c077,3,3,9,129564,130331,124982,5400.0175332710005,5400.982489119
c077,3,3,10,109089,109793,104923,6000.020772406,6001.061134092
c077,3,3,11,85884,86678,82964,6600.025806482,6601.164638504
# search time: 6600.026s
# total time: 26411.060s
c077,4,3,1,1361959,1361961,1245955,600.000989224,600.193943775
c077,4,3,2,607802,609795,592646,1200.001866667,1200.321217325
c077,4,3,3,399148,400207,384721,1800.0028008220002,1800.423208437
c077,4,3,4,316099,317023,306386,2400.003174902,2400.513382087
c077,4,3,5,241180,241988,232261,3000.004461556,3000.605609575
c077,4,3,6,218764,219512,210416,3600.005719222,3600.674341123
c077,4,3,7,158151,158951,152130,4200.0170843860005,4200.780150695
c077,4,3,8,130269,131016,125327,4800.019225579001,4800.853338344
c077,4,3,9,131548,132275,126838,5400.020122599,5400.9119017
c077,4,3,10,111268,112066,107328,6000.027952532,6000.984748762
c077,4,3,11,82749,83542,80024,6600.0282562170005,6601.05501461
# search time: 6600.028s
# total time: 33012.571s
