    Finished release [optimized + debuginfo] target(s) in 0.04s
     Running `/home/rule/library/list-routine-learning-rs/target/release/simulation small_simulation.toml 5 /home/rule/library/list-routines-model-comparison/waves/3_1/json/c037_1.json out/1599249770/results/c037_1_best.csv out/1599249770/results/c037_1_predictions.csv out/1599249770/results/c037_1_all.csv /dev/null`
# loaded parameters
# loaded lexicon
#   C/0: list → list
#   TRUE/0: bool
#   FALSE/0: bool
#   NIL/0: list
#   CONS/0: nat → list → list
#   0/0: digit
#   1/0: digit
#   2/0: digit
#   3/0: digit
#   4/0: digit
#   5/0: digit
#   6/0: digit
#   7/0: digit
#   8/0: digit
#   9/0: digit
#   DIGIT/0: digit → nat
#   NAN/0: nat
#   ./2: ∀t1. ∀t2. (t1 → t2) → t1 → t2
#   EMPTY/0: list → bool
#   EQUAL/0: ∀t0. t0 → t0 → bool
#   HEAD/0: list → nat
#   IF/0: ∀t0. bool → t0 → t0 → t0
#   TAIL/0: list → list
#   +/0: nat → nat → nat
#   -/0: nat → nat → nat
#   >/0: nat → nat → bool
# loaded background
# loaded data
#   Datum { i: IntList([2, 0, 6, 0]), o: IntList([2, 0, 6, 0, 3]) }
#   Datum { i: IntList([9, 9]), o: IntList([9, 9, 3]) }
#   Datum { i: IntList([3, 1, 7]), o: IntList([3, 1, 7, 3]) }
#   Datum { i: IntList([4, 4, 5, 5, 4, 4, 5, 4]), o: IntList([4, 4, 5, 5, 4, 4, 5, 4, 3]) }
#   Datum { i: IntList([2, 6, 9, 6, 7, 1]), o: IntList([2, 6, 9, 6, 7, 1, 3]) }
#   Datum { i: IntList([0, 9, 9, 9, 9]), o: IntList([0, 9, 9, 9, 9, 3]) }
#   Datum { i: IntList([]), o: IntList([3]) }
#   Datum { i: IntList([5, 1, 7, 1, 7, 6, 6, 1, 1, 4]), o: IntList([5, 1, 7, 1, 7, 6, 6, 1, 1, 4, 3]) }
#   Datum { i: IntList([8, 8, 8, 8, 8, 8, 8]), o: IntList([8, 8, 8, 8, 8, 8, 8, 3]) }
#   Datum { i: IntList([5, 0, 2, 5, 0, 9, 0, 5, 7]), o: IntList([5, 0, 2, 5, 0, 9, 0, 5, 7, 3]) }
#   Datum { i: IntList([3]), o: IntList([3, 3]) }
# searching
problem,run,order,trial,steps,tree,hypotheses,search_time,total_time
c037,0,1,1,910852,910854,861694,600.003552483,603.25990379
c037,0,1,2,217647,219610,213698,1200.0060673379999,1203.96416738
c037,0,1,3,142841,143882,142576,1800.010209892,1804.45275219
c037,0,1,4,98436,99172,98412,2400.011727816,2404.883842599
c037,0,1,5,56094,56812,56450,3000.01530451,3005.373803573
c037,0,1,6,42816,43436,43140,3600.020615945,3605.817183159
c037,0,1,7,35628,36250,36013,4200.034476893999,4206.165992072
c037,0,1,8,32230,32960,32772,4800.043128283999,4806.436790191
c037,0,1,9,24053,24798,24692,5400.044171628999,5406.82504157
c037,0,1,10,20263,21009,20804,6000.082978264999,6007.209569412
c037,0,1,11,16607,17305,17211,6600.110752563999,6607.533368576
# search time: 6600.111s
# total time: 6607.784s
c037,1,1,1,897473,897475,852072,600.000379318,600.462364663
c037,1,1,2,213450,215336,209722,1200.0005167240001,1200.762079161
c037,1,1,3,139495,140440,139119,1800.0016321510002,1801.003339793
c037,1,1,4,97045,97853,97125,2400.0036532050003,2401.237334112
c037,1,1,5,55317,56127,55789,3000.004381918,3001.480339259
c037,1,1,6,43312,44007,43690,3600.015954095,3601.716930175
c037,1,1,7,35418,36098,35849,4200.02655702,4201.924320383
c037,1,1,8,33260,33872,33668,4800.026688115,4802.085545071
c037,1,1,9,24490,25186,25021,5400.043251538,5402.212367126
c037,1,1,10,20355,21187,21016,6000.0714593249995,6002.429408027
c037,1,1,11,16420,17188,17091,6600.139732375,6602.70497693
# search time: 6600.140s
# total time: 13210.803s
c037,2,1,1,894758,894760,822511,600.000277326,600.367857473
c037,2,1,2,210740,212986,207379,1200.000343124,1200.581540581
c037,2,1,3,136023,137156,135895,1800.003123793,1800.759525004
c037,2,1,4,96309,97097,96324,2400.007293523,2400.958457347
c037,2,1,5,54558,55235,54882,3000.008025579,3001.100519211
c037,2,1,6,42143,42857,42615,3600.01068984,3601.281600484
c037,2,1,7,34730,35392,35176,4200.016737287,4201.42821779
c037,2,1,8,31977,32666,32466,4800.045398626,4801.589254604
c037,2,1,9,23558,24297,24163,5400.045512404,5401.682860354
c037,2,1,10,19599,20375,20247,6000.057348074,6001.878875386
c037,2,1,11,16585,17405,17281,6600.087771327,6601.998727506
# search time: 6600.088s
# total time: 19813.007s
c037,3,1,1,933744,933746,868730,600.000228324,600.446081305
