    Finished release [optimized + debuginfo] target(s) in 0.04s
     Running `/home/rule/library/list-routine-learning-rs/target/release/simulation small_simulation.toml 5 /home/rule/library/list-routines-model-comparison/waves/3_1/json/c080_1.json out/1599249770/results/c080_1_best.csv out/1599249770/results/c080_1_predictions.csv out/1599249770/results/c080_1_all.csv /dev/null`
# loaded parameters
# loaded lexicon
#   C/0: list → list
#   TRUE/0: bool
#   FALSE/0: bool
#   NIL/0: list
#   CONS/0: nat → list → list
#   0/0: digit
#   1/0: digit
#   2/0: digit
#   3/0: digit
#   4/0: digit
#   5/0: digit
#   6/0: digit
#   7/0: digit
#   8/0: digit
#   9/0: digit
#   DIGIT/0: digit → nat
#   NAN/0: nat
#   ./2: ∀t1. ∀t2. (t1 → t2) → t1 → t2
#   EMPTY/0: list → bool
#   EQUAL/0: ∀t0. t0 → t0 → bool
#   HEAD/0: list → nat
#   IF/0: ∀t0. bool → t0 → t0 → t0
#   TAIL/0: list → list
#   +/0: nat → nat → nat
#   -/0: nat → nat → nat
#   >/0: nat → nat → bool
# loaded background
# loaded data
#   Datum { i: IntList([0, 5, 5, 5]), o: IntList([5, 5, 5, 0]) }
#   Datum { i: IntList([6, 7, 9, 1, 4, 8, 2, 0, 2, 3]), o: IntList([3, 2, 0, 2, 8, 4, 1, 9, 7, 6]) }
#   Datum { i: IntList([6, 3, 1]), o: IntList([1, 3, 6]) }
#   Datum { i: IntList([0, 7]), o: IntList([7, 0]) }
#   Datum { i: IntList([9, 5, 3, 0, 7, 4, 7, 1, 6]), o: IntList([6, 1, 7, 4, 7, 0, 3, 5, 9]) }
#   Datum { i: IntList([9, 3, 3, 9, 3, 9, 9, 3, 3]), o: IntList([3, 3, 9, 9, 3, 9, 3, 3, 9]) }
#   Datum { i: IntList([0, 0, 0, 8, 8, 8, 8]), o: IntList([8, 8, 8, 8, 0, 0, 0]) }
#   Datum { i: IntList([4, 2, 1, 0, 6]), o: IntList([6, 0, 1, 2, 4]) }
#   Datum { i: IntList([6, 2, 5, 7]), o: IntList([7, 5, 2, 6]) }
#   Datum { i: IntList([3, 3, 8, 4, 0, 7, 0, 5]), o: IntList([5, 0, 7, 0, 4, 8, 3, 3]) }
#   Datum { i: IntList([6, 7, 5, 1, 2, 4]), o: IntList([4, 2, 1, 5, 7, 6]) }
# searching
problem,run,order,trial,steps,tree,hypotheses,search_time,total_time
c080,0,1,1,1029280,1029282,962629,600.001088417,603.320336164
c080,0,1,2,271328,272301,263909,1200.00408889,1203.972936368
c080,0,1,3,88501,89549,88842,1800.0064421450002,1804.330006298
c080,0,1,4,62449,63224,62933,2400.009135863,2404.767085847
c080,0,1,5,62729,63379,62971,3000.023763818,3005.116319958
c080,0,1,6,43185,44001,43687,3600.030077918,3605.465251715
c080,0,1,7,36585,37229,36973,4200.033059468,4205.794384675
c080,0,1,8,26548,27272,27055,4800.052856691,4806.159728893
c080,0,1,9,24348,24996,24864,5400.127634392999,5406.556603018
c080,0,1,10,23000,23563,23418,6000.13043218,6006.94269548
c080,0,1,11,19763,20564,20416,6600.1555803539995,6607.357218528
# search time: 6600.156s
# total time: 6607.731s
c080,1,1,1,994609,994611,924663,600.005301966,600.409594498
c080,1,1,2,271066,273382,265073,1200.006429047,1200.736653745
c080,1,1,3,85649,86694,86180,1800.009155792,1800.931996915
c080,1,1,4,66935,67671,67407,2400.009187309,2401.129710105
c080,1,1,5,63035,63583,63430,3000.014531473,3001.301551486
c080,1,1,6,42264,43027,42705,3600.02239027,3601.516280019
c080,1,1,7,33726,34402,34187,4200.033121067,4201.695950409
c080,1,1,8,26272,27024,26914,4800.037373361,4801.917048108
c080,1,1,9,24223,24853,24766,5400.040759671,5402.127015115
c080,1,1,10,22759,23352,23235,6000.046644248,6002.297559693
c080,1,1,11,19252,19978,19848,6600.049919509,6602.426767099
# search time: 6600.050s
# total time: 13210.822s
c080,2,1,1,984751,984753,918100,600.004960054,600.342438657
c080,2,1,2,268788,269451,260983,1200.008571743,1200.6400424
c080,2,1,3,86040,86937,86069,1800.0092161970001,1800.775574694
c080,2,1,4,60822,61513,61191,2400.011309899,2400.9119576
c080,2,1,5,62423,63077,62650,3000.013182793,3001.046934355
c080,2,1,6,42762,43572,43286,3600.022165206,3601.179893353
c080,2,1,7,36120,36858,36654,4200.029755943,4201.296274952
c080,2,1,8,26596,27192,27039,4800.0496511,4801.470479441
c080,2,1,9,23741,24377,24227,5400.055442621,5401.687179745
c080,2,1,10,22113,22751,22636,6000.085339526,6001.816467254
c080,2,1,11,19067,19717,19605,6600.089498268,6601.950588647
# search time: 6600.089s
# total time: 19813.119s
c080,3,1,1,951292,951294,878001,600.000540295,600.275830584
c080,3,1,2,268204,270291,262341,1200.0041588029999,1200.45128594
c080,3,1,3,80985,82095,81511,1800.004173464,1800.616409389
c080,3,1,4,66895,67580,67374,2400.016401886,2400.725303431
c080,3,1,5,63085,63747,63448,3000.0214351100003,3000.840114109
c080,3,1,6,42603,43262,42977,3600.0340401190006,3600.972676381
c080,3,1,7,34276,34977,34837,4200.037502360001,4201.093973338
c080,3,1,8,26885,27519,27293,4800.041265912001,4801.223092621
c080,3,1,9,24046,24703,24595,5400.068068815001,5401.33835873
c080,3,1,10,22245,22945,22821,6000.071732380002,6001.429719226
c080,3,1,11,19496,20208,20068,6600.076003229002,6601.516777491
# search time: 6600.076s
